Gene.names	logFC_APMS	padj_APMS	logFC_TbID	padj_TbID	bait	prey
ZFP36	0.00428392350427693	0.973614521212264	0.0913605161147258	0.62807896639226	ArafWT	no
ZFP36	0.362906067955487	0.0116664100838457	0.124906497860694	0.572977535755131	ArafD447A	no
ZFP36	1.0291500185664	3.29456230109821e-06	0.857322261184552	0.000160276633597076	ArafS214P	yes
ZFP36	0.363530347446372	0.0113390849750489	-0.0784527871339586	0.661751778459616	BrafWT	no
ZFP36	0.331815768754022	0.0276149414773067	-0.135586442560569	0.560785581037197	BrafD594N	no
ZFP36	3.23788469222144	2.20255083064028e-11	1.27260401346971	4.95246864913114e-06	BrafG469A	yes
ZFP36	2.40785060562264	3.14276329937024e-09	1.02331209522589	6.2799618712091e-05	BrafV600E	yes
ZFP36	0.429153142791491	0.00410176737292152	0.12493838102209	0.554226690858522	Raf1WT	no
ZFP36	0.480815018755304	0.00638761125055966	-0.18184391042963	0.354883894430838	Raf1D486A	no
ZFP36	1.57089706428148	2.07576895597354e-08	0.804580030612655	0.000521327169426109	Raf1S257L	yes
ZFP36	1.90149122679032	9.19555509360695e-08	1.3470281620476	1.09271799979971e-05	Raf1S259F	yes
ZFP36	-0.0964051871792231	0.601315730994127	-0.229713247707464	0.223853542693717	MEK1WT	no
ZFP36	0.0676861016611888	0.701561686628575	0.00931178659265119	0.965490770336625	MEK1AA	no
ZFP36	3.04460402382452	1.97869843034306e-10	1.80784557516925	5.53222853752636e-07	MEK1DD	yes
ZFP36	-0.0835332854723612	0.696516989076511	-0.359756590226135	0.0490349881776435	MEK2WT	no
ZFP36	0.0620119781117659	0.73254332828387	-0.249980024490415	0.294707459411315	MEK2AA	no
ZFP36	2.08639348641659	2.45588899461021e-09	1.00912849393734	4.50719853240583e-05	MEK2DD	yes
