bait	prey	significant	HCDP	subcell_localization	logFC_APMS	padj_APMS	logFC_TbID	padj_TbID
ArafD447A	PLCB1	shared	yes	plasma_membrane	1.35081732847887	0.0105427813021505	0.294552734107782	0.0416808436980051
BrafG469A	PPP2CB	TbID	no	cytosol	-0.689218994223018	0.00862677253513971	0.996034137999347	2.99178326944244e-06
BrafG469A	PPP2R1B	TbID	no	cytosol	0.253381418425885	0.173555366463902	0.989310631767103	2.13867261072395e-07
ERK2AA	PPP2R1B	shared	no	cytosol	0.901374340183196	0.000234349678122381	1.20354939590714	1.20988595516801e-07
Raf1S257L	PPP2R1B	shared	no	cytosol	0.589750500987594	0.00443819719336852	0.87880952180039	3.86227639500201e-07
HrasS17N	PPP2R1B	shared	no	cytosol	0.765096145383195	0.000583874534126481	1.02444072969847	9.05535996636368e-08
Raf1S259F	PPP2R1B	shared	no	cytosol	1.09312754414073	8.49957562565841e-05	0.92505080497137	9.83143867055174e-08
BrafV600E	PPP2R5E	TbID	no	cytosol	-0.414810986466625	0.0077518707025837	0.905930541341346	1.18507372974025e-08
BrafG469A	PPP2R5E	TbID	no	cytosol	-0.289016845715433	0.0433075496120745	1.04251849548504	8.67352297214813e-10
HrasS17N	PPP2R5E	TbID	no	cytosol	-0.50546374588694	0.00189273560421109	0.879308963786257	1.99505105469493e-08
Raf1S257L	PPP2R5E	shared	no	cytosol	0.314026300463874	0.0390866370192316	0.956868849353154	4.79623324878855e-09
MEK2DD	PPP3CA	shared	yes	cytosol	0.923473842672969	3.31357444638075e-05	1.33472948376915	1.39254430764598e-09
MEK2AA	PPP3CA	shared	yes	cytosol	0.53327222861159	0.0121122707477403	1.08542484370239	1.20293691818468e-08
MEK1AA	PRKCB	shared	yes	NA	1.25715152982643	0.00815472652386376	0.486813884997369	8.0646843604624e-07
HrasG13R	PRKCB	AP-MS	yes	NA	1.20091447862466	0.00813754184764446	0.0765010317734404	0.177638654411985
ERK2AA	PSMA6	shared	yes	proteasome	0.892036651894885	3.07201022022695e-05	0.841785628164214	1.07327664301966e-07
Raf1S257L	PSMA6	shared	yes	proteasome	0.97205967311505	6.61781973412505e-06	0.901770973645937	2.14100664589964e-08
BrafD594N	PSMB4	TbID	no	proteasome	0.138737456789067	0.531303782110439	0.841052148230378	1.06838643568662e-06
MEK2AA	PSMB4	TbID	no	proteasome	0.0976015983367723	0.693418244797947	0.960316918107433	3.5896352014028e-08
Raf1S259F	PSMB4	shared	no	proteasome	0.394371263403394	0.0257725369038542	0.914019499588642	7.59257934508445e-08
BrafWT	PSMB4	TbID	no	proteasome	-0.0847850109105318	0.707266413314809	1.09835239790526	2.2081631540783e-08
ArafWT	PSMB4	TbID	no	proteasome	0.0633582629496035	0.734930190313793	0.875855527638838	5.29974016000425e-07
ERK2AA	PSMB5	core	no	proteasome	1.30141592821815	2.01592718710348e-06	1.38736578801541	5.45799305625318e-10
NrasQ61R	PSMB5	core	no	proteasome	1.2310430390964	1.0696442262334e-06	1.45196659667082	1.61151566748511e-10
Raf1S257L	PSMB5	core	no	proteasome	1.29059832214681	5.91469430612721e-07	1.36255189830798	4.20389581799299e-10
ArafD447A	PSMB5	shared	no	proteasome	0.300960996423077	0.0195882826188826	0.88087712142986	9.06023391475065e-09
NrasQ61K	PSMB5	core	no	proteasome	1.32600583386741	7.18041653440129e-06	1.7473755500143	3.97529021471009e-11
MEK2DD	PSMC2	shared	no	proteasome	0.568980787792642	0.000122162512977512	1.15920550911787	9.37443680666105e-11
ArafD447A	PSMC2	shared	no	proteasome	1.05837810313428	6.77705284810076e-07	0.910524255634324	8.13506190861427e-10
MEK2AA	PSMC2	TbID	no	proteasome	0.00711069872001563	0.972524804500826	1.0664810347303	1.00248999823739e-10
MEK1WT	PSMC2	TbID	no	proteasome	-0.099859424887166	0.533599051353381	1.01019413359829	1.09058629397472e-10
ERK2WT	PSMC2	shared	no	proteasome	0.429370031889202	0.00428807120132557	1.04041457154402	1.54776002505515e-09
MEK2DD	PSMC3	shared	no	proteasome	0.764742027093744	1.7392951161177e-05	1.26488923647226	7.43359748142415e-11
MEK2DD	PSMC4	shared	no	proteasome	0.961209467445261	1.11347157737919e-06	1.56147695440691	2.20526627510423e-11
MEK2AA	PSMC4	TbID	no	proteasome	-0.0728761392404978	0.620087253062169	0.882473479080543	1.83222889837289e-09
MEK1DD	PSMC4	shared	no	proteasome	0.501288403023059	0.000742429127774644	1.00856483136846	7.17241519872131e-09
BrafWT	PSMC5	TbID	no	proteasome	-0.346827822098126	0.0157246617779077	1.02252628827099	3.47132862114565e-10
NrasQ61K	PSMC5	TbID	no	proteasome	-0.57249492796797	0.000478070323586649	0.869718894237365	1.47278604210404e-08
