subcell_localization	query	category	term_id	term_name	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PM	ERK1	GO Process	GO:0016477	Cell migration	9	903	1.06	0.97	0.00025	9606.ENSP00000307046,9606.ENSP00000312506,9606.ENSP00000334008,9606.ENSP00000341198,9606.ENSP00000366246,9606.ENSP00000370542,9606.ENSP00000422533,9606.ENSP00000422591,9606.ENSP00000498587	SDC2,CSPG4,PARVA,NEO1,GPC6,SDC1,ADGRL3,SLIT2,NOTCH1
PM	ERK2	GO Process	GO:0016477	Cell migration	8	903	0.88	0.44	0.0416	9606.ENSP00000226225,9606.ENSP00000312506,9606.ENSP00000334008,9606.ENSP00000341198,9606.ENSP00000366246,9606.ENSP00000422533,9606.ENSP00000422591,9606.ENSP00000498587	TNFAIP1,CSPG4,PARVA,NEO1,GPC6,ADGRL3,SLIT2,NOTCH1
ER	RAF1	Reactome	HSA-556833	Metabolism of lipids	14	739	0.78	0.77	0.00015	9606.ENSP00000263038,9606.ENSP00000264914,9606.ENSP00000278840,9606.ENSP00000287936,9606.ENSP00000312458,9606.ENSP00000316329,9606.ENSP00000322229,9606.ENSP00000326869,9606.ENSP00000339883,9606.ENSP00000359380,9606.ENSP00000360316,9606.ENSP00000362298,9606.ENSP00000424123,9606.ENSP00000430548	PHYH,ARSB,FADS2,HMGCR,ARV1,SCD5,FADS1,ORMDL1,LBR,SCD,DHCR24,SGPL1,ELOVL7,PTDSS1
ER	RAF1	GO Function	GO:0016491	Oxidoreductase activity	15	731	0.81	0.87	0.00003	9606.ENSP00000223127,9606.ENSP00000263038,9606.ENSP00000263556,9606.ENSP00000278422,9606.ENSP00000278840,9606.ENSP00000287936,9606.ENSP00000316329,9606.ENSP00000322229,9606.ENSP00000339883,9606.ENSP00000359380,9606.ENSP00000360316,9606.ENSP00000365770,9606.ENSP00000368646,9606.ENSP00000380401,9606.ENSP00000384999	PLOD3,PHYH,P4HA1,TMX2,FADS2,HMGCR,SCD5,FADS1,LBR,SCD,DHCR24,MTHFR,PRDX4,FOXRED2,P4HA2
PM	MEK2	Reactome	HSA-194315	Signaling by Rho GTPases	9	672	0.71	0.45	0.0155	9606.ENSP00000226225,9606.ENSP00000271234,9606.ENSP00000286713,9606.ENSP00000349486,9606.ENSP00000349541,9606.ENSP00000351209,9606.ENSP00000389168,9606.ENSP00000438262,9606.ENSP00000495631	TNFAIP1,FNBP1L,STOM,SCRIB,CAVIN1,EPHA2,PPP1R12A,TJP2,ARHGEF7
Actin	NRAS	Reactome	HSA-194315	Signaling by Rho GTPases	6	672	1.2	1	0.0015	9606.ENSP00000262741,9606.ENSP00000288670,9606.ENSP00000304283,9606.ENSP00000349259,9606.ENSP00000378769,9606.ENSP00000487444	PIK3R3,FMNL2,RAC3,SPTBN1,PPP1CB,SPTAN1
Actin	all_RAF	Reactome	HSA-194315	Signaling by Rho GTPases	14	672	1.05	1.49	0.00000000313	9606.ENSP00000216181,9606.ENSP00000225655,9606.ENSP00000258091,9606.ENSP00000262741,9606.ENSP00000275603,9606.ENSP00000291842,9606.ENSP00000299300,9606.ENSP00000316338,9606.ENSP00000344666,9606.ENSP00000349259,9606.ENSP00000353590,9606.ENSP00000359552,9606.ENSP00000446955,9606.ENSP00000487444	MYH9,PFN1,CCT7,PIK3R3,CCT6A,SHKBP1,CCT2,BAIAP2,NF2,SPTBN1,MYH10,PKN2,MYL6,SPTAN1
Actin	BRAF	Reactome	HSA-194315	Signaling by Rho GTPases	6	672	1.17	0.89	0.0029	9606.ENSP00000216181,9606.ENSP00000291842,9606.ENSP00000316338,9606.ENSP00000349259,9606.ENSP00000359552,9606.ENSP00000487444	MYH9,SHKBP1,BAIAP2,SPTBN1,PKN2,SPTAN1
Actin	MEK1_2	Reactome	HSA-194315	Signaling by Rho GTPases	11	672	0.89	0.8	0.00029	9606.ENSP00000259154,9606.ENSP00000265148,9606.ENSP00000308753,9606.ENSP00000316338,9606.ENSP00000320924,9606.ENSP00000342858,9606.ENSP00000356319,9606.ENSP00000358866,9606.ENSP00000365745,9606.ENSP00000388169,9606.ENSP00000452796	KCTD3,CENPE,TMOD3,BAIAP2,WIPF2,FERMT2,KIF14,FLNA,CTTN,ARPC4,PEAK1
Actin	MEK2	Reactome	HSA-194315	Signaling by Rho GTPases	11	672	0.91	0.84	0.00017	9606.ENSP00000259154,9606.ENSP00000265148,9606.ENSP00000308753,9606.ENSP00000316338,9606.ENSP00000320924,9606.ENSP00000342858,9606.ENSP00000356319,9606.ENSP00000358866,9606.ENSP00000365745,9606.ENSP00000388169,9606.ENSP00000452796	KCTD3,CENPE,TMOD3,BAIAP2,WIPF2,FERMT2,KIF14,FLNA,CTTN,ARPC4,PEAK1
unclassified	MEK2	Reactome	HSA-1640170	Cell Cycle	9	658	0.71	0.47	0.0111	9606.ENSP00000248975,9606.ENSP00000258198,9606.ENSP00000264552,9606.ENSP00000287598,9606.ENSP00000300093,9606.ENSP00000302530,9606.ENSP00000334675,9606.ENSP00000353770,9606.ENSP00000408910	YWHAH,DYNC1LI2,UBE2S,BUB1B,PLK1,BUB1,ERCC6L,RRM2,DCTN2
nucleus	MEK1	Reactome	HSA-1640170	Cell Cycle	7	658	0.92	0.48	0.031	9606.ENSP00000209728,9606.ENSP00000216911,9606.ENSP00000221859,9606.ENSP00000254719,9606.ENSP00000275517,9606.ENSP00000337289,9606.ENSP00000384629	CDC6,AURKA,POLR2I,RPA1,CDCA5,CENPQ,KMT5A
Endo	RAF1	Reactome	HSA-199991	Membrane Trafficking	6	626	1.07	0.75	0.0049	9606.ENSP00000265062,9606.ENSP00000362946,9606.ENSP00000369538,9606.ENSP00000376197,9606.ENSP00000461945,9606.ENSP00000473469	RAB7A,RAB14,GDI2,TFRC,RAB31,DENND4C
Actin	all_RAF	GO Process	GO:0030029	Actin filament-based process	16	609	1.15	1.92	7.09E-12	9606.ENSP00000216181,9606.ENSP00000225655,9606.ENSP00000264254,9606.ENSP00000295797,9606.ENSP00000298159,9606.ENSP00000316338,9606.ENSP00000324573,9606.ENSP00000340211,9606.ENSP00000344666,9606.ENSP00000349259,9606.ENSP00000353590,9606.ENSP00000357883,9606.ENSP00000394496,9606.ENSP00000432568,9606.ENSP00000446955,9606.ENSP00000487444	MYH9,PFN1,PDCL3,PRKCI,CFL2,BAIAP2,FLII,CORO1B,NF2,SPTBN1,MYH10,PIP5K1A,CORO1C,SPTBN2,MYL6,SPTAN1
Actin	RAF1	GO Process	GO:0030029	Actin filament-based process	13	609	1.19	1.85	2.82E-10	9606.ENSP00000216181,9606.ENSP00000225655,9606.ENSP00000295797,9606.ENSP00000298159,9606.ENSP00000324573,9606.ENSP00000340211,9606.ENSP00000349259,9606.ENSP00000353590,9606.ENSP00000357883,9606.ENSP00000394496,9606.ENSP00000432568,9606.ENSP00000446955,9606.ENSP00000487444	MYH9,PFN1,PRKCI,CFL2,FLII,CORO1B,SPTBN1,MYH10,PIP5K1A,CORO1C,SPTBN2,MYL6,SPTAN1
Actin	MEK2	GO Process	GO:0030029	Actin filament-based process	16	609	1.11	1.71	4.11E-10	9606.ENSP00000245932,9606.ENSP00000263168,9606.ENSP00000295797,9606.ENSP00000308753,9606.ENSP00000316338,9606.ENSP00000320924,9606.ENSP00000324422,9606.ENSP00000348128,9606.ENSP00000348416,9606.ENSP00000352264,9606.ENSP00000358866,9606.ENSP00000362942,9606.ENSP00000365745,9606.ENSP00000388169,9606.ENSP00000394496,9606.ENSP00000417653	VASP,CAPZA1,PRKCI,TMOD3,BAIAP2,WIPF2,ZYX,SVIL,TJP1,CD2AP,FLNA,PHACTR4,CTTN,ARPC4,CORO1C,DBNL
ER	BRAF	GO Process	GO:0008610	Lipid biosynthetic process	19	577	0.95	1.45	0.00000000375	9606.ENSP00000003100,9606.ENSP00000257694,9606.ENSP00000264409,9606.ENSP00000278840,9606.ENSP00000310551,9606.ENSP00000311648,9606.ENSP00000328182,9606.ENSP00000348069,9606.ENSP00000353104,9606.ENSP00000357480,9606.ENSP00000360316,9606.ENSP00000361625,9606.ENSP00000362298,9606.ENSP00000376453,9606.ENSP00000380037,9606.ENSP00000424123,9606.ENSP00000477602,9606.ENSP00000482202,9606.ENSP00000491537	CYP51A1,PNPLA8,GPAT3,FADS2,LCLAT1,UGT8,CLN8,SREBF1,DHDDS,NUS1,DHCR24,DOLPP1,SGPL1,CERS6,FITM2,ELOVL7,ELOVL1,PIGW,FDFT1
ER	RAF1	GO Process	GO:0008610	Lipid biosynthetic process	15	577	0.92	1.06	0.00000468	9606.ENSP00000278840,9606.ENSP00000287936,9606.ENSP00000312458,9606.ENSP00000316329,9606.ENSP00000322229,9606.ENSP00000326869,9606.ENSP00000328182,9606.ENSP00000339883,9606.ENSP00000353104,9606.ENSP00000357480,9606.ENSP00000359380,9606.ENSP00000360316,9606.ENSP00000362298,9606.ENSP00000424123,9606.ENSP00000430548	FADS2,HMGCR,ARV1,SCD5,FADS1,ORMDL1,CLN8,LBR,DHDDS,NUS1,SCD,DHCR24,SGPL1,ELOVL7,PTDSS1
PM	NRAS	Reactome	HSA-422475	Axon guidance	11	551	0.93	1.06	0.00000428	9606.ENSP00000222254,9606.ENSP00000256078,9606.ENSP00000264039,9606.ENSP00000358548,9606.ENSP00000378338,9606.ENSP00000407586,9606.ENSP00000422591,9606.ENSP00000428056,9606.ENSP00000447006,9606.ENSP00000485033,9606.ENSP00000495631	PIK3R2,KRAS,GPC1,NRAS,GIT1,HRAS,SLIT2,PIK3R1,CNTN1,DOCK1,ARHGEF7
PM	ARAF	Reactome	HSA-422475	Axon guidance	15	551	1.01	1.41	0.0000000231	9606.ENSP00000204961,9606.ENSP00000222254,9606.ENSP00000256078,9606.ENSP00000264039,9606.ENSP00000341198,9606.ENSP00000350896,9606.ENSP00000351209,9606.ENSP00000358548,9606.ENSP00000407586,9606.ENSP00000420321,9606.ENSP00000421280,9606.ENSP00000422591,9606.ENSP00000428056,9606.ENSP00000447006,9606.ENSP00000493716	EFNB1,PIK3R2,KRAS,GPC1,NEO1,EPHB4,EPHA2,NRAS,HRAS,ROBO1,MYO10,SLIT2,PIK3R1,CNTN1,EFNB2
PM	RAF1	Reactome	HSA-422475	Axon guidance	12	551	0.9	1.03	0.00000517	9606.ENSP00000222254,9606.ENSP00000256078,9606.ENSP00000264039,9606.ENSP00000265371,9606.ENSP00000351209,9606.ENSP00000358548,9606.ENSP00000407586,9606.ENSP00000420321,9606.ENSP00000421280,9606.ENSP00000422591,9606.ENSP00000428056,9606.ENSP00000428924	PIK3R2,KRAS,GPC1,NRP1,EPHA2,NRAS,HRAS,ROBO1,MYO10,SLIT2,PIK3R1,LYN
unclassified	MEK1_2	GO Process	GO:0051301	Cell division	11	527	0.84	0.58	0.0044	9606.ENSP00000249776,9606.ENSP00000264552,9606.ENSP00000271843,9606.ENSP00000281141,9606.ENSP00000287598,9606.ENSP00000300093,9606.ENSP00000302530,9606.ENSP00000323300,9606.ENSP00000334675,9606.ENSP00000391669,9606.ENSP00000484288	KNSTRN,UBE2S,JTB,CDC123,BUB1B,PLK1,BUB1,SPAG5,ERCC6L,BCAR1,LIG4
unclassified	MEK2	GO Process	GO:0051301	Cell division	11	527	0.89	0.66	0.0023	9606.ENSP00000249776,9606.ENSP00000264552,9606.ENSP00000271843,9606.ENSP00000281141,9606.ENSP00000287598,9606.ENSP00000300093,9606.ENSP00000302530,9606.ENSP00000323300,9606.ENSP00000334675,9606.ENSP00000391669,9606.ENSP00000484288	KNSTRN,UBE2S,JTB,CDC123,BUB1B,PLK1,BUB1,SPAG5,ERCC6L,BCAR1,LIG4
SG	MEK1_2	GO Process	GO:0006417	Regulation of translation	9	456	1.21	1.25	0.0000312	9606.ENSP00000216190,9606.ENSP00000351159,9606.ENSP00000378275,9606.ENSP00000379144,9606.ENSP00000388806,9606.ENSP00000416255,9606.ENSP00000425561,9606.ENSP00000478490,9606.ENSP00000481762	EIF3D,CNOT3,PAIP2,TNRC6A,EIF4B,EIF4G1,EIF4E,YTHDF3,CSDE1
SG	MEK2	GO Process	GO:0006417	Regulation of translation	8	456	1.22	1.11	0.00022	9606.ENSP00000351159,9606.ENSP00000378275,9606.ENSP00000379144,9606.ENSP00000388806,9606.ENSP00000416255,9606.ENSP00000425561,9606.ENSP00000478490,9606.ENSP00000481762	CNOT3,PAIP2,TNRC6A,EIF4B,EIF4G1,EIF4E,YTHDF3,CSDE1
Actin	HRAS	GO Function	GO:0003779	Actin binding	12	448	1.26	1.88	0.000000004	9606.ENSP00000216181,9606.ENSP00000225655,9606.ENSP00000249700,9606.ENSP00000298159,9606.ENSP00000340211,9606.ENSP00000343746,9606.ENSP00000345361,9606.ENSP00000349259,9606.ENSP00000388169,9606.ENSP00000394496,9606.ENSP00000432568,9606.ENSP00000487444	MYH9,PFN1,TMOD2,CFL2,CORO1B,CORO2A,ARPC5L,SPTBN1,ARPC4,CORO1C,SPTBN2,SPTAN1
unclassified	ERK1	GO Component	GO:0005819	Spindle	9	425	1.32	1.79	0.000000155	9606.ENSP00000251413,9606.ENSP00000260383,9606.ENSP00000261965,9606.ENSP00000367049,9606.ENSP00000377492,9606.ENSP00000386419,9606.ENSP00000446093,9606.ENSP00000451211,9606.ENSP00000481465	TUBG1,TUBGCP4,TUBGCP3,MZT1,HMMR,MZT2B,TUBGCP2,NEDD1,FAM83D
nucleus	ERK1	GO Process	GO:0016570	Histone modification	10	396	1.27	1.69	0.000000148	9606.ENSP00000244534,9606.ENSP00000258281,9606.ENSP00000286523,9606.ENSP00000295900,9606.ENSP00000308022,9606.ENSP00000356848,9606.ENSP00000360515,9606.ENSP00000384629,9606.ENSP00000397259,9606.ENSP00000417510	H1-3,TAF5L,ELMSAN1,ATXN7,TADA2B,TADA1,SUPT3H,KMT5A,ATXN7L3,SUPT20H
Actin	BRAF	GO Function	GO:0045296	Cadherin binding	7	334	1.54	2.06	0.00000158	9606.ENSP00000216181,9606.ENSP00000316338,9606.ENSP00000346032,9606.ENSP00000349259,9606.ENSP00000359552,9606.ENSP00000373489,9606.ENSP00000487444	MYH9,BAIAP2,ANXA2,SPTBN1,PKN2,KRT18,SPTAN1
PM	KRAS	GO Function	GO:0003924	GTPase activity	10	317	1.05	1.01	0.0000602	9606.ENSP00000078429,9606.ENSP00000250559,9606.ENSP00000256078,9606.ENSP00000256196,9606.ENSP00000312999,9606.ENSP00000358548,9606.ENSP00000358867,9606.ENSP00000363411,9606.ENSP00000407586,9606.ENSP00000497260	GNA11,RAP1B,KRAS,RRAS2,GNAI2,NRAS,GNAI3,GNG10,HRAS,GNAI1
nucleus	ERK1	GO Process	GO:2001020	Regulation of response to DNA damage stimulus	10	316	1.36	1.97	0.0000000228	9606.ENSP00000254480,9606.ENSP00000258281,9606.ENSP00000295900,9606.ENSP00000308022,9606.ENSP00000356848,9606.ENSP00000360515,9606.ENSP00000369674,9606.ENSP00000384629,9606.ENSP00000397259,9606.ENSP00000417510	SMARCC1,TAF5L,ATXN7,TADA2B,TADA1,SUPT3H,BCL7C,KMT5A,ATXN7L3,SUPT20H
ER	ARAF	Reactome	HSA-446203	Asparagine N-linked glycosylation	7	304	0.98	0.68	0.0031	9606.ENSP00000318165,9606.ENSP00000337053,9606.ENSP00000357480,9606.ENSP00000365938,9606.ENSP00000373312,9606.ENSP00000430236,9606.ENSP00000466134	OS9,SEL1L,NUS1,UGGT2,SEC13,ALG11,PRKCSH
ER	BRAF	Reactome	HSA-446203	Asparagine N-linked glycosylation	11	304	1	1.05	0.0000205	9606.ENSP00000250498,9606.ENSP00000259512,9606.ENSP00000274140,9606.ENSP00000290649,9606.ENSP00000318165,9606.ENSP00000353104,9606.ENSP00000357480,9606.ENSP00000361625,9606.ENSP00000364235,9606.ENSP00000365938,9606.ENSP00000430236	DAD1,DERL1,MARCHF6,AMFR,OS9,DHDDS,NUS1,DOLPP1,RNF5,UGGT2,ALG11
ER	MEK1_2	Reactome	HSA-446203	Asparagine N-linked glycosylation	10	304	0.94	0.76	0.00067	9606.ENSP00000223369,9606.ENSP00000250498,9606.ENSP00000262374,9606.ENSP00000263440,9606.ENSP00000296255,9606.ENSP00000299626,9606.ENSP00000318165,9606.ENSP00000357384,9606.ENSP00000365938,9606.ENSP00000430236	YKT6,DAD1,ALG1,ALG6,RPN1,ALG8,OS9,DPM3,UGGT2,ALG11
ER	MEK2	Reactome	HSA-446203	Asparagine N-linked glycosylation	10	304	0.98	0.86	0.00026	9606.ENSP00000223369,9606.ENSP00000250498,9606.ENSP00000262374,9606.ENSP00000263440,9606.ENSP00000296255,9606.ENSP00000299626,9606.ENSP00000318165,9606.ENSP00000357384,9606.ENSP00000365938,9606.ENSP00000430236	YKT6,DAD1,ALG1,ALG6,RPN1,ALG8,OS9,DPM3,UGGT2,ALG11
ER	ARAF	Reactome	HSA-1474244	Extracellular matrix organization	10	300	1.15	1.35	0.00000186	9606.ENSP00000221930,9606.ENSP00000223127,9606.ENSP00000236040,9606.ENSP00000252599,9606.ENSP00000263556,9606.ENSP00000323696,9606.ENSP00000327801,9606.ENSP00000384999,9606.ENSP00000424571,9606.ENSP00000478600	TGFB1,PLOD3,P3H1,COLGALT1,P4HA1,CRTAP,P4HB,P4HA2,FBN2,P3H3
unclassified	MEK1_2	Reactome	HSA-69620	Cell Cycle Checkpoints	8	272	0.98	0.66	0.0033	9606.ENSP00000223129,9606.ENSP00000248975,9606.ENSP00000258198,9606.ENSP00000264552,9606.ENSP00000287598,9606.ENSP00000300093,9606.ENSP00000302530,9606.ENSP00000334675	RPA3,YWHAH,DYNC1LI2,UBE2S,BUB1B,PLK1,BUB1,ERCC6L
PM	KRAS	COMPARTMENTS	GOCC:0005925	Focal adhesion	10	269	1.12	1.31	0.00000207	9606.ENSP00000256078,9606.ENSP00000256196,9606.ENSP00000282588,9606.ENSP00000293379,9606.ENSP00000296585,9606.ENSP00000312506,9606.ENSP00000380227,9606.ENSP00000389168,9606.ENSP00000402060,9606.ENSP00000462468	KRAS,RRAS2,ITGA1,ITGA5,ITGA2,CSPG4,ITGA4,PPP1R12A,PVR,YES1
PM	MEK1_2	Reactome	HSA-425407	SLC-mediated transmembrane transport	8	247	1.04	0.8	0.00086	9606.ENSP00000234256,9606.ENSP00000272542,9606.ENSP00000278426,9606.ENSP00000310208,9606.ENSP00000333769,9606.ENSP00000355968,9606.ENSP00000363329,9606.ENSP00000449756	SLC1A4,SLC20A1,SLC43A1,SLC5A6,BSG,SLC30A1,SLC31A1,SLC38A1
nucleus	ERK1_2	Reactome	HSA-3247509	Chromatin modifying enzymes	9	238	1.18	1.21	0.0000196	9606.ENSP00000254480,9606.ENSP00000258281,9606.ENSP00000295900,9606.ENSP00000308022,9606.ENSP00000356848,9606.ENSP00000360515,9606.ENSP00000384629,9606.ENSP00000397259,9606.ENSP00000417510	SMARCC1,TAF5L,ATXN7,TADA2B,TADA1,SUPT3H,KMT5A,ATXN7L3,SUPT20H
nucleus	ERK1	Reactome	HSA-3247509	Chromatin modifying enzymes	9	238	1.44	2.04	0.0000000575	9606.ENSP00000254480,9606.ENSP00000258281,9606.ENSP00000295900,9606.ENSP00000308022,9606.ENSP00000356848,9606.ENSP00000360515,9606.ENSP00000384629,9606.ENSP00000397259,9606.ENSP00000417510	SMARCC1,TAF5L,ATXN7,TADA2B,TADA1,SUPT3H,KMT5A,ATXN7L3,SUPT20H
PM	NRAS	KEGG	hsa04014	Ras signaling pathway	10	225	1.28	1.81	0.0000000222	9606.ENSP00000222254,9606.ENSP00000250559,9606.ENSP00000256078,9606.ENSP00000335029,9606.ENSP00000355771,9606.ENSP00000358464,9606.ENSP00000358548,9606.ENSP00000398629,9606.ENSP00000407586,9606.ENSP00000428056	PIK3R2,RAP1B,KRAS,RASA3,AFDN,SHOC2,NRAS,GNG4,HRAS,PIK3R1
ER	BRAF	GO Process	GO:0034976	Response to endoplasmic reticulum stress	13	223	1.2	1.74	0.0000000143	9606.ENSP00000248958,9606.ENSP00000259512,9606.ENSP00000274140,9606.ENSP00000290649,9606.ENSP00000318165,9606.ENSP00000324173,9606.ENSP00000345575,9606.ENSP00000364235,9606.ENSP00000365938,9606.ENSP00000380401,9606.ENSP00000381282,9606.ENSP00000418813,9606.ENSP00000422473	SDF2L1,DERL1,MARCHF6,AMFR,OS9,HSPA5,DNAJB12,RNF5,UGGT2,FOXRED2,SELENOS,SELENOK,TMEM33
unclassified	ARAF	GO Process	GO:0006457	Protein folding	6	215	1.1	0.43	0.0476	9606.ENSP00000202017,9606.ENSP00000262177,9606.ENSP00000338814,9606.ENSP00000359727,9606.ENSP00000369127,9606.ENSP00000378563	PDRG1,DNAJB6,BAG5,BAG2,DNAJA1,PFDN6
Actin	NRAS	GO Function	GO:0051015	Actin filament binding	4	213	1.53	0.8	0.0219	9606.ENSP00000288670,9606.ENSP00000343746,9606.ENSP00000349259,9606.ENSP00000487444	FMNL2,CORO2A,SPTBN1,SPTAN1
nucleus	ERK1_2	GO Process	GO:0006282	Regulation of DNA repair	10	213	1.28	1.61	0.000000345	9606.ENSP00000254480,9606.ENSP00000258281,9606.ENSP00000295900,9606.ENSP00000308022,9606.ENSP00000356848,9606.ENSP00000360515,9606.ENSP00000369674,9606.ENSP00000397259,9606.ENSP00000417510,9606.ENSP00000479526	SMARCC1,TAF5L,ATXN7,TADA2B,TADA1,SUPT3H,BCL7C,ATXN7L3,SUPT20H,DPF3
unclassified	all_RAF	GO Process	GO:0031396	Regulation of protein ubiquitination	7	212	0.94	0.39	0.0429	9606.ENSP00000264552,9606.ENSP00000338814,9606.ENSP00000354091,9606.ENSP00000359727,9606.ENSP00000362824,9606.ENSP00000369127,9606.ENSP00000429084	UBE2S,BAG5,GNL3L,BAG2,OGT,DNAJA1,UBR5
PM	MEK1_2	KEGG	hsa04510	Focal adhesion	5	195	0.94	0.48	0.0201	9606.ENSP00000261023,9606.ENSP00000296181,9606.ENSP00000380227,9606.ENSP00000389168,9606.ENSP00000407586	ITGAV,ITGB5,ITGA4,PPP1R12A,HRAS
Actin	NRAS	WikiPathways	WP306	Focal adhesion	4	195	1.57	1.18	0.0025	9606.ENSP00000262741,9606.ENSP00000304283,9606.ENSP00000326031,9606.ENSP00000378769	PIK3R3,RAC3,PPP1CA,PPP1CB
PM	BRAF	KEGG	hsa04360	Axon guidance	5	176	1.16	0.87	0.001	9606.ENSP00000256078,9606.ENSP00000351209,9606.ENSP00000358548,9606.ENSP00000407586,9606.ENSP00000422591	KRAS,EPHA2,NRAS,HRAS,SLIT2
PM	MEK1_2	KEGG	hsa04360	Axon guidance	6	176	1.06	0.71	0.0026	9606.ENSP00000341198,9606.ENSP00000351209,9606.ENSP00000360672,9606.ENSP00000407586,9606.ENSP00000422591,9606.ENSP00000493716	NEO1,EPHA2,PARD6B,HRAS,SLIT2,EFNB2
PM	MEK1	KEGG	hsa04360	Axon guidance	4	176	1.42	0.92	0.0049	9606.ENSP00000351209,9606.ENSP00000360672,9606.ENSP00000407586,9606.ENSP00000422591	EPHA2,PARD6B,HRAS,SLIT2
Actin	ERK1_2	KEGG	hsa04360	Axon guidance	4	176	1.42	0.92	0.0049	9606.ENSP00000262741,9606.ENSP00000298159,9606.ENSP00000355809,9606.ENSP00000379975	PIK3R3,CFL2,ENAH,ILK
ER	BRAF	KEGG	hsa04141	Protein processing in endoplasmic reticulum	12	163	1.3	2.1	5.15E-10	9606.ENSP00000250498,9606.ENSP00000259512,9606.ENSP00000274140,9606.ENSP00000290649,9606.ENSP00000318165,9606.ENSP00000324173,9606.ENSP00000345575,9606.ENSP00000364235,9606.ENSP00000365938,9606.ENSP00000366179,9606.ENSP00000381282,9606.ENSP00000414398	DAD1,DERL1,MARCHF6,AMFR,OS9,HSPA5,DNAJB12,RNF5,UGGT2,DNAJC1,SELENOS,DNAJB11
ER	MEK2	KEGG	hsa04141	Protein processing in endoplasmic reticulum	11	163	1.29	1.91	0.00000000597	9606.ENSP00000185150,9606.ENSP00000243253,9606.ENSP00000250498,9606.ENSP00000296255,9606.ENSP00000318165,9606.ENSP00000324173,9606.ENSP00000345575,9606.ENSP00000365938,9606.ENSP00000451261,9606.ENSP00000479216,9606.ENSP00000480150	ERLEC1,SEC61A1,DAD1,RPN1,OS9,HSPA5,DNAJB12,UGGT2,UBE2J1,UBXN8,HYOU1
Endo	RAF1	GO Process	GO:0098876	Vesicle-mediated transport to the plasma membrane	5	123	1.7	1.34	0.00069	9606.ENSP00000263559,9606.ENSP00000265062,9606.ENSP00000349929,9606.ENSP00000362946,9606.ENSP00000461945	VPS26A,RAB7A,ENTR1,RAB14,RAB31
unclassified	MEK2	Reactome	HSA-69618	Mitotic Spindle Checkpoint	6	111	1.3	0.84	0.0016	9606.ENSP00000258198,9606.ENSP00000264552,9606.ENSP00000287598,9606.ENSP00000300093,9606.ENSP00000302530,9606.ENSP00000334675	DYNC1LI2,UBE2S,BUB1B,PLK1,BUB1,ERCC6L
nucleus	ERK1_2	Reactome	HSA-3214847	HATs acetylate histones	7	107	1.42	1.38	0.0000196	9606.ENSP00000258281,9606.ENSP00000295900,9606.ENSP00000308022,9606.ENSP00000356848,9606.ENSP00000360515,9606.ENSP00000397259,9606.ENSP00000417510	TAF5L,ATXN7,TADA2B,TADA1,SUPT3H,ATXN7L3,SUPT20H
nucleus	ERK1	Reactome	HSA-3214847	HATs acetylate histones	7	107	1.68	2.3	0.00000011	9606.ENSP00000258281,9606.ENSP00000295900,9606.ENSP00000308022,9606.ENSP00000356848,9606.ENSP00000360515,9606.ENSP00000397259,9606.ENSP00000417510	TAF5L,ATXN7,TADA2B,TADA1,SUPT3H,ATXN7L3,SUPT20H
unclassified	all_RAF	STRING clusters	CL:1761	Unfolded protein binding, and Chaperone complex	7	91	1.31	0.95	0.00041	9606.ENSP00000202017,9606.ENSP00000262177,9606.ENSP00000359727,9606.ENSP00000369127,9606.ENSP00000376097,9606.ENSP00000378563,9606.ENSP00000475224	PDRG1,DNAJB6,BAG2,DNAJA1,URI1,PFDN6,ASDURF
