subcell_localization	query	category	term_id	term_name	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PM	KRAS	STRING clusters	CL:24316	ADP signalling through P2Y purinoceptor 12, and Prostaglandin E receptor activity	6	25	1.93	1.9	0.00000126	9606.ENSP00000078429,9606.ENSP00000312999,9606.ENSP00000358867,9606.ENSP00000363411,9606.ENSP00000398629,9606.ENSP00000497260	GNA11,GNAI2,GNAI3,GNG10,GNG4,GNAI1
SG	MEK1_2	Reactome	HSA-429947	Deadenylation of mRNA	4	25	2.12	1.67	0.0000896	9606.ENSP00000351159,9606.ENSP00000388806,9606.ENSP00000416255,9606.ENSP00000425561	CNOT3,EIF4B,EIF4G1,EIF4E
SG	MEK2	Reactome	HSA-429947	Deadenylation of mRNA	4	25	2.18	1.84	0.0000506	9606.ENSP00000351159,9606.ENSP00000388806,9606.ENSP00000416255,9606.ENSP00000425561	CNOT3,EIF4B,EIF4G1,EIF4E
ER	ARAF	Reactome	HSA-901032	ER Quality Control Compartment (ERQC)	3	21	1.78	0.73	0.0081	9606.ENSP00000318165,9606.ENSP00000337053,9606.ENSP00000365938	OS9,SEL1L,UGGT2
ER	BRAF	KEGG	hsa00100	Steroid biosynthesis	3	20	1.61	0.64	0.0087	9606.ENSP00000003100,9606.ENSP00000360316,9606.ENSP00000491537	CYP51A1,DHCR24,FDFT1
unclassified	BRAF	GO Component	GO:0000930	Gamma-tubulin complex	4	16	2.17	1.61	0.0000631	9606.ENSP00000251413,9606.ENSP00000261965,9606.ENSP00000367049,9606.ENSP00000446093	TUBG1,TUBGCP3,MZT1,TUBGCP2
unclassified	ERK1	GO Component	GO:0000930	Gamma-tubulin complex	6	16	2.57	4.42	7.19E-11	9606.ENSP00000251413,9606.ENSP00000260383,9606.ENSP00000261965,9606.ENSP00000367049,9606.ENSP00000386419,9606.ENSP00000446093	TUBG1,TUBGCP4,TUBGCP3,MZT1,MZT2B,TUBGCP2
unclassified	ERK2	GO Component	GO:0000930	Gamma-tubulin complex	6	16	2.45	3.77	4.24E-10	9606.ENSP00000251413,9606.ENSP00000260383,9606.ENSP00000261965,9606.ENSP00000367049,9606.ENSP00000386419,9606.ENSP00000446093	TUBG1,TUBGCP4,TUBGCP3,MZT1,MZT2B,TUBGCP2
SG	ERK1_2	GO Process	GO:0035278	miRNA-mediated gene silencing by inhibition of translation	4	15	2.72	3.24	0.00000144	9606.ENSP00000220592,9606.ENSP00000362287,9606.ENSP00000362300,9606.ENSP00000379144	AGO2,AGO3,AGO1,TNRC6A
SG	ERK2	GO Process	GO:0035278	miRNA-mediated gene silencing by inhibition of translation	4	15	2.77	3.58	0.00000058	9606.ENSP00000220592,9606.ENSP00000362287,9606.ENSP00000362300,9606.ENSP00000379144	AGO2,AGO3,AGO1,TNRC6A
unclassified	all_RAF	STRING clusters	CL:26138	Gamma-tubulin complex	4	12	1.94	1.05	0.00042	9606.ENSP00000251413,9606.ENSP00000261965,9606.ENSP00000367049,9606.ENSP00000446093	TUBG1,TUBGCP3,MZT1,TUBGCP2
Actin	all_RAF	Reactome	HSA-390450	Folding of actin by CCT/TriC	8	10	2.63	5.23	6.68E-15	9606.ENSP00000258091,9606.ENSP00000275603,9606.ENSP00000280326,9606.ENSP00000286788,9606.ENSP00000295688,9606.ENSP00000299300,9606.ENSP00000317334,9606.ENSP00000377958	CCT7,CCT6A,CCT5,CCT8,CCT3,CCT2,TCP1,CCT4
Actin	ARAF	Reactome	HSA-390450	Folding of actin by CCT/TriC	8	10	2.86	6.97	5.6E-17	9606.ENSP00000258091,9606.ENSP00000275603,9606.ENSP00000280326,9606.ENSP00000286788,9606.ENSP00000295688,9606.ENSP00000299300,9606.ENSP00000317334,9606.ENSP00000377958	CCT7,CCT6A,CCT5,CCT8,CCT3,CCT2,TCP1,CCT4
