Network	Bait	Prey	Bait_uniprot	Prey_uniprot	Interaction	SILAC Ratio               (Prey abundance in EGFRNetmtKRAS-Lo AP/Prey abundance in EV control AP)	Log2 (SILAC ratio)	t-test                                   P value	Significance A	Is significantly rewired (relative to EGFRNetmtKRAS-Hi)?	Is interaction in Bioplex 2.0 (Huttlin et al., 2017)?	Is interaction in Rolland et al., 2014?	Is interaction in IID (Kotlyar et al. 2016)?	Is interaction in Hein et al., 2015?
EGFRNetmtKRAS-Lo	GAB2	SFN	Q9UQC2	P31947	GAB2_SFN	2.85	1.51	5.10E-05	9.63E-04	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	GAB2	YWHAQ	Q9UQC2	P27348	GAB2_YWHAQ	2.85	1.51	3.93E-08	9.65E-04	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	GAB2	JUP	Q9UQC2	P14923	GAB2_JUP	2.43	1.28	4.13E-03	4.08E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	GAB2	HSPA5	Q9UQC2	P11021	GAB2_HSPA5	1.89	0.92	5.20E-07	2.79E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	GAB2	HSPB1	Q9UQC2	P04792	GAB2_HSPB1	2.07	1.05	1.13E-04	1.50E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB10	EXOSC1	Q13322	Q9Y3B2	GRB10_EXOSC1	1.86	0.89	3.84E-02	1.27E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB10	C19ORF53	Q13322	Q9UNZ5	GRB10_C19ORF53	2.32	1.21	2.79E-02	1.18E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB10	AKAP8L	Q13322	Q9ULX6	GRB10_AKAP8L	1.90	0.92	3.25E-04	1.04E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB10	RBM28	Q13322	Q9NW13	GRB10_RBM28	3.22	1.69	4.80E-03	1.10E-05	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB10	EXOSC3	Q13322	Q9NQT5	GRB10_EXOSC3	2.11	1.08	2.56E-02	3.47E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB10	WDR6	Q13322	Q9NNW5	GRB10_WDR6	3.65	1.87	4.84E-02	1.27E-06	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB10	WDR61	Q13322	Q9GZS3	GRB10_WDR61	2.12	1.08	1.62E-03	3.32E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB10	DDX24	Q13322	Q9GZR7	GRB10_DDX24	2.11	1.08	4.39E-03	3.47E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB10	EBNA1BP2	Q13322	Q99848	GRB10_EBNA1BP2	2.96	1.56	1.65E-02	4.19E-05	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB10	USP9X	Q13322	Q93008	GRB10_USP9X	3.78	1.92	4.70E-03	6.88E-07	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB10	HSPH1	Q13322	Q92598	GRB10_HSPH1	1.81	0.86	3.27E-04	1.62E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB10	H1FX	Q13322	Q92522	GRB10_H1FX	3.08	1.62	1.89E-02	2.28E-05	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB10	TFB1M	Q13322	Q8WVM0	GRB10_TFB1M	2.70	1.43	2.79E-02	1.57E-04	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB10	PAF1	Q13322	Q8N7H5	GRB10_PAF1	2.20	1.14	1.91E-02	2.21E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB10	CHCHD4	Q13322	Q8N4Q1	GRB10_CHCHD4	6.79	2.76	6.31E-05	1.55E-12	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	GRB10	FTSJ3	Q13322	Q8IY81	GRB10_FTSJ3	2.00	1.00	3.80E-02	6.29E-03	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	GRB10	DHX30	Q13322	Q7L2E3	GRB10_DHX30	1.61	0.69	4.28E-03	4.30E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB10	CDC73	Q13322	Q6P1J9	GRB10_CDC73	2.11	1.08	3.80E-02	3.47E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB10	PPP2R2D	Q13322	Q66LE6	GRB10_PPP2R2D	6.94	2.79	1.42E-04	8.96E-13	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB10	TRIP6	Q13322	Q15654	GRB10_TRIP6	2.72	1.44	4.64E-02	1.43E-04	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB10	SEC23B	Q13322	Q15437	GRB10_SEC23B	2.15	1.10	4.11E-03	2.83E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB10	SART3	Q13322	Q15020	GRB10_SART3	1.69	0.76	2.05E-03	2.91E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB10	FAT1	Q13322	Q14517	GRB10_FAT1	1.94	0.95	6.57E-05	8.52E-03	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	GRB10	GRB10	Q13322	Q13322	GRB10_GRB10	11.01	3.46	6.48E-11	1.20E-18	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	GRB10	PPP2CA	Q13322	P67775	GRB10_PPP2CA	6.61	2.73	1.61E-09	3.13E-12	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB10	RPL38	Q13322	P63173	GRB10_RPL38	1.58	0.66	1.02E-02	4.98E-02	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	GRB10	PPP2R2A	Q13322	P63151	GRB10_PPP2R2A	6.48	2.70	2.43E-10	5.30E-12	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB10	DCAF7	Q13322	P61962	GRB10_DCAF7	3.30	1.72	2.86E-02	7.36E-06	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	GRB10	USP11	Q13322	P51784	GRB10_USP11	2.15	1.10	9.29E-03	2.89E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB10	FXR1	Q13322	P51114	GRB10_FXR1	3.27	1.71	7.08E-03	8.76E-06	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	GRB10	ALDH1A3	Q13322	P47895	GRB10_ALDH1A3	2.81	1.49	1.68E-02	9.20E-05	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	GRB10	HSPA9	Q13322	P38646	GRB10_HSPA9	2.30	1.20	5.32E-08	1.26E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB10	CTNNB1	Q13322	P35222	GRB10_CTNNB1	1.67	0.74	3.40E-05	3.23E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB10	CTNNA1	Q13322	P35221	GRB10_CTNNA1	1.60	0.67	1.90E-04	4.68E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB10	PPP2R1A	Q13322	P30153	GRB10_PPP2R1A	6.74	2.75	2.74E-10	1.89E-12	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	GRB10	CAD	Q13322	P27708	GRB10_CAD	1.84	0.88	5.78E-06	1.43E-02	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	GRB10	CDH3	Q13322	P22223	GRB10_CDH3	1.87	0.91	1.58E-03	1.18E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB10	HSPA7	Q13322	P48741	GRB10_HSPA7	3.06	1.61	1.74E-04	2.50E-05	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB10	HSPA6	Q13322	P17066	GRB10_HSPA6	3.06	1.61	1.74E-04	2.50E-05	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB10	JUP	Q13322	P14923	GRB10_JUP	1.60	0.68	6.13E-08	4.58E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB10	TOP1	Q13322	P11387	GRB10_TOP1	1.62	0.70	4.09E-03	4.11E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB10	HSPA8	Q13322	P11142	GRB10_HSPA8	1.91	0.93	5.20E-05	9.75E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB10	HSPA5	Q13322	P11021	GRB10_HSPA5	2.85	1.51	1.20E-07	7.22E-05	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB10	HSPA1A	Q13322	P08107	GRB10_HSPA1A	2.04	1.03	1.80E-05	5.03E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB10	P4HB	Q13322	P07237	GRB10_P4HB	2.78	1.48	4.21E-06	1.04E-04	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB10	RPLP1	Q13322	P05386	GRB10_RPLP1	2.66	1.41	9.23E-03	1.93E-04	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	GRB10	HSPB1	Q13322	P04792	GRB10_HSPB1	1.94	0.95	1.72E-03	8.58E-03	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	GRB10	AIFM1	Q13322	O95831	GRB10_AIFM1	4.32	2.11	8.61E-07	5.20E-08	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	GRB10	BAG2	Q13322	O95816	GRB10_BAG2	1.61	0.69	2.01E-02	4.35E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB10	HSPA4L	Q13322	O95757	GRB10_HSPA4L	1.63	0.71	1.65E-03	3.88E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB10	ANKRD28	Q13322	O15084	GRB10_ANKRD28	2.11	1.08	2.23E-02	3.51E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB10	POLRMT	Q13322	O00411	GRB10_POLRMT	2.37	1.24	4.58E-02	9.16E-04	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB2	HYOU1	P62993	Q9Y4L1	GRB2_HYOU1	1.63	0.70	1.84E-02	4.09E-03	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	GRB2	SEC23B	P62993	Q15437	GRB2_SEC23B	1.43	0.51	1.49E-02	2.72E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB2	YWHAB	P62993	P31946	GRB2_YWHAB	1.54	0.63	6.62E-04	9.22E-03	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	GRB2	SHC1	P62993	P29353	GRB2_SHC1	11.28	3.50	1.55E-02	2.24E-47	Yes	No	No	Yes	No
EGFRNetmtKRAS-Lo	GRB2	NQO1	P62993	P15559	GRB2_NQO1	1.64	0.72	2.11E-05	3.54E-03	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	GRB2	FDPS	P62993	P14324	GRB2_FDPS	1.38	0.47	4.09E-03	3.89E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB2	G6PD	P62993	P11413	GRB2_G6PD	1.40	0.48	1.92E-02	3.40E-02	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	GRB2	SLC25A5	P62993	P05141	GRB2_SLC25A5	1.43	0.51	4.24E-03	2.70E-02	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	GRB2	EGFR	P62993	P00533	GRB2_EGFR	2.59	1.38	1.15E-03	1.29E-07	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	GRB2	ARHGEF35	P62993	A5YM69	GRB2_ARHGEF35	13.42	3.75	7.56E-03	7.66E-45	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	GRB2	GIT1	P62993	Q9Y2X7	GRB2_GIT1	6.89	2.79	5.83E-04	2.49E-13	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	GRB2	DNM3	P62993	Q9UQ16	GRB2_DNM3	11.47	3.52	1.33E-07	3.55E-20	No	Yes	No	Yes	No
EGFRNetmtKRAS-Lo	GRB2	ASAP1	P62993	Q9ULH1	GRB2_ASAP1	9.38	3.23	3.74E-05	2.78E-17	No	Yes	No	Yes	No
EGFRNetmtKRAS-Lo	GRB2	ERRFI1	P62993	Q9UJM3	GRB2_ERRFI1	16.69	4.06	2.03E-04	3.25E-26	Yes	Yes	No	Yes	No
EGFRNetmtKRAS-Lo	GRB2	VPS37B	P62993	Q9H9H4	GRB2_VPS37B	5.64	2.50	9.95E-04	4.73E-11	No	Yes	No	No	No
EGFRNetmtKRAS-Lo	GRB2	DOCK5	P62993	Q9H7D0	GRB2_DOCK5	6.76	2.76	4.81E-06	4.34E-13	No	Yes	No	Yes	No
EGFRNetmtKRAS-Lo	GRB2	FAM59A	P62993	Q9H706	GRB2_FAM59A	7.99	3.00	2.14E-04	3.73E-15	No	Yes	No	Yes	No
EGFRNetmtKRAS-Lo	GRB2	TSG101	P62993	Q99816	GRB2_TSG101	7.19	2.85	1.32E-04	7.76E-14	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	GRB2	ARAP1	P62993	Q96P48	GRB2_ARAP1	16.93	4.08	3.58E-04	1.85E-26	No	Yes	No	Yes	No
EGFRNetmtKRAS-Lo	GRB2	ELMO2	P62993	Q96JJ3	GRB2_ELMO2	4.11	2.04	3.36E-03	5.98E-08	No	Yes	No	Yes	No
EGFRNetmtKRAS-Lo	GRB2	ELMO3	P62993	Q96BJ8	GRB2_ELMO3	11.36	3.51	4.39E-06	4.86E-20	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB2	WIPF2	P62993	Q8TF74	GRB2_WIPF2	40.69	5.35	1.25E-04	5.93E-44	No	Yes	No	Yes	No
EGFRNetmtKRAS-Lo	GRB2	DOCK4	P62993	Q8N1I0	GRB2_DOCK4	5.55	2.47	4.75E-03	6.84E-11	No	Yes	No	Yes	No
EGFRNetmtKRAS-Lo	GRB2	SGK223	P62993	Q86YV5	GRB2_SGK223	3.84	1.94	8.36E-04	2.28E-07	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	GRB2	PIK3AP1	P62993	Q6ZUJ8	GRB2_PIK3AP1	10.30	3.36	7.76E-05	1.34E-18	No	Yes	No	Yes	No
EGFRNetmtKRAS-Lo	GRB2	DOCK1	P62993	Q14185	GRB2_DOCK1	8.55	3.10	1.09E-07	4.81E-16	No	Yes	No	Yes	No
EGFRNetmtKRAS-Lo	GRB2	CBLB	P62993	Q13191	GRB2_CBLB	10.88	3.44	1.81E-06	2.13E-19	No	Yes	Yes	Yes	No
EGFRNetmtKRAS-Lo	GRB2	ARHGEF5	P62993	Q12774	GRB2_ARHGEF5	9.16	3.20	3.45E-03	3.46E-33	Yes	No	No	Yes	No
EGFRNetmtKRAS-Lo	GRB2	SOS2	P62993	Q07890	GRB2_SOS2	8.63	3.11	2.40E-07	1.59E-31	No	Yes	No	Yes	No
EGFRNetmtKRAS-Lo	GRB2	SOS1	P62993	Q07889	GRB2_SOS1	16.66	4.06	2.10E-04	3.45E-26	No	Yes	No	Yes	No
EGFRNetmtKRAS-Lo	GRB2	DNM1	P62993	Q05193	GRB2_DNM1	23.94	4.58	7.05E-03	7.97E-33	No	Yes	No	Yes	No
EGFRNetmtKRAS-Lo	GRB2	PLOD1	P62993	Q02809	GRB2_PLOD1	6.27	2.65	1.53E-04	3.18E-12	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB2	CLTC	P62993	Q00610	GRB2_CLTC	1.80	0.85	1.03E-02	1.32E-02	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	GRB2	YWHAZ	P62993	P63104	GRB2_YWHAZ	3.57	1.84	1.42E-06	9.30E-07	Yes	No	No	Yes	No
EGFRNetmtKRAS-Lo	GRB2	GRB2	P62993	P62993	GRB2_GRB2	35.96	5.17	3.88E-07	3.29E-41	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	GRB2	YWHAE	P62993	P62258	GRB2_YWHAE	2.21	1.14	3.86E-03	1.48E-03	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	GRB2	YWHAG	P62993	P61981	GRB2_YWHAG	2.76	1.47	1.65E-06	6.93E-05	Yes	No	No	Yes	No
EGFRNetmtKRAS-Lo	GRB2	CAPZA1	P62993	P52907	GRB2_CAPZA1	1.80	0.85	5.71E-03	1.37E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB2	DNM2	P62993	P50570	GRB2_DNM2	20.20	4.34	7.78E-05	1.31E-29	No	Yes	No	Yes	No
EGFRNetmtKRAS-Lo	GRB2	KRT2	P62993	P35908	GRB2_KRT2	6.03	2.59	1.22E-02	8.88E-12	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	GRB2	CAD	P62993	P27708	GRB2_CAD	7.30	2.87	1.76E-05	5.04E-14	Yes	No	No	Yes	No
EGFRNetmtKRAS-Lo	GRB2	CBL	P62993	P22681	GRB2_CBL	25.82	4.69	1.26E-04	2.66E-34	No	Yes	No	Yes	No
EGFRNetmtKRAS-Lo	GRB2	PTPRA	P62993	P18433	GRB2_PTPRA	3.14	1.65	2.50E-03	3.20E-10	No	Yes	No	Yes	No
EGFRNetmtKRAS-Lo	GRB2	PTPN1	P62993	P18031	GRB2_PTPN1	11.34	3.50	6.15E-03	5.18E-20	Yes	No	No	Yes	No
EGFRNetmtKRAS-Lo	GRB2	PKM	P62993	P14618	GRB2_PKM	1.83	0.87	1.68E-02	1.16E-02	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	GRB2	HSPA8	P62993	P11142	GRB2_HSPA8	1.81	0.86	5.14E-05	1.26E-02	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	GRB2	HSPA5	P62993	P11021	GRB2_HSPA5	1.94	0.95	1.01E-04	6.41E-03	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	GRB2	ANXA2P2	P62993	A6NMY6	GRB2_ANXA2P2	1.57	0.65	1.03E-03	4.35E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB2	ANXA2	P62993	P07355	GRB2_ANXA2	1.57	0.65	1.03E-03	4.35E-02	Yes	No	No	Yes	No
EGFRNetmtKRAS-Lo	GRB2	HSPB1	P62993	P04792	GRB2_HSPB1	2.14	1.10	7.63E-06	2.01E-05	Yes	No	No	Yes	No
EGFRNetmtKRAS-Lo	GRB2	PIK3C2B	P62993	O00750	GRB2_PIK3C2B	7.10	2.83	5.72E-04	1.12E-13	No	Yes	No	Yes	No
EGFRNetmtKRAS-Lo	GRB2	WASL	P62993	O00401	GRB2_WASL	11.63	3.54	5.19E-04	2.19E-20	No	Yes	Yes	Yes	No
EGFRNetmtKRAS-Lo	GRB2	WIPF3	P62993	A6NGB9	GRB2_WIPF3	8.78	3.13	2.20E-04	2.15E-16	No	Yes	No	Yes	No
EGFRNetmtKRAS-Lo	GRB7	NOC2L	Q14451	Q9Y3T9	GRB7_NOC2L	4.69	2.23	7.93E-04	4.54E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB7	C19ORF53	Q14451	Q9UNZ5	GRB7_C19ORF53	5.20	2.38	5.49E-03	3.63E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB7	GRB7	Q14451	Q14451	GRB7_GRB7	9.23	3.21	1.54E-06	8.66E-03	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	GRB7	RPL18	Q14451	Q07020	GRB7_RPL18	4.52	2.18	1.25E-07	4.91E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB7	RPL6	Q14451	Q02878	GRB7_RPL6	4.71	2.23	1.58E-08	4.52E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB7	RPL19	Q14451	P84098	GRB7_RPL19	4.51	2.17	3.97E-08	4.95E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB7	MRPS21	Q14451	P82921	GRB7_MRPS21	4.99	2.32	1.82E-02	3.97E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB7	RPL32	Q14451	P62910	GRB7_RPL32	5.11	2.35	4.12E-07	3.77E-02	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	GRB7	POLR2L	Q14451	P62875	GRB7_POLR2L	5.71	2.51	3.44E-03	2.93E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB7	RPL37A	Q14451	P61513	GRB7_RPL37A	4.89	2.29	3.30E-09	4.15E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB7	RPL27	Q14451	P61353	GRB7_RPL27	4.69	2.23	2.84E-08	4.56E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB7	RPL15	Q14451	P61313	GRB7_RPL15	4.63	2.21	1.07E-08	4.68E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB7	RPL14	Q14451	P50914	GRB7_RPL14	4.60	2.20	4.00E-07	4.75E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB7	RPL35	Q14451	P42766	GRB7_RPL35	5.25	2.39	2.03E-08	3.56E-02	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	GRB7	RPL13A	Q14451	P40429	GRB7_RPL13A	4.99	2.32	3.12E-09	3.97E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB7	RPL4	Q14451	P36578	GRB7_RPL4	4.50	2.17	4.44E-09	4.97E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB7	RPL12	Q14451	P30050	GRB7_RPL12	4.74	2.25	9.89E-09	4.45E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB7	RPL10L	Q14451	Q96L21	GRB7_RPL10L	4.71	2.24	1.99E-08	4.51E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB7	RPL10	Q14451	P27635	GRB7_RPL10	4.71	2.24	1.99E-08	4.51E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB7	RPL35A	Q14451	P18077	GRB7_RPL35A	4.74	2.25	5.00E-07	4.45E-02	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	GRB7	NEMF	Q14451	O60524	GRB7_NEMF	5.57	2.48	8.46E-04	3.10E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	GRB7	RIOK3	Q14451	O14730	GRB7_RIOK3	6.02	2.59	1.69E-02	2.60E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	HCK	DPP7	P08631	Q9UHL4	HCK_DPP7	1.38	0.47	3.56E-05	4.89E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	HCK	HSP90AB2P	P08631	Q58FF8	HCK_HSP90AB2P	4.79	2.26	1.24E-06	5.96E-15	No	No	No	No	No
EGFRNetmtKRAS-Lo	HCK	CDC37	P08631	Q16543	HCK_CDC37	11.54	3.53	7.37E-08	1.47E-33	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	HCK	RPL37	P08631	P61927	HCK_RPL37	1.42	0.50	4.54E-02	3.79E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	HCK	FXR1	P08631	P51114	HCK_FXR1	1.60	0.68	1.91E-02	8.79E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	HCK	CDK9	P08631	P50750	HCK_CDK9	3.50	1.81	2.06E-02	2.95E-10	No	No	No	No	No
EGFRNetmtKRAS-Lo	HCK	LRPPRC	P08631	P42704	HCK_LRPPRC	1.45	0.53	1.45E-02	3.05E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	HCK	HSPA9	P08631	P38646	HCK_HSPA9	1.68	0.75	2.24E-06	4.47E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	HCK	RPL22	P08631	P35268	HCK_RPL22	1.53	0.62	1.00E-03	1.54E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	HCK	HSPA6	P08631	P17066	HCK_HSPA6	1.62	0.69	3.59E-05	7.65E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	HCK	HSPA8	P08631	P11142	HCK_HSPA8	1.62	0.70	4.08E-05	7.27E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	HCK	HSPA5	P08631	P11021	HCK_HSPA5	1.72	0.78	2.02E-04	3.35E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	HCK	HCK	P08631	P08631	HCK_HCK	10.42	3.38	8.49E-07	5.36E-31	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	HCK	HSP90AB3P	P08631	Q58FF7	HCK_HSP90AB3P	5.70	2.51	1.43E-06	5.00E-18	No	No	No	No	No
EGFRNetmtKRAS-Lo	HCK	HSP90AB1	P08631	P08238	HCK_HSP90AB1	5.70	2.51	1.43E-06	5.00E-18	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	HCK	HSPA1A	P08631	P08107	HCK_HSPA1A	1.52	0.61	4.06E-06	1.68E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	HCK	HNRNPCL1	P08631	O60812	HCK_HNRNPCL1	1.51	0.60	1.29E-03	1.84E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	HCK	HNRNPC	P08631	P07910	HCK_HNRNPC	1.51	0.60	1.29E-03	1.84E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	HCK	HSP90AA1	P08631	P07900	HCK_HSP90AA1	7.43	2.89	1.40E-06	2.97E-23	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	HCK	HSPB1	P08631	P04792	HCK_HSPB1	3.62	1.86	1.38E-05	1.06E-10	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	HCK	BAG2	P08631	O95816	HCK_BAG2	2.32	1.21	8.78E-05	1.51E-05	No	No	No	No	No
EGFRNetmtKRAS-Lo	HCK	MAGEB2	P08631	O15479	HCK_MAGEB2	1.55	0.63	1.12E-03	1.38E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	HDAC1	TLN1	Q13547	Q9Y490	HDAC1_TLN1	11.41	3.51	3.69E-02	5.65E-05	No	No	No	No	No
EGFRNetmtKRAS-Lo	HDAC1	PRPF19	Q13547	Q9UMS4	HDAC1_PRPF19	45.60	5.51	2.00E-03	7.32E-10	No	No	No	No	No
EGFRNetmtKRAS-Lo	HDAC1	PFDN4	Q13547	Q9NQP4	HDAC1_PFDN4	6.17	2.62	1.09E-02	1.93E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	HDAC1	WDR26	Q13547	Q9H7D7	HDAC1_WDR26	27.01	4.76	3.93E-02	8.88E-08	No	No	No	No	No
EGFRNetmtKRAS-Lo	HDAC1	PDCL3	Q13547	Q9H2J4	HDAC1_PDCL3	9.72	3.28	7.26E-04	1.55E-04	No	No	No	No	No
EGFRNetmtKRAS-Lo	HDAC1	FANCD2	Q13547	Q9BXW9	HDAC1_FANCD2	3.17	1.66	1.35E-02	3.29E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	HDAC1	CCT7	Q13547	Q99832	HDAC1_CCT7	9.14	3.19	2.02E-10	2.24E-04	No	Yes	No	Yes	Yes
EGFRNetmtKRAS-Lo	HDAC1	PFDN5	Q13547	Q99471	HDAC1_PFDN5	2.87	1.52	3.71E-02	4.63E-02	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	HDAC1	SLC39A7	Q13547	Q92504	HDAC1_SLC39A7	3.19	1.67	2.20E-04	3.22E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	HDAC1	RB1CC1	Q13547	Q8TDY2	HDAC1_RB1CC1	3.09	1.63	1.73E-02	3.62E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	HDAC1	RCN2	Q13547	Q14257	HDAC1_RCN2	2.89	1.53	2.43E-04	4.54E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	HDAC1	HDAC1	Q13547	Q13547	HDAC1_HDAC1	9.18	3.20	1.71E-09	2.18E-04	No	No	No	Yes	Yes
EGFRNetmtKRAS-Lo	HDAC1	TUBB3	Q13547	Q13509	HDAC1_TUBB3	2.86	1.51	4.16E-03	4.69E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	HDAC1	SLC25A3	Q13547	Q00325	HDAC1_SLC25A3	2.96	1.56	4.21E-07	4.19E-02	No	No	No	No	No
