Network	Bait	Prey	Bait_UniProt	Prey_UniProt	Interaction	SILAC Ratio               (Prey abundance in EGFRNetmtKRAS-Hi AP/Prey abundance in EV control AP)	Log2 (SILAC ratio)	t-test                    P value	Significance A	Is significantly rewired (relative to EGFRNetmtKRAS-Lo)?	Is interaction in Bioplex 2.0 (Huttlin et al., 2017)?	Is interaction in Rolland et al., 2014?	Is interaction in IID (Kotlyar et al. 2016)?	Is interaction in Hein et al., 2015?
EGFRNetmtKRAS-Hi	ABI1	PRPSAP2	Q8IZP0	O60256	ABI1_PRPSAP2	2.39	1.26	3.92E-06	2.41E-06	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	ABI1	MYO1C	Q8IZP0	O00159	ABI1_MYO1C	1.49	0.58	3.35E-02	1.85E-02	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	AKT1	CDC37	P31749	Q16543	AKT1_CDC37	4.41	2.14	3.36E-08	1.99E-12	No	No	No	Yes	No
EGFRNetmtKRAS-Hi	AKT1	RCN2	P31749	Q14257	AKT1_RCN2	1.47	0.55	2.65E-03	3.75E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	AKT1	SLC25A3	P31749	Q00325	AKT1_SLC25A3	1.60	0.68	4.33E-03	1.47E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	AKT1	UBA52	P31749	P62987	AKT1_UBA52	1.85	0.89	6.37E-03	2.09E-03	No	No	No	Yes	No
EGFRNetmtKRAS-Hi	AKT1	UBB	P31749	P0CG47	AKT1_UBB	1.85	0.89	6.37E-03	2.09E-03	No	No	No	No	No
EGFRNetmtKRAS-Hi	AKT1	UBC	P31749	P0CG48	AKT1_UBC	1.85	0.89	6.37E-03	2.09E-03	No	No	No	No	No
EGFRNetmtKRAS-Hi	AKT1	RPS27A	P31749	P62979	AKT1_RPS27A	1.85	0.89	6.37E-03	2.09E-03	No	No	No	No	No
EGFRNetmtKRAS-Hi	AKT1	HSPA9	P31749	P38646	AKT1_HSPA9	1.66	0.73	1.56E-02	9.00E-03	No	No	No	Yes	No
EGFRNetmtKRAS-Hi	AKT1	AKT1	P31749	P31749	AKT1_AKT1	14.33	3.84	5.99E-09	6.34E-36	No	No	No	Yes	Yes
EGFRNetmtKRAS-Hi	AKT1	HSPA6	P31749	P17066	AKT1_HSPA6	1.56	0.64	1.52E-03	1.89E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	AKT1	HSPA8	P31749	P11142	AKT1_HSPA8	1.82	0.86	1.05E-04	2.70E-03	No	No	No	Yes	No
EGFRNetmtKRAS-Hi	AKT1	HSP90AB3P	P31749	Q58FF7	AKT1_HSP90AB3P	6.40	2.68	3.67E-11	1.93E-18	No	No	No	No	No
