ERK	MEK	RAF	RAS	Gene.names
CNTFR	0	0	0	1	CNTFR
CNTN1	0	0	1	0	CNTN1
COL11A1	0	0	1	0	COL11A1
COL5A1	0	0	1	0	COL5A1
COPRS	1	1	0	0	COPRS
COPS2	0	0	0	1	COPS2
COPS3	0	0	0	1	COPS3
COPS4	0	0	0	1	COPS4
COPS5	0	0	0	1	COPS5
COPS6	0	0	0	1	COPS6
COPS7A	0	0	0	1	COPS7A
COPS7B	0	0	0	1	COPS7B
COPS8	0	0	0	1	COPS8
CORO2A	0	1	1	1	CORO2A
CPNE5	0	0	0	1	CPNE5
CPTP	0	0	1	0	CPTP
CRMP1	1	1	0	0	CRMP1
CRTAP	0	0	1	1	CRTAP
CSDE1	0	1	0	0	CSDE1
CSNK2B	0	0	1	0	CSNK2B
CSPG4	1	0	0	1	CSPG4
CSRP1	1	1	1	1	CSRP1
CTBP2	1	0	0	0	CTBP2
CTDSP1	1	0	0	0	CTDSP1
CTDSP2	0	0	0	1	CTDSP2
CUL7	0	0	1	0	CUL7
CYBA	0	0	0	1	CYBA
CYP2C19	0	0	0	1	CYP2C19
DACH2	1	0	1	0	DACH2
DAD1	0	0	0	1	DAD1
DBF4	0	0	1	0	DBF4
DCAF1	0	0	1	0	DCAF1
DCAF16	0	0	0	1	DCAF16
DCAF8	0	0	1	0	DCAF8
DCAF8L1;DCAF8L2	1	0	1	0	DCAF8L1;DCAF8L2
DCD	0	0	0	1	DCD
DCLK1	1	0	0	0	DCLK1
DCXR	0	0	0	1	DCXR
DDRGK1	0	1	0	0	DDRGK1
DHCR24	0	0	1	1	DHCR24
DHFR2	1	0	1	1	DHFR2
DHPS	1	0	0	0	DHPS
DIAPH3	1	0	0	0	DIAPH3
DICER1	0	0	1	0	DICER1
DISP1	0	0	1	0	DISP1
DLGAP5	0	1	0	0	DLGAP5
DLX6	0	0	0	1	DLX6
DMXL1	0	1	0	0	DMXL1
DNAAF10	0	0	1	0	DNAAF10
DNAJA1	0	0	1	0	DNAJA1
DNAJB12	0	0	0	1	DNAJB12
DNAJC18	0	0	1	1	DNAJC18
DNAJC30	0	0	1	1	DNAJC30
DNAJC5	0	1	0	0	DNAJC5
DNAJC7	0	0	1	0	DNAJC7
DNMT3B	0	0	1	1	DNMT3B
DNTTIP1	1	0	0	0	DNTTIP1
DPAGT1	0	0	0	1	DPAGT1
DPCD	0	0	1	0	DPCD
DPM1	0	0	0	1	DPM1
DPM3	0	0	0	1	DPM3
DPYSL4	1	1	0	0	DPYSL4
DR1	0	0	0	1	DR1
DRG2	0	0	1	0	DRG2
DSCAM	0	0	0	1	DSCAM
DTWD2	0	0	1	0	DTWD2
DUSP1	1	0	0	0	DUSP1
DUSP16	1	0	0	0	DUSP16
DUSP4	1	0	0	0	DUSP4
DUSP5	1	0	0	0	DUSP5
DUSP6	1	0	0	0	DUSP6
DUSP7	1	0	0	0	DUSP7
DUSP9	1	0	1	0	DUSP9
DYNLL2	0	0	0	1	DYNLL2
DZIP3	0	0	0	1	DZIP3
EAPP	0	0	0	1	EAPP
ECD	0	1	0	0	ECD
ECHDC1	1	0	1	0	ECHDC1
EDEM1	0	0	0	1	EDEM1
EDIL3	0	0	1	0	EDIL3
EEF1AKMT2	0	0	0	1	EEF1AKMT2
EEF1B2	1	1	1	0	EEF1B2
EEF1D	0	1	1	0	EEF1D
EEF1G	0	1	1	0	EEF1G
EEF2KMT	0	0	1	0	EEF2KMT
EGFL7	0	0	1	0	EGFL7
EGFLAM	0	0	1	0	EGFLAM
EID2	0	1	1	0	EID2
