ERK	MEK	RAF	RAS	Gene.names
RPA2	0	1	1	1	RPA2
RPA3	0	1	1	1	RPA3
RPAP1	0	0	1	0	RPAP1
RPAP2	0	0	1	0	RPAP2
RPAP3	0	0	1	0	RPAP3
RPL39;RPL39P5	0	0	0	1	RPL39;RPL39P5
RPN1	0	0	0	1	RPN1
RPN2	0	0	0	1	RPN2
RPS6KA1	1	0	0	0	RPS6KA1
RPS6KA2	1	0	0	0	RPS6KA2
RPS6KA3	1	0	0	0	RPS6KA3
RPS6KA4	1	0	1	0	RPS6KA4
RPS6KA5	1	0	0	0	RPS6KA5
RPS6KA6	1	0	0	0	RPS6KA6
RPTOR	0	0	1	0	RPTOR
RRAS2	0	0	1	1	RRAS2
RRM2	0	1	0	0	RRM2
RSU1	1	0	0	0	RSU1
RTKN2	1	0	0	0	RTKN2
RUVBL1	0	0	1	0	RUVBL1
RUVBL2	0	0	1	0	RUVBL2
S100A10	0	0	0	1	S100A10
SARAF	0	0	1	0	SARAF
SAYSD1	1	0	0	0	SAYSD1
SC5D	0	0	1	0	SC5D
SCARF2	1	0	0	0	SCARF2
SCD	0	0	1	1	SCD
SCD5	0	0	1	1	SCD5
SCML1	1	1	1	1	SCML1
SCNM1	0	0	0	1	SCNM1
SCRIB	0	1	0	0	SCRIB
SCRN3	1	0	0	0	SCRN3
SDHC	0	0	1	0	SDHC
SDR39U1	0	0	0	1	SDR39U1
SEC13	1	0	1	0	SEC13
SEC16A	1	0	1	0	SEC16A
SEL1L	0	0	1	0	SEL1L
SELENOK	1	0	0	0	SELENOK
SELENOS	0	0	1	1	SELENOS
SENP3	0	0	1	0	SENP3
SENP6	1	0	0	0	SENP6
SERF1A	0	0	1	0	SERF1A
SERF2	0	0	1	1	SERF2
SERINC1	1	0	0	0	SERINC1
SERINC3	0	0	0	1	SERINC3
SESN3	0	1	1	1	SESN3
SETD4	0	0	0	1	SETD4
SFN	0	0	1	0	SFN
SGK1	1	1	1	0	SGK1
SGTA	0	0	1	0	SGTA
SH3GLB2	0	0	1	0	SH3GLB2
SHANK3	1	0	0	0	SHANK3
SHOC2	0	0	0	1	SHOC2
SIRT1	0	0	1	1	SIRT1
SIRT2	0	0	1	1	SIRT2
SIVA1	1	0	1	1	SIVA1
SLC16A7	1	1	1	1	SLC16A7
SLC19A1	0	0	1	0	SLC19A1
SLC19A2	0	0	0	1	SLC19A2
SLC22A23	1	0	0	0	SLC22A23
SLC25A6	0	1	0	0	SLC25A6
SLC26A2	0	0	0	1	SLC26A2
SLC27A6	0	0	1	0	SLC27A6
SLC30A4	1	0	0	0	SLC30A4
SLC30A7	0	0	0	1	SLC30A7
SLC35A2	0	1	0	0	SLC35A2
SLC35B2	0	0	0	1	SLC35B2
SLC35F1	0	0	0	1	SLC35F1
SLIT2	0	0	1	0	SLIT2
SMAP	0	0	0	1	SMAP
SMIM26	0	0	1	1	SMIM26
SMYD2	0	0	1	0	SMYD2
SMYD3	0	0	1	0	SMYD3
SMYD4	0	0	1	0	SMYD4
SNF8	0	1	0	0	SNF8
SNX17	0	1	0	0	SNX17
SNX22	0	0	1	0	SNX22
SNX33	0	0	1	0	SNX33
SOAT1	0	0	0	1	SOAT1
SOD1	1	1	0	1	SOD1
SORL1	0	0	1	0	SORL1
SOWAHB	1	0	0	0	SOWAHB
SOWAHD	0	0	1	0	SOWAHD
SOX18	0	0	0	1	SOX18
SOX7	1	0	0	0	SOX7
SPAG1	0	0	1	0	SPAG1
SPAG5	0	1	0	0	SPAG5
SPART	1	0	0	0	SPART
SPOCK1	0	0	1	0	SPOCK1
SPON1	0	0	1	0	SPON1
SPRED1	1	0	0	0	SPRED1
SPRED2	1	0	0	0	SPRED2
SPRR1B;SPRR1A	0	0	0	1	SPRR1B;SPRR1A
SPRYD3	1	0	0	0	SPRYD3
SPRYD4	0	1	0	0	SPRYD4
SPTAN1	0	0	1	0	SPTAN1
SPTBN1	0	0	1	0	SPTBN1
SQOR	0	1	1	1	SQOR
SQSTM1	0	0	1	0	SQSTM1
SREBF1	0	0	1	0	SREBF1
SRI	0	0	0	1	SRI
SRPX	0	0	0	1	SRPX
SRRD	0	0	1	1	SRRD
SSBP2	0	0	1	0	SSBP2
SSU72	0	0	0	1	SSU72
STAM	0	1	0	0	STAM
STIP1	0	0	1	0	STIP1
STMN3	1	0	0	1	STMN3
STT3A	0	0	0	1	STT3A
STT3B	0	0	0	1	STT3B
STUB1	0	0	1	0	STUB1
SUGT1	0	0	1	0	SUGT1
SULF2	0	0	0	1	SULF2
SUN2	0	0	0	1	SUN2
SUPT20H	1	0	0	0	SUPT20H
SUPT3H	1	0	0	0	SUPT3H
SUPT7L	1	0	0	0	SUPT7L
SYDE2	1	0	0	0	SYDE2
SYNGR3	0	0	1	0	SYNGR3
SYT14	1	0	0	0	SYT14
SYT3	0	0	1	0	SYT3
TADA1	1	0	0	0	TADA1
TAF1A	0	0	0	1	TAF1A
TAF5L	1	0	0	0	TAF5L
TAF7	1	0	0	0	TAF7
TANGO6	0	0	1	0	TANGO6
TAOK2	0	0	1	0	TAOK2
TARBP2	0	0	1	0	TARBP2
TAX1BP3	0	1	0	0	TAX1BP3
TBC1D4	0	0	1	0	TBC1D4
TCEAL1	0	0	0	1	TCEAL1
TCEAL7	0	0	1	0	TCEAL7
TCF3	1	0	0	0	TCF3
TCOF1	0	0	0	1	TCOF1
TCP1	0	0	1	0	TCP1
TDRP	1	0	0	0	TDRP
TECPR1	0	0	1	0	TECPR1
TELO2	0	0	1	1	TELO2
TENT2	0	0	1	0	TENT2
TFPI2	0	0	1	1	TFPI2
THAP1	0	0	0	1	THAP1
THBS1	0	1	1	0	THBS1
THRA	0	0	0	1	THRA
THRB	1	0	0	0	THRB
THSD1	0	0	1	0	THSD1
TIMP1	1	0	0	0	TIMP1
TLCD2	0	0	0	1	TLCD2
TLCD4	0	0	0	1	TLCD4
TMEFF2	0	0	1	0	TMEFF2
TMEM128	0	0	0	1	TMEM128
TMEM161A	0	0	0	1	TMEM161A
TMEM201	1	0	0	0	TMEM201
TMEM214	0	0	0	1	TMEM214
TMEM256	0	0	0	1	TMEM256
TMEM33	1	0	0	0	TMEM33
TMEM38A	0	0	0	1	TMEM38A
TMEM74	0	0	0	1	TMEM74
TMT1A	0	0	0	1	TMT1A
TNFAIP1	0	0	1	1	TNFAIP1
TNFRSF10D	0	0	1	0	TNFRSF10D
TNPO1	0	0	0	1	TNPO1
TNRC6A	1	1	0	0	TNRC6A
TNRC6B	1	0	0	0	TNRC6B
TNRC6C	1	1	0	0	TNRC6C
TOB1	1	1	0	0	TOB1
TOB2	1	0	0	0	TOB2
TOMM34	0	0	1	0	TOMM34
TOMM40	0	0	1	0	TOMM40
TOMM70	0	0	1	0	TOMM70
TP53	0	0	1	0	TP53
TP73	1	0	0	0	TP73
TPRA1	0	1	0	1	TPRA1
TRAF7	0	0	0	1	TRAF7
TRAK2	0	0	1	0	TRAK2
TRAPPC6B	0	0	1	0	TRAPPC6B
TRERF1	1	0	0	0	TRERF1
TRIB1	0	0	1	0	TRIB1
TRIB3	0	0	1	0	TRIB3
TRIM26	0	1	0	0	TRIM26
TRIM27	0	0	1	0	TRIM27
TRIM37	0	0	1	0	TRIM37
TRIP12	1	0	0	0	TRIP12
TRPS1	1	0	0	0	TRPS1
TSC22D3	0	0	1	0	TSC22D3
TSPYL2	0	0	1	0	TSPYL2
TTC1	0	0	1	0	TTC1
TTC39B	0	0	0	1	TTC39B
TTC4	0	0	1	0	TTC4
TTC9C	0	0	1	0	TTC9C
TTK	0	1	0	0	TTK
TTLL4	1	1	0	0	TTLL4
TUBG1	1	0	0	0	TUBG1
TUBG2	1	0	0	0	TUBG2
TUBGCP2	1	0	1	0	TUBGCP2
TUBGCP3	1	0	1	0	TUBGCP3
TUBGCP4	1	0	0	0	TUBGCP4
TUBGCP5	1	0	0	0	TUBGCP5
TUBGCP6	1	0	1	0	TUBGCP6
TUG1	0	1	1	0	TUG1
TUSC3	0	0	0	1	TUSC3
TWNK	0	0	0	1	TWNK
TXLNA	0	1	0	0	TXLNA
TXLNB	0	1	0	0	TXLNB
TXLNG	0	1	0	0	TXLNG
TXNL1	0	0	0	1	TXNL1
UBAP2	1	1	0	0	UBAP2
UBAP2L	0	1	0	0	UBAP2L
UBE2R2	0	0	0	1	UBE2R2
UBE4A	0	0	1	0	UBE4A
UBIAD1	0	0	1	0	UBIAD1
UBL5	1	1	1	1	UBL5
UBP1	0	0	0	1	UBP1
UBR5	1	0	1	0	UBR5
UBTD1	0	0	0	1	UBTD1
UBXN4	0	0	1	0	UBXN4
UBXN7	0	0	0	1	UBXN7
UBXN8	0	1	0	0	UBXN8
UCHL3	1	0	0	0	UCHL3
UCK2	0	0	1	0	UCK2
UNC45A	0	0	1	0	UNC45A
UQCRFS1P1	0	0	0	1	UQCRFS1P1
URI1	0	0	1	0	URI1
USP16	0	1	0	0	USP16
USP19	0	0	1	0	USP19
USP24	1	0	0	0	USP24
USP25	0	0	0	1	USP25
USP34	0	0	1	0	USP34
USP47	1	0	0	1	USP47
USP7	0	0	0	1	USP7
USP9X	0	1	1	0	USP9X
USP9Y	0	1	1	0	USP9Y
USPL1	1	0	0	0	USPL1
UTP6	0	0	1	0	UTP6
UXT	0	0	1	0	UXT
VAMP1	0	1	0	0	VAMP1
VCAN	0	0	1	1	VCAN
WASH3P	1	0	0	0	WASH3P
WASH6P	1	0	0	0	WASH6P
WDR11	0	0	1	0	WDR11
WDR6	0	0	1	0	WDR6
WDR7	0	1	0	0	WDR7
WDR87	0	0	1	0	WDR87
WDTC1	0	0	1	0	WDTC1
WNT11	0	0	1	0	WNT11
WRNIP1	1	0	0	0	WRNIP1
WSB1	0	0	1	0	WSB1
WWTR1	1	1	0	0	WWTR1
XPNPEP3	1	1	1	1	XPNPEP3
XPR1	1	0	0	0	XPR1
XXYLT1	0	0	0	1	XXYLT1
YAP1	1	0	0	0	YAP1
YES1	0	0	0	1	YES1
YKT6	0	1	0	0	YKT6
YWHAB	0	1	1	0	YWHAB
YWHAE	0	1	1	0	YWHAE
YWHAG	0	1	1	0	YWHAG
YWHAH	0	1	1	0	YWHAH
YWHAQ	0	1	1	0	YWHAQ
YWHAZ	0	1	1	0	YWHAZ
YY1AP1	1	0	0	0	YY1AP1
ZBED1	1	0	0	0	ZBED1
ZBTB10	0	0	0	1	ZBTB10
ZBTB21	1	0	0	0	ZBTB21
ZBTB39	0	0	1	0	ZBTB39
ZBTB43	0	0	0	1	ZBTB43
ZCCHC12	1	0	0	0	ZCCHC12
ZCCHC2	1	1	0	0	ZCCHC2
ZDHHC6	0	0	0	1	ZDHHC6
ZFP1	1	0	0	0	ZFP1
ZFTRAF1	0	0	0	1	ZFTRAF1
ZFYVE16	1	1	0	0	ZFYVE16
ZIC2	0	0	0	1	ZIC2
ZIC5	0	0	0	1	ZIC5
ZMAT2	1	0	0	0	ZMAT2
ZNF100	0	0	1	0	ZNF100
ZNF117	0	0	0	1	ZNF117
ZNF318	1	0	0	0	ZNF318
ZNF395	1	0	1	0	ZNF395
ZNF480	0	0	1	0	ZNF480
ZNF507	0	0	1	0	ZNF507
ZNF582	0	0	1	0	ZNF582
ZNF594	0	0	0	1	ZNF594
ZNF596	0	0	0	1	ZNF596
ZNF630	0	0	0	1	ZNF630
ZNF723	0	0	0	1	ZNF723
ZNF816	0	0	1	0	ZNF816
ZNF83	0	0	0	1	ZNF83
ZNF835	0	0	1	0	ZNF835
ZNF91	0	0	1	0	ZNF91
ZNHIT2	0	0	1	0	ZNHIT2
ZNRF1	0	1	0	0	ZNRF1
ZSWIM8	0	0	1	0	ZSWIM8
ZXDC	1	0	0	0	ZXDC
