tier	prey	n	type	Prey	percent	method
RAF	RASRAFMEK	15	WT	inter-tier	3.3	Combined
MEK	RASRAFMEK	15	WT	inter-tier	9.04	Combined
RAS	RASRAF	34	WT	inter-tier	10.59	Combined
RAF	RASRAF	34	WT	inter-tier	7.47	Combined
RAF	RAFMEK	29	WT	inter-tier	6.37	Combined
MEK	RAFMEK	29	WT	inter-tier	17.47	Combined
MEK	MEKERK	16	WT	inter-tier	9.64	Combined
ERK	MEKERK	16	WT	inter-tier	6.2	Combined
RAS	other	25	WT	inter-tier	7.79	Combined
RAF	other	52	WT	inter-tier	11.43	Combined
MEK	other	31	WT	inter-tier	18.67	Combined
ERK	other	57	WT	inter-tier	22.09	Combined
RAS	tier-specific	334	Inactive	tier-specific	73.73	Combined
RAF	tier-specific	374	Inactive	tier-specific	73.62	Combined
MEK	tier-specific	147	Inactive	tier-specific	65.62	Combined
ERK	tier-specific	98	Inactive	tier-specific	48.28	Combined
RAS	RASRAFMEK	3	Inactive	inter-tier	0.66	Combined
RAF	RASRAFMEK	3	Inactive	inter-tier	0.59	Combined
MEK	RASRAFMEK	3	Inactive	inter-tier	1.34	Combined
RAS	RASRAF	35	Inactive	inter-tier	7.73	Combined
RAF	RASRAF	35	Inactive	inter-tier	6.89	Combined
RAF	RAFMEK	31	Inactive	inter-tier	6.1	Combined
MEK	RAFMEK	31	Inactive	inter-tier	13.84	Combined
MEK	MEKERK	5	Inactive	inter-tier	2.23	Combined
ERK	MEKERK	5	Inactive	inter-tier	2.46	Combined
RAS	other	81	Inactive	inter-tier	17.88	Combined
RAF	other	65	Inactive	inter-tier	12.8	Combined
MEK	other	38	Inactive	inter-tier	16.96	Combined
ERK	other	100	Inactive	inter-tier	49.26	Combined
RAS	tier-specific	452	Active	tier-specific	62.52	Combined
RAF	tier-specific	523	Active	tier-specific	53.53	Combined
MEK	tier-specific	427	Active	tier-specific	54.53	Combined
ERK	tier-specific	80	Active	tier-specific	50.63	Combined
RAS	RASRAFMEK	78	Active	inter-tier	10.79	Combined
RAF	RASRAFMEK	78	Active	inter-tier	7.98	Combined
MEK	RASRAFMEK	78	Active	inter-tier	9.96	Combined
RAS	RASRAF	107	Active	inter-tier	14.8	Combined
RAF	RASRAF	107	Active	inter-tier	10.95	Combined
RAF	RAFMEK	210	Active	inter-tier	21.49	Combined
MEK	RAFMEK	210	Active	inter-tier	26.82	Combined
MEK	MEKERK	3	Active	inter-tier	0.38	Combined
ERK	MEKERK	3	Active	inter-tier	1.9	Combined
RAS	other	86	Active	inter-tier	11.89	Combined
RAF	other	59	Active	inter-tier	6.04	Combined
MEK	other	65	Active	inter-tier	8.3	Combined
ERK	other	75	Active	inter-tier	47.47	Combined
