ERK	MEK	RAF	RAS	Gene.names
CLK4	0	0	1	0	CLK4
CLSPN	1	0	0	0	CLSPN
CLSTN1	0	0	0	1	CLSTN1
CLUH	0	1	0	0	CLUH
CMC4	0	0	0	1	CMC4
CMTM6	0	1	0	0	CMTM6
CNNM3	0	0	1	0	CNNM3
CNPY2	0	0	1	0	CNPY2
CNTFR	0	0	0	1	CNTFR
CNTN1	0	0	0	1	CNTN1
COBLL1	0	1	0	0	COBLL1
COL11A1	0	0	1	0	COL11A1
COL5A1	0	0	1	1	COL5A1
COL5A2	0	0	0	1	COL5A2
COMMD8	0	1	0	0	COMMD8
COPS2	0	0	0	1	COPS2
COPS3	0	0	0	1	COPS3
COPS4	0	0	0	1	COPS4
COPS5	0	0	0	1	COPS5
COPS6	0	0	0	1	COPS6
COPS7A	0	0	0	1	COPS7A
COPS7B	0	0	0	1	COPS7B
COPS8	0	0	0	1	COPS8
CORO1A	0	0	1	0	CORO1A
CORO1B	0	0	1	0	CORO1B
CORO1C	0	0	1	1	CORO1C
CORO2A	1	0	0	1	CORO2A
CPNE8	0	0	1	0	CPNE8
CPT1A	0	0	0	1	CPT1A
CPTP	0	0	1	0	CPTP
CRABP2	0	0	0	1	CRABP2
CRIP2	1	0	0	1	CRIP2
CRMP1	1	1	1	1	CRMP1
CRTAP	0	0	1	0	CRTAP
CSDE1	0	1	0	0	CSDE1
CSF1	0	0	0	1	CSF1
CSPG4	1	0	0	1	CSPG4
CSPG5	0	0	0	1	CSPG5
CSRP1	1	1	1	1	CSRP1
CSTB	0	0	0	1	CSTB
CTDSP1	0	1	0	0	CTDSP1
CTDSP2	0	0	0	1	CTDSP2
CTSH	0	0	0	1	CTSH
CUL7	0	0	1	0	CUL7
CUL9	0	0	1	0	CUL9
CXorf38	0	0	0	1	CXorf38
CYP26A1	0	0	0	1	CYP26A1
CYP27B1	0	0	1	0	CYP27B1
CYP2C19	0	0	0	1	CYP2C19
CYP2S1	1	0	0	1	CYP2S1
DACH2	1	0	0	0	DACH2
DBT	0	0	1	0	DBT
DCAF1	0	0	1	0	DCAF1
DCAF16	0	0	0	1	DCAF16
DCAF8L1;DCAF8L2	0	0	1	0	DCAF8L1;DCAF8L2
DCAKD	0	0	1	0	DCAKD
DCD	0	0	0	1	DCD
DCLK1	0	0	0	1	DCLK1
DCTN2	0	1	0	0	DCTN2
