from	to	type	width	color	network	category	strict_type
HRASQ61R	KRAS	TbID	1.5	pink	Active	RAF signaling	TbID
MEK2DD	KSR1	shared	1.5	grey80	Active	RAF signaling	both
MEK1DD	KSR1	shared	1.5	grey80	Active	RAF signaling	both
BRAF	KSR1	CORUM	1.5	black	Active	RAF signaling	CORUM
BRAF	KRAS	SIGNOR	1.5	#33a02c	Active	RAF signaling	SIGNOR
ARAF	KSR1	SIGNOR	1.5	#33a02c	Active	RAF signaling	SIGNOR
BRAF	KSR1	SIGNOR	1.5	#33a02c	Active	RAF signaling	SIGNOR
MEK2WT	KSR2	shared	1.5	grey80	WT	RAF signaling	both
MEK2WT	MAP2K1	shared	1.5	grey80	WT	RAF signaling	both
RAF1WT	MAP2K1	core	1.5	grey80	WT	RAF signaling	both
ARAFWT	MAP2K1	core	1.5	grey80	WT	RAF signaling	both
MEK1WT	MAP2K1	core	1.5	grey80	WT	RAF signaling	both
BRAFWT	MAP2K1	core	1.5	grey80	WT	RAF signaling	both
MAP2K1	KSR1	CORUM	1.5	black	WT	RAF signaling	CORUM
MAP2K1	KSR2	CORUM	1.5	black	WT	RAF signaling	CORUM
MEK2AA	KSR2	core	1.5	grey80	Inactive	RAF signaling	both
BRAFD594N	KSR2	TbID	1.5	pink	Inactive	RAF signaling	TbID
MEK1AA	MAP2K1	core	1.5	grey80	Inactive	RAF signaling	both
MEK2AA	MAP2K1	shared	1.5	grey80	Inactive	RAF signaling	both
BRAFD594N	MAP2K1	core	1.5	grey80	Inactive	RAF signaling	both
ARAFD447A	MAP2K1	TbID	1.5	pink	Inactive	RAF signaling	TbID
MAP2K1	KSR1	CORUM	1.5	black	Inactive	RAF signaling	CORUM
MAP2K1	KSR2	CORUM	1.5	black	Inactive	RAF signaling	CORUM
BRAFV600E	KSR2	TbID	1.5	pink	Active	RAF signaling	TbID
MEK2DD	KSR2	shared	1.5	grey80	Active	RAF signaling	both
RAF1S257L	MAP2K1	core	1.5	grey80	Active	RAF signaling	both
ARAFS214P	MAP2K1	core	1.5	grey80	Active	RAF signaling	both
MEK1DD	MAP2K1	core	1.5	grey80	Active	RAF signaling	both
KRASG12V	MAP2K1	core	1.5	grey80	Active	RAF signaling	both
MEK2DD	MAP2K1	shared	1.5	grey80	Active	RAF signaling	both
BRAFG469A	MAP2K1	core	1.5	grey80	Active	RAF signaling	both
BRAFV600E	MAP2K1	shared	1.5	grey80	Active	RAF signaling	both
KRASG12D	MAP2K1	core	1.5	grey80	Active	RAF signaling	both
RAF1S259F	MAP2K1	core	1.5	grey80	Active	RAF signaling	both
MAP2K1	KSR1	CORUM	1.5	black	Active	RAF signaling	CORUM
MAP2K1	KSR2	CORUM	1.5	black	Active	RAF signaling	CORUM
ARAFWT	ANKRD28	AP-MS	1.5	skyblue	WT	phosphatases	AP-MS
MEK2WT	ANKRD52	TbID	1.5	pink	WT	phosphatases	TbID
ARAFWT	ANKRD52	AP-MS	1.5	skyblue	WT	phosphatases	AP-MS
MEK1WT	ANKRD52	TbID	1.5	pink	WT	phosphatases	TbID
ARAFWT	PPP6C	shared	1.5	grey80	WT	phosphatases	both
ARAFWT	PPP6R1	AP-MS	1.5	skyblue	WT	phosphatases	AP-MS
ARAFWT	PPP6R2	AP-MS	1.5	skyblue	WT	phosphatases	AP-MS
ARAFWT	PPP6R3	AP-MS	1.5	skyblue	WT	phosphatases	AP-MS
PPP6R3	ANKRD28	CORUM	1.5	black	WT	phosphatases	CORUM
PPP6R3	PPP6C	CORUM	1.5	black	WT	phosphatases	CORUM
PPP6R3	PPP6R1	CORUM	1.5	black	WT	phosphatases	CORUM
PPP6R3	PPP6R2	CORUM	1.5	black	WT	phosphatases	CORUM
PPP6R3	ANKRD52	CORUM	1.5	black	WT	phosphatases	CORUM
ANKRD28	PPP6C	CORUM	1.5	black	WT	phosphatases	CORUM
ANKRD28	PPP6R1	CORUM	1.5	black	WT	phosphatases	CORUM
ANKRD28	PPP6R2	CORUM	1.5	black	WT	phosphatases	CORUM
ANKRD28	ANKRD52	CORUM	1.5	black	WT	phosphatases	CORUM
PPP6C	PPP6R1	CORUM	1.5	black	WT	phosphatases	CORUM
PPP6C	PPP6R2	CORUM	1.5	black	WT	phosphatases	CORUM
PPP6C	ANKRD52	CORUM	1.5	black	WT	phosphatases	CORUM
PPP6R1	PPP6R2	CORUM	1.5	black	WT	phosphatases	CORUM
PPP6R1	ANKRD52	CORUM	1.5	black	WT	phosphatases	CORUM
PPP6R2	ANKRD52	CORUM	1.5	black	WT	phosphatases	CORUM
MEK2AA	ANKRD52	TbID	1.5	pink	Inactive	phosphatases	TbID
ARAFD447A	PPP6C	shared	1.5	grey80	Inactive	phosphatases	both
ARAFD447A	PPP6R1	AP-MS	1.5	skyblue	Inactive	phosphatases	AP-MS
ARAFD447A	PPP6R3	AP-MS	1.5	skyblue	Inactive	phosphatases	AP-MS
PPP6R3	PPP6C	CORUM	1.5	black	Inactive	phosphatases	CORUM
PPP6R3	PPP6R1	CORUM	1.5	black	Inactive	phosphatases	CORUM
PPP6R3	ANKRD52	CORUM	1.5	black	Inactive	phosphatases	CORUM
PPP6C	PPP6R1	CORUM	1.5	black	Inactive	phosphatases	CORUM
PPP6C	ANKRD52	CORUM	1.5	black	Inactive	phosphatases	CORUM
PPP6R1	ANKRD52	CORUM	1.5	black	Inactive	phosphatases	CORUM
ARAFS214P	ANKRD28	AP-MS	1.5	skyblue	Active	phosphatases	AP-MS
RAF1S257L	ANKRD28	AP-MS	1.5	skyblue	Active	phosphatases	AP-MS
RAF1S259F	ANKRD28	AP-MS	1.5	skyblue	Active	phosphatases	AP-MS
ARAFS214P	ANKRD52	shared	1.5	grey80	Active	phosphatases	both
RAF1S257L	ANKRD52	AP-MS	1.5	skyblue	Active	phosphatases	AP-MS
RAF1S257L	PPP6C	shared	1.5	grey80	Active	phosphatases	both
RAF1S259F	PPP6C	shared	1.5	grey80	Active	phosphatases	both
ARAFS214P	PPP6C	shared	1.5	grey80	Active	phosphatases	both
MEK2DD	PPP6R1	core	1.5	grey80	Active	phosphatases	both
ARAFS214P	PPP6R1	AP-MS	1.5	skyblue	Active	phosphatases	AP-MS
RAF1S259F	PPP6R1	AP-MS	1.5	skyblue	Active	phosphatases	AP-MS
RAF1S257L	PPP6R1	AP-MS	1.5	skyblue	Active	phosphatases	AP-MS
RAF1S257L	PPP6R2	AP-MS	1.5	skyblue	Active	phosphatases	AP-MS
RAF1S257L	PPP6R3	AP-MS	1.5	skyblue	Active	phosphatases	AP-MS
RAF1S259F	PPP6R3	AP-MS	1.5	skyblue	Active	phosphatases	AP-MS
PPP6R3	ANKRD28	CORUM	1.5	black	Active	phosphatases	CORUM
PPP6R3	PPP6C	CORUM	1.5	black	Active	phosphatases	CORUM
PPP6R3	PPP6R1	CORUM	1.5	black	Active	phosphatases	CORUM
PPP6R3	PPP6R2	CORUM	1.5	black	Active	phosphatases	CORUM
PPP6R3	ANKRD52	CORUM	1.5	black	Active	phosphatases	CORUM
ANKRD28	PPP6C	CORUM	1.5	black	Active	phosphatases	CORUM
ANKRD28	PPP6R1	CORUM	1.5	black	Active	phosphatases	CORUM
ANKRD28	PPP6R2	CORUM	1.5	black	Active	phosphatases	CORUM
ANKRD28	ANKRD52	CORUM	1.5	black	Active	phosphatases	CORUM
PPP6C	PPP6R1	CORUM	1.5	black	Active	phosphatases	CORUM
PPP6C	PPP6R2	CORUM	1.5	black	Active	phosphatases	CORUM
PPP6C	ANKRD52	CORUM	1.5	black	Active	phosphatases	CORUM
PPP6R1	PPP6R2	CORUM	1.5	black	Active	phosphatases	CORUM
PPP6R1	ANKRD52	CORUM	1.5	black	Active	phosphatases	CORUM
PPP6R2	ANKRD52	CORUM	1.5	black	Active	phosphatases	CORUM
ERK1WT	ILK	AP-MS	1.5	skyblue	WT	Cell−extracellular matrix interactions	AP-MS
ERK2WT	ILK	shared	1.5	grey80	WT	Cell−extracellular matrix interactions	both
ERK2WT	LIMS1	shared	1.5	grey80	WT	Cell−extracellular matrix interactions	both
ERK1WT	LIMS1	shared	1.5	grey80	WT	Cell−extracellular matrix interactions	both
ERK1WT	PARVA	AP-MS	1.5	skyblue	WT	Cell−extracellular matrix interactions	AP-MS
ERK2WT	PARVA	AP-MS	1.5	skyblue	WT	Cell−extracellular matrix interactions	AP-MS
ERK1WT	PARVB	shared	1.5	grey80	WT	Cell−extracellular matrix interactions	both
ERK2WT	PARVB	shared	1.5	grey80	WT	Cell−extracellular matrix interactions	both
ERK1WT	RSU1	shared	1.5	grey80	WT	Cell−extracellular matrix interactions	both
ERK2WT	RSU1	shared	1.5	grey80	WT	Cell−extracellular matrix interactions	both
ILK	LIMS1	CORUM	1.5	black	WT	Cell−extracellular matrix interactions	CORUM
ILK	PARVB	CORUM	1.5	black	WT	Cell−extracellular matrix interactions	CORUM
ILK	PARVA	CORUM	1.5	black	WT	Cell−extracellular matrix interactions	CORUM
LIMS1	PARVA	CORUM	1.5	black	WT	Cell−extracellular matrix interactions	CORUM
ILK	PARVB	SIGNOR	1.5	#33a02c	WT	Cell−extracellular matrix interactions	SIGNOR
ERK2AA	ILK	shared	1.5	grey80	Inactive	Cell−extracellular matrix interactions	both
ERK2AA	LIMS1	shared	1.5	grey80	Inactive	Cell−extracellular matrix interactions	both
ERK2AA	PARVA	shared	1.5	grey80	Inactive	Cell−extracellular matrix interactions	both
ERK2AA	PARVB	shared	1.5	grey80	Inactive	Cell−extracellular matrix interactions	both
ERK2AA	RSU1	shared	1.5	grey80	Inactive	Cell−extracellular matrix interactions	both
ILK	LIMS1	CORUM	1.5	black	Inactive	Cell−extracellular matrix interactions	CORUM
ILK	PARVB	CORUM	1.5	black	Inactive	Cell−extracellular matrix interactions	CORUM
ILK	PARVA	CORUM	1.5	black	Inactive	Cell−extracellular matrix interactions	CORUM
LIMS1	PARVA	CORUM	1.5	black	Inactive	Cell−extracellular matrix interactions	CORUM
ILK	PARVB	SIGNOR	1.5	#33a02c	Inactive	Cell−extracellular matrix interactions	SIGNOR
ERK1DD	ILK	shared	1.5	grey80	Active	Cell−extracellular matrix interactions	both
ERK1DD	LIMS1	shared	1.5	grey80	Active	Cell−extracellular matrix interactions	both
ERK1DD	PARVA	shared	1.5	grey80	Active	Cell−extracellular matrix interactions	both
ERK1DD	RSU1	shared	1.5	grey80	Active	Cell−extracellular matrix interactions	both
ILK	LIMS1	CORUM	1.5	black	Active	Cell−extracellular matrix interactions	CORUM
ILK	PARVA	CORUM	1.5	black	Active	Cell−extracellular matrix interactions	CORUM
LIMS1	PARVA	CORUM	1.5	black	Active	Cell−extracellular matrix interactions	CORUM
