inflammation	arthritis	hypertensive_disease	ischemia	rasopathies	NRASQ61R	Hydrops Fetalis	Hypertrophic Cardiomyopathy	HIV Infections	Vascular anomaly	Epidermal nevus	cholestasis	endometriosis	Gene.names
0	0	0	0	0	0	0	0	1	0	0	0	0	ARHGAP4
0	0	0	0	0	0	0	0	1	0	0	0	0	ARHGDIA
0	0	0	0	0	0	0	0	1	0	0	0	0	ARHGDIB
0	0	0	0	0	0	1	0	0	0	0	0	0	ARID1A
0	0	0	0	0	0	0	0	0	0	0	0	1	ARNT
0	1	0	0	0	0	0	0	0	0	0	0	0	ASAP1
1	0	0	0	0	0	0	0	0	0	0	0	0	ASIC1
1	0	0	0	0	0	0	0	0	0	0	0	0	ASIC2
1	0	0	0	0	0	0	0	0	0	0	0	0	ASIC3
0	1	0	0	0	0	0	0	0	0	0	0	0	ASTN2
0	0	1	0	0	0	0	0	0	0	0	0	0	ATOX1
0	0	1	1	0	0	0	0	0	0	0	0	0	ATP1A1
0	0	1	0	0	0	0	0	0	0	0	0	0	ATP1A2
0	0	1	1	0	0	0	0	0	0	0	0	0	ATP2B1
0	0	1	0	0	0	0	0	0	0	0	0	0	ATP2B3
0	0	0	0	1	0	0	0	0	0	0	0	0	ATP6V1E1
1	0	0	0	0	0	0	0	0	0	0	0	0	ATP7B
0	1	0	0	0	0	0	0	0	0	0	0	0	AVL9
0	0	1	0	0	0	0	0	0	0	0	0	0	AVP
0	0	1	0	0	0	0	0	0	0	0	0	0	AVPR1A
0	0	0	1	0	0	0	0	0	0	0	0	0	AXIN2
0	1	0	0	0	0	0	0	0	0	0	0	0	B4GALT5
0	0	0	0	0	0	0	1	1	0	0	0	0	BAG3
0	0	0	0	0	0	0	0	1	0	0	0	0	BAX
0	0	0	0	1	0	0	0	0	0	0	0	0	BBS10
0	0	0	1	0	0	0	0	0	0	0	0	0	BCHE
0	0	1	0	0	0	0	0	0	0	0	0	0	BCL2
1	0	1	0	0	0	0	0	0	0	0	0	0	BDKRB1
1	0	1	0	0	0	0	0	0	0	0	0	0	BDKRB2
1	0	0	0	0	0	0	0	0	0	0	0	0	BDNF
0	1	0	0	0	0	0	0	0	0	0	0	0	BEND2
0	0	0	1	0	0	0	0	0	0	0	0	0	BHLHE40
0	0	0	0	0	0	0	0	1	0	0	0	0	BIRC2
0	0	0	0	0	0	0	0	1	0	0	0	0	BIRC3
0	1	0	0	0	0	0	0	0	0	0	0	0	BLTP3B
0	0	0	1	0	0	0	0	0	0	0	0	0	BMAL1
0	0	1	0	0	0	0	0	0	0	0	0	0	BMAL2
0	0	0	0	0	0	0	0	0	0	0	0	1	BMP7
0	0	0	0	1	0	0	1	0	1	0	0	0	BRAF
0	0	1	0	0	0	0	0	0	0	0	0	0	BRCA1
0	0	0	0	0	0	0	0	0	0	0	0	1	BRD8
0	0	0	1	0	0	0	0	0	0	0	0	0	BRINP3
0	1	0	0	0	0	0	0	0	0	0	0	0	BTG1
0	1	0	0	0	0	0	0	0	0	0	0	0	BTG3
0	0	0	1	0	0	0	0	0	0	0	0	0	BTNL2
0	0	0	0	0	0	1	0	0	0	0	0	0	C1orf105
0	0	0	1	0	0	0	0	0	0	0	0	0	C1orf167
0	0	0	1	0	0	0	0	0	0	0	0	0	C1QB
0	0	0	0	0	0	0	0	0	0	0	0	1	C1R
0	1	0	0	0	0	0	0	0	0	0	0	0	C2orf88
0	1	0	0	0	0	0	0	0	0	0	0	0	C8B
0	1	0	0	0	0	0	0	0	0	0	0	0	C9orf72
0	0	1	0	0	0	0	1	0	0	0	0	0	CACNA1C
0	0	1	0	0	0	0	0	0	0	0	0	0	CACNA2D1
0	0	1	0	0	0	0	1	0	0	0	0	0	CACNB2
1	0	1	0	0	0	0	0	0	0	0	0	0	CALCA
0	0	0	0	0	0	1	0	0	0	0	0	0	CALCRL
0	1	0	0	0	0	0	0	0	0	0	0	0	CALD1
0	0	0	1	0	0	0	0	0	0	0	0	0	CALR
0	0	0	0	0	0	0	1	0	0	0	0	0	CALR3
0	0	0	1	0	0	0	0	0	0	0	0	0	CAMK2D
0	1	0	0	0	0	0	0	0	0	0	0	0	CAMSAP1
0	0	0	1	0	0	0	0	0	0	0	0	0	CANX
0	0	0	1	0	0	0	0	0	0	0	0	0	CARF
1	0	0	0	0	0	0	0	0	0	0	0	0	CASP1
0	0	0	0	0	0	0	1	0	0	0	0	0	CASQ2
0	0	0	0	0	0	0	1	0	0	0	0	0	CASR
0	0	1	0	0	0	0	0	0	0	0	0	0	CAT
0	0	1	0	0	0	0	0	0	0	0	0	0	CAV1
0	0	0	0	0	0	0	1	0	0	0	0	0	CAV3
0	0	0	0	1	0	0	0	0	0	0	0	0	CBL
0	0	1	1	0	0	0	0	0	0	0	0	0	CBS
1	0	0	0	0	0	0	0	0	0	0	0	0	CCK
0	0	0	0	0	0	0	0	0	0	0	0	1	CCL1
