diseaseName	diseaseUMLSCUI	source	numGenesAssociatedToDisease	intersection	intersectionSize	geneRatio	bgRatio	pvalue	totalGenesSource	p_adjusted	query	bait	method	type
Prostatic Neoplasms	C0033578	CURATED	660	HRAS,HSP90AB1,SELENOS,SERINC3,VEGFA,CXCR4,KEAP1,ETV4,PLAUR,IVNS1ABP,STARD3,CLU,SESN3,GUCD1,GDF15,CD44,EGR1,TGFB1,TPT1,SPOP,RUNX1,CSRP1,ACSL4,ARL6IP1,GALNT3,EPCAM,GRB7,LIG4,PTRH2,MAP2K1,PVR,SPOCK1,SRD5A1,BRAF,CDKN1A	35	35/415	35/14132	0.00105618469359956	14132	0.0616107007227544	combined_BrafG469A	BrafG469A	combined	Active
Inflammation	C0021368	CURATED	134	TIMP1,TAC1,VEGFA,SH2B3,PROCR,SELENOS,TGFB1,ZFP36,F2RL1,EGR1,TFRC,PLAUR	12	12/415	12/14132	0.00198577842933481	14132	0.0616107007227544	combined_BrafG469A	BrafG469A	combined	Active
Hemangiosarcoma	C0018923	CURATED	19	HRAS,FLT1,JUN,VEGFA,ANGPT2	5	5/415	5/14132	0.00200118812202883	14132	0.0616107007227544	combined_BrafG469A	BrafG469A	combined	Active
Angiosarcoma nonmetastatic	C0854893	CURATED	19	VEGFA,FLT1,HRAS,JUN,ANGPT2	5	5/415	5/14132	0.00200118812202883	14132	0.0616107007227544	combined_BrafG469A	BrafG469A	combined	Active
Acute polyarticular juvenile rheumatoid arthritis	C0157916	CURATED	138	CLU,PLAUR,JUN,EGR1,FOS,FOSB,TFPI,BTG3,AREG,DUSP1,PLOD2,CXCR4	12	12/415	12/14132	0.00250473064503051	14132	0.0616107007227544	combined_BrafG469A	BrafG469A	combined	Active
Pauciarticular juvenile rheumatoid arthritis	C0157917	CURATED	138	PLAUR,BTG3,EGR1,JUN,TFPI,CXCR4,DUSP1,PLOD2,FOS,AREG,CLU,FOSB	12	12/415	12/14132	0.00250473064503051	14132	0.0616107007227544	combined_BrafG469A	BrafG469A	combined	Active
Monoarticular juvenile rheumatoid arthritis	C0157918	CURATED	138	DUSP1,BTG3,EGR1,JUN,CLU,AREG,PLAUR,CXCR4,FOS,TFPI,FOSB,PLOD2	12	12/415	12/14132	0.00250473064503051	14132	0.0616107007227544	combined_BrafG469A	BrafG469A	combined	Active
Juvenile Chronic Polyarthritis	C0409667	CURATED	138	BTG3,CLU,DUSP1,PLAUR,PLOD2,EGR1,FOSB,JUN,AREG,CXCR4,FOS,TFPI	12	12/415	12/14132	0.00250473064503051	14132	0.0616107007227544	combined_BrafG469A	BrafG469A	combined	Active
Cholestasis, Extrahepatic	C0005398	CURATED	33	MAPK8,TIMP1,KEAP1,JUN,TGFB1,FOS	6	6/415	6/14132	0.00256711253011476	14132	0.0616107007227544	combined_BrafG469A	BrafG469A	combined	Active
Noonan Syndrome	C0028326	CURATED	35	EPHA2,HRAS,BRAF,SPRED1,SPRED2,MAP2K1	6	6/415	6/14132	0.00334685633889091	14132	0.0683269326839758	combined_BrafG469A	BrafG469A	combined	Active
Mouth Diseases	C0026636	CURATED	11	DNAJA1,GDF15,CHAF1A,CHAF1B	4	4/415	4/14132	0.00347961231260988	14132	0.0683269326839758	combined_BrafG469A	BrafG469A	combined	Active
Costello syndrome (disorder)	C0587248	CURATED	13	MAP2K1,BRAF,SPRED1,HRAS	4	4/415	4/14132	0.00577361394710504	14132	0.100020187143474	combined_BrafG469A	BrafG469A	combined	Active
Lung Neoplasms	C0024121	CURATED	269	ANXA2,JUND,CDKN1A,CLTB,EGR1,TGFB1,GRB7,JUNB,FOS,CCN1,JUN,BRAF,TFRC,HRAS,PPP2R1B,SPRY2,FOSB	17	17/415	17/14132	0.00601973348548686	14132	0.100020187143474	combined_BrafG469A	BrafG469A	combined	Active
Vascular anomaly	C0158570	CURATED	14	HRAS,BRAF,MAP2K1,YES1	4	4/415	4/14132	0.00718989175608896	14132	0.110929758522515	combined_BrafG469A	BrafG469A	combined	Active
HIV Infections	C0019693	CURATED	127	HSPA9,LYN,PSMD6,HLA-B,HSP90AA1,CDKN1A,RAB32,PSME4,BAG3,HSP90AB1	10	10/415	10/14132	0.0125672982307416	14132	0.180969094522679	combined_BrafG469A	BrafG469A	combined	Active
Glioma	C0017638	CURATED	109	BRAF,TFRC,MAP2K1,HRAS,CHAF1A,CCN1,LIG4,HLA-A,CDKN1A	9	9/415	9/14132	0.0149307954015181	14132	0.191818968468115	combined_BrafG469A	BrafG469A	combined	Active
Liver carcinoma	C2239176	CURATED	646	GDF15,CSPG4,FDFT1,FOSB,BRAF,PKM,USP2,TFPI2,ASPM,SFN,TGFB1,PHLDA1,FOS,CCN1,JUN,VEGFA,SPOP,CCNB2,EGR1,HRAS,HSPA5,SPOCK1,TK1,ZFP36,ACSL4,HSPA9,CHAF1B,SLC2A1,ADAMTS1,CDC6	30	30/415	30/14132	0.0154428436424235	14132	0.191818968468115	combined_BrafG469A	BrafG469A	combined	Active
melanoma	C0025202	CURATED	250	TFPI2,SLC35G2,GDF15,BZW1,F2RL1,DNAJC1,JUNB,FLT1,NUS1,BRAF,HRAS,RAC2,CMTR2,MAP2K1,CLU	15	15/415	15/14132	0.0159849140390096	14132	0.191818968468115	combined_BrafG469A	BrafG469A	combined	Active
Malignant Glioma	C0555198	CURATED	112	LIG4,CDKN1A,HRAS,BRAF,TFRC,MAP2K1,CHAF1A,HLA-A,CCN1	9	9/415	9/14132	0.0173368859292734	14132	0.197093018985423	combined_BrafG469A	BrafG469A	combined	Active
Liver Cirrhosis	C0023890	CURATED	164	JUND,FLT1,LAMC2,CYBA,TGFB1,KRT18,ABCB11,TFPI,VEGFA,PLOD2,TUG1	11	11/415	11/14132	0.0230064681558169	14132	0.248469856082823	combined_BrafG469A	BrafG469A	combined	Active
Uveitis	C0042164	CURATED	22	HLA-A,HLA-B,TGFB1,HSPA9	4	4/415	4/14132	0.0255852906053981	14132	0.263162989084095	combined_BrafG469A	BrafG469A	combined	Active
LEOPARD Syndrome	C0175704	CURATED	9	MAP2K1,EPHA2,BRAF	3	3/415	3/14132	0.0270144163544176	14132	0.265232451479736	combined_BrafG469A	BrafG469A	combined	Active
Osteosarcoma	C0029463	CURATED	60	VEGFA,SQSTM1,PHLDA2,CCNB3,JUN,CXCR4	6	6/415	6/14132	0.0311170040975925	14132	0.292229255873043	combined_BrafG469A	BrafG469A	combined	Active
PROSTATE CANCER, HEREDITARY, 1	C4722327	CURATED	10	BRAF,HRAS,VEGFA	3	3/415	3/14132	0.0331213656714051	14132	0.298092291042646	combined_BrafG469A	BrafG469A	combined	Active
Noonan syndrome and Noonan-related syndrome	C5681679	CURATED	25	HRAS,MAP2K1,BRAF,SPRED1	4	4/415	4/14132	0.0358315550376405	14132	0.309584635525214	combined_BrafG469A	BrafG469A	combined	Active
Papilloma	C0030354	CURATED	11	TGFB1,CDKN1A,HRAS	3	3/415	3/14132	0.0397084219733595	14132	0.317667375786876	combined_BrafG469A	BrafG469A	combined	Active
Papillomatosis	C0205875	CURATED	11	CDKN1A,TGFB1,HRAS	3	3/415	3/14132	0.0397084219733595	14132	0.317667375786876	combined_BrafG469A	BrafG469A	combined	Active
Respiratory allergy	C3825727	CURATED	28	F2RL1,UPP1,VEGFA,HSPA5	4	4/415	4/14132	0.0478728573362608	14132	0.369304899451155	combined_BrafG469A	BrafG469A	combined	Active
Pruritus	C0033774	CURATED	13	F2RL1,TAC1,ABCB11	3	3/415	3/14132	0.0541911112474537	14132	0.403630345843103	combined_BrafG469A	BrafG469A	combined	Active
Mood Disorders	C0525045	CURATED	168	VGF,FKBP5,FOSB,NTS,S100A10,TAC1,TGFB1,HSP90AA1,KCTD12,VEGFA	10	10/415	10/14132	0.0598500496320211	14132	0.405979513064822	combined_BrafG469A	BrafG469A	combined	Active
Distal spinal muscular atrophy	C0393541	CURATED	31	SPTAN1,BAG3,VRK1,HSPB8	4	4/415	4/14132	0.0616345502320037	14132	0.405979513064822	combined_BrafG469A	BrafG469A	combined	Active
Ductal Carcinoma	C1176475	CURATED	14	SLC2A1,CD44,SPOP	3	3/415	3/14132	0.0620246478293478	14132	0.405979513064822	combined_BrafG469A	BrafG469A	combined	Active
Cardio-facio-cutaneous syndrome	C1275081	CURATED	14	BRAF,MAP2K1,HRAS	3	3/415	3/14132	0.0620246478293478	14132	0.405979513064822	combined_BrafG469A	BrafG469A	combined	Active
Liver neoplasms	C0023903	CURATED	146	CDKN1A,FOSB,ANXA2,HRAS,JUN,BRAF,UGDH,KRT18,SLC2A1	9	9/415	9/14132	0.0661719744595341	14132	0.415937778113808	combined_BrafG469A	BrafG469A	combined	Active
Neoplasm Invasiveness	C0027626	CURATED	198	TGFB1,ADAMTS1,ZFP36,CXCR4,HRAS,ARF1,PLAUR,TIMP1,MYH9,PKM,ANXA2	11	11/415	11/14132	0.06739732515733	14132	0.415937778113808	combined_BrafG469A	BrafG469A	combined	Active
Squamous cell carcinoma	C0007137	CURATED	150	VEGFA,RACK1,TGFB1,SFN,ANXA2,EGR1,FLT1,HRAS,AREG	9	9/415	9/14132	0.0748696785069374	14132	0.449218071041624	combined_BrafG469A	BrafG469A	combined	Active
Bipolar Disorder	C0005586	CURATED	483	RNF41,RACK1,CSRP1,FKBP5,INPP1,NRGN,TGFB1,VEGFA,S100A10,HSPA5,MFGE8,YWHAZ,KCTD12,PLEKHO1,LHX5,TAC1,VGF,YWHAE,YWHAH,BHLHE40,PRKCI	21	21/415	21/14132	0.0775416426902163	14132	0.452675535705047	combined_BrafG469A	BrafG469A	combined	Active
Neoplasms, Bone Tissue	C0206639	CURATED	56	JUN,PHLDA2,CCNB3,VEGFA,CXCR4	5	5/415	5/14132	0.0817626407964676	14132	0.461245211446274	combined_BrafG469A	BrafG469A	combined	Active
Renal Cell Carcinoma	C0007134	CURATED	180	KEAP1,GRB7,MAP2K1,FLT1,BTG3,SDHC,TGFB1,SLC49A4,HSPA9,SLC2A1	10	10/415	10/14132	0.0839364252773237	14132	0.461245211446274	combined_BrafG469A	BrafG469A	combined	Active
Heart Diseases	C0018799	CURATED	57	CYBA,VEGFA,PNPLA2,RAC2,TIMP1	5	5/415	5/14132	0.0860014549938939	14132	0.461245211446274	combined_BrafG469A	BrafG469A	combined	Active
Adenocarcinoma of pancreas (disorder)	C0281361	CURATED	17	MAP2K1,RALB,CXCR4	3	3/415	3/14132	0.0875511743948945	14132	0.461245211446274	combined_BrafG469A	BrafG469A	combined	Active
Leukemia, Myelocytic, Acute	C0023467	CURATED	210	RAC2,SPRY4,CXCR4,PVR,TFPI2,S100A10,VEGFA,RUNX1,ANXA2,SGK1,CD44	11	11/415	11/14132	0.0911565273453171	14132	0.468804997775917	combined_BrafG469A	BrafG469A	combined	Active
Uremia	C0041948	CURATED	18	TGFB1,FLT1,SGK1	3	3/415	3/14132	0.0966478211693583	14132	0.485486729594916	combined_BrafG469A	BrafG469A	combined	Active
Abnormality of the musculature	C4021745	CURATED	61	PNPLA8,PNPLA2,SLC2A1,BAG3,VRK1	5	5/415	5/14132	0.103987882703174	14132	0.494829109425497	combined_BrafG469A	BrafG469A	combined	Active
Carcinoma	C0007097	CURATED	163	PKM,SGK1,YWHAZ,EPCAM,LSR,PLAUR,CORO1A,HRAS,TGFB1	9	9/415	9/14132	0.107671148810178	14132	0.494829109425497	combined_BrafG469A	BrafG469A	combined	Active
Malignant epithelioma	C0553707	CURATED	163	LSR,HRAS,PLAUR,TGFB1,CORO1A,YWHAZ,EPCAM,SGK1,PKM	9	9/415	9/14132	0.107671148810178	14132	0.494829109425497	combined_BrafG469A	BrafG469A	combined	Active
Epithelioma	C1368683	CURATED	163	HRAS,PLAUR,CORO1A,TGFB1,YWHAZ,EPCAM,PKM,LSR,SGK1	9	9/415	9/14132	0.107671148810178	14132	0.494829109425497	combined_BrafG469A	BrafG469A	combined	Active
Cocaine-Related Disorders	C0236736	CURATED	112	ARC,FOS,FOSB,EGR1,JUND,FDFT1,HOMER1	7	7/415	7/14132	0.111909212382631	14132	0.503591455721841	combined_BrafG469A	BrafG469A	combined	Active
Myocardial Ischemia	C0151744	CURATED	338	LIPG,GDF15,SH2B3,TRIB1,ZFP36,CYBA,DUSP1,PROCR,F2RL1,AREG,TFRC,BHLHE40,HSPA9,JUNB,VEGFA	15	15/415	15/14132	0.124231430708446	14132	0.526329780764847	combined_BrafG469A	BrafG469A	combined	Active
Pre-Eclampsia	C0032914	CURATED	42	FLT1,HLA-A,VEGFA,CLU	4	4/415	4/14132	0.124994729275218	14132	0.526329780764847	combined_BrafG469A	BrafG469A	combined	Active
Noonan Syndrome 1	C4551602	CURATED	21	HRAS,BRAF,MAP2K1	3	3/415	3/14132	0.125367875751118	14132	0.526329780764847	combined_BrafG469A	BrafG469A	combined	Active
Non-Small Cell Adenocarcinoma	C1335060	CURATED	197	SPOP,TK1,SFN,HRAS,KPNA2,CMTR2,MAP2K1,BRAF,ACSL4,JUNB	10	10/415	10/14132	0.126709021295241	14132	0.526329780764847	combined_BrafG469A	BrafG469A	combined	Active
Mental Depression	C0011570	CURATED	283	NPPC,PRKCI,S100A10,SRD5A1,VEGFA,TAC1,NTS,MAPK8,FKBP5,DUSP1,ACSL4,VGF,HOMER1	13	13/415	13/14132	0.130187264945558	14132	0.530574513740387	combined_BrafG469A	BrafG469A	combined	Active
Multiple Myeloma	C0026764	CURATED	146	HLA-A,BRAF,LIG4,VEGFA,TFRC,SGK1,SH2B3,TGFB1	8	8/415	8/14132	0.138596231095548	14132	0.554384924382193	combined_BrafG469A	BrafG469A	combined	Active
Status Epilepticus	C0038220	CURATED	69	JUNB,FOS,JUND,VEGFA,JUN	5	5/415	5/14132	0.144508557387232	14132	0.5675245162844	combined_BrafG469A	BrafG469A	combined	Active
Diabetic Nephropathy	C0011881	CURATED	46	VEGFA,CDKN1A,TGFB1,TNFAIP1	4	4/415	4/14132	0.152160584151183	14132	0.586905110297421	combined_BrafG469A	BrafG469A	combined	Active
Contact Dermatitis	C0011616	CURATED	71	CD44,PSMD12,VEGFA,DUSP1,HSP90AA1	5	5/415	5/14132	0.155484814594626	14132	0.588064357422317	combined_BrafG469A	BrafG469A	combined	Active
Malignant Squamous Cell Neoplasm	C0751688	CURATED	124	AREG,TGFB1,VEGFA,RACK1,SFN,ANXA2,HRAS	7	7/415	7/14132	0.157906170048585	14132	0.588064357422317	combined_BrafG469A	BrafG469A	combined	Active
Rhabdomyosarcoma	C0035412	CURATED	25	VEGFA,HRAS,SDHC	3	3/415	3/14132	0.16622304645403	14132	0.608545390407974	combined_BrafG469A	BrafG469A	combined	Active
Juvenile Myelomonocytic Leukemia	C0349639	CURATED	26	RUNX1,SH2B3,RAC2	3	3/415	3/14132	0.1767708896256	14132	0.629982142438084	combined_BrafG469A	BrafG469A	combined	Active
Depressive disorder	C0011581	CURATED	272	MAPK8,S100A10,SRD5A1,TAC1,FKBP5,PRKCI,VGF,NTS,TGFB1,VEGFA,HOMER1,DUSP1	12	12/415	12/14132	0.177911623558903	14132	0.629982142438084	combined_BrafG469A	BrafG469A	combined	Active
Hydrops Fetalis, Non-Immune	C0455988	CURATED	50	ANGPT2,HRAS,FOXC2,DHCR24	4	4/415	4/14132	0.18098358445507	14132	0.63052345552089	combined_BrafG469A	BrafG469A	combined	Active
Ankylosing spondylitis and other inflammatory spondylopathies	C0003089	CURATED	51	HSPA9,EGR1,HCK,TIMP1	4	4/415	4/14132	0.188408001487904	14132	0.630798928828488	combined_BrafG469A	BrafG469A	combined	Active
Cerebral Infarction	C0007785	CURATED	51	HLA-B,THBD,LIPG,HLA-A	4	4/415	4/14132	0.188408001487904	14132	0.630798928828488	combined_BrafG469A	BrafG469A	combined	Active
Non-Small Cell Lung Carcinoma	C0007131	CURATED	276	KEAP1,LAMC2,PHLDA2,MAP2K1,SDHC,HRAS,BRAF,KDM2A,VEGFA,ADAMTS1,AREG,SELENOS	12	12/415	12/14132	0.189823751730795	14132	0.630798928828488	combined_BrafG469A	BrafG469A	combined	Active
Mouth Neoplasms	C0026640	CURATED	52	SFN,HRAS,RACK1,ANXA2	4	4/415	4/14132	0.195909356153854	14132	0.638824272649683	combined_BrafG469A	BrafG469A	combined	Active
Diabetic Neuropathies	C0011882	CURATED	28	TGFB1,VEGFA,SGK1	3	3/415	3/14132	0.198153825312633	14132	0.638824272649683	combined_BrafG469A	BrafG469A	combined	Active
Rheumatoid Arthritis	C0003873	CURATED	222	TFPI2,THBD,PLAUR,VEGFA,GPRC5A,SPRED2,FKBP5,CCN1,RUNX1,CXCR4	10	10/415	10/14132	0.206617246658348	14132	0.6563136070324	combined_BrafG469A	BrafG469A	combined	Active
Congenital anomaly of cartilage (disorder)	C0008449	CURATED	30	FLT1,TGFB1,VEGFA	3	3/415	3/14132	0.219823909652196	14132	0.669258293650157	combined_BrafG469A	BrafG469A	combined	Active
Adenocarcinoma of lung (disorder)	C0152013	CURATED	286	FLT1,KPNA2,TK1,KEAP1,CMTR2,MAP2K1,ACSL4,SFN,JUNB,BRAF,SPOP,HRAS	12	12/415	12/14132	0.221113712200711	14132	0.669258293650157	combined_BrafG469A	BrafG469A	combined	Active
Carcinoma, Transitional Cell	C0007138	CURATED	56	CD44,SFN,HRAS,CDKN1A	4	4/415	4/14132	0.226581933619215	14132	0.669258293650157	combined_BrafG469A	BrafG469A	combined	Active
Transitional Cell Neoplasm	C0334265	CURATED	56	CD44,SFN,CDKN1A,HRAS	4	4/415	4/14132	0.226581933619215	14132	0.669258293650157	combined_BrafG469A	BrafG469A	combined	Active
Kidney Diseases	C0022658	CURATED	140	MYH9,XPNPEP3,THBD,CD59,TGFB1,CDKN1A,CLU	7	7/415	7/14132	0.22959246280805	14132	0.669258293650157	combined_BrafG469A	BrafG469A	combined	Active
Osteochondrodysplasias	C0029422	CURATED	31	TGFB1,FLT1,VEGFA	3	3/415	3/14132	0.230733520646692	14132	0.669258293650157	combined_BrafG469A	BrafG469A	combined	Active
Skin Neoplasms	C0037286	CURATED	57	NPPC,TGFB1,HRAS,FLT1	4	4/415	4/14132	0.234391960209511	14132	0.669258293650157	combined_BrafG469A	BrafG469A	combined	Active
Tuberculoma	C0041295	CURATED	32	HLA-A,HLA-B,CORO1A	3	3/415	3/14132	0.241676606040334	14132	0.669258293650157	combined_BrafG469A	BrafG469A	combined	Active
Glioblastoma Multiforme	C1621958	CURATED	32	MAPK8,HSPB8,TRIB3	3	3/415	3/14132	0.241676606040334	14132	0.669258293650157	combined_BrafG469A	BrafG469A	combined	Active
RASopathy	C5555857	CURATED	32	HRAS,MAP2K1,BRAF	3	3/415	3/14132	0.241676606040334	14132	0.669258293650157	combined_BrafG469A	BrafG469A	combined	Active
Weight Gain	C0043094	CURATED	115	GDF15,MEST,ANXA2,NUS1,CAVIN1,SPTBN1	6	6/415	6/14132	0.249322646394313	14132	0.681692299002173	combined_BrafG469A	BrafG469A	combined	Active
Hyperkinesia	C3887506	CURATED	33	FOS,NTS,NPPC	3	3/415	3/14132	0.252641822954196	14132	0.68213292197633	combined_BrafG469A	BrafG469A	combined	Active
Osteoarthrosis, localized, not specified whether primary or secondary	C0157946	CURATED	117	SLC2A1,TGFB1,TFPI2,PLOD2,YWHAQ,CLU	6	6/415	6/14132	0.260427177867633	14132	0.68968404131556	combined_BrafG469A	BrafG469A	combined	Active
Asthma	C0004096	CURATED	208	EGR1,CYBA,TGFB1,THBD,VEGFA,AREG,F2RL1,FKBP5,HLA-B	9	9/415	9/14132	0.268177154848446	14132	0.68968404131556	combined_BrafG469A	BrafG469A	combined	Active
Hypertensive disease	C0020538	CURATED	301	CYBA,FOS,MYH9,SGK1,JUN,CLU,PRKCD,TGFB1,TIMP1,VEGFA,DUSP5,NPPC	12	12/415	12/14132	0.27156598249917	14132	0.68968404131556	combined_BrafG469A	BrafG469A	combined	Active
Diabetic Retinopathy	C0011884	CURATED	62	CLU,HLA-B,VEGFA,FLT1	4	4/415	4/14132	0.274055903161771	14132	0.68968404131556	combined_BrafG469A	BrafG469A	combined	Active
IGA Glomerulonephritis	C0017661	CURATED	62	TIMP1,CD44,SPRY2,TGFB1	4	4/415	4/14132	0.274055903161771	14132	0.68968404131556	combined_BrafG469A	BrafG469A	combined	Active
Cataract	C0086543	CURATED	35	EPHA2,CYP51A1,WDR87	3	3/415	3/14132	0.274596423857121	14132	0.68968404131556	combined_BrafG469A	BrafG469A	combined	Active
Malignant neoplasm of lung	C0242379	CURATED	36	CMTR2,BRAF,PPP2R1B	3	3/415	3/14132	0.2855661852137	14132	0.708991908116772	combined_BrafG469A	BrafG469A	combined	Active
Reperfusion Injury	C0035126	CURATED	95	MAPK8,FOS,JUN,CDKN1A,EGR1	5	5/415	5/14132	0.304884172260202	14132	0.748352059184133	combined_BrafG469A	BrafG469A	combined	Active
Adenoid Cystic Carcinoma	C0010606	CURATED	97	CMTR2,HOMER3,HRAS,ASPM,KDM6B	5	5/415	5/14132	0.318202962704474	14132	0.772267864541194	combined_BrafG469A	BrafG469A	combined	Active
Colon Carcinoma	C0699790	CURATED	68	BRAF,FLT1,EPCAM,VEGFA	4	4/415	4/14132	0.322426081828161	14132	0.773822596387586	combined_BrafG469A	BrafG469A	combined	Active
Liver Failure, Acute	C0162557	CURATED	40	KRT18,PSMD11,MAPK8	3	3/415	3/14132	0.329191750701775	14132	0.781378221445971	combined_BrafG469A	BrafG469A	combined	Active
Non-alcoholic Fatty Liver Disease	C0400966	CURATED	101	TGFB1,PRKCD,TRIB3,TRIB1,ADIPOR2	5	5/415	5/14132	0.344959109561629	14132	0.796634176990642	combined_BrafG469A	BrafG469A	combined	Active
Nonalcoholic steatohepatitis	C3241937	CURATED	101	PRKCD,TRIB1,TRIB3,ADIPOR2,TGFB1	5	5/415	5/14132	0.344959109561629	14132	0.796634176990642	combined_BrafG469A	BrafG469A	combined	Active
Stevens-Johnson Syndrome	C0038325	CURATED	42	DERL1,HLA-A,HLA-B	3	3/415	3/14132	0.350746387661501	14132	0.796634176990642	combined_BrafG469A	BrafG469A	combined	Active
Severe Combined Immunodeficiency	C0085110	CURATED	42	LIG4,CORO1A,TFRC	3	3/415	3/14132	0.350746387661501	14132	0.796634176990642	combined_BrafG469A	BrafG469A	combined	Active
Endometriosis	C0014175	CURATED	165	CPM,FKBP5,AREG,DUSP1,SRD5A1,SLC20A1,FOS	7	7/415	7/14132	0.356317519186383	14132	0.796634176990642	combined_BrafG469A	BrafG469A	combined	Active
Major Depressive Disorder	C1269683	CURATED	229	S100A10,HSP90AA1,VEGFA,LSAMP,MAP2K1,SGK1,RNF41,FKBP5,HOMER1	9	9/415	9/14132	0.359354882011046	14132	0.796634176990642	combined_BrafG469A	BrafG469A	combined	Active
Salivary Gland Neoplasms	C0036095	CURATED	43	HOMER3,ASPM,HRAS	3	3/415	3/14132	0.361435876597606	14132	0.796634176990642	combined_BrafG469A	BrafG469A	combined	Active
Philadelphia chromosome positive chronic myelogenous leukemia	C0279543	CURATED	44	HSPA5,RUNX1,VEGFA	3	3/415	3/14132	0.372059068584055	14132	0.811765240547028	combined_BrafG469A	BrafG469A	combined	Active
Polycystic Ovary Syndrome	C0032460	CURATED	138	PNPLA2,ASPM,TFRC,SRD5A1,CDC6,CMTR2	6	6/415	6/14132	0.381580393575994	14132	0.818256423441323	combined_BrafG469A	BrafG469A	combined	Active
Major depression, single episode (disorder)	C0024517	CURATED	45	TAC1,S100A10,FKBP5	3	3/415	3/14132	0.38261064244247	14132	0.818256423441323	combined_BrafG469A	BrafG469A	combined	Active
Non-specific syndromic intellectual disability	C5568766	CURATED	367	ATP6V0A1,TMEM147,PSMD11,PSMD12,JMJD1C,YWHAE,WSB2,SPTBN1,USP2,PGM2L1,DNAJA1,YWHAZ,NAA15	13	13/415	13/14132	0.393352249166523	14132	0.832981233529108	combined_BrafG469A	BrafG469A	combined	Active
Glomerulonephritis	C0017658	CURATED	47	JUND,VEGFA,MYH9	3	3/415	3/14132	0.40347947460994	14132	0.83321932785376	combined_BrafG469A	BrafG469A	combined	Active
Chronic ischemic heart disease	C0264694	CURATED	174	VEGFA,SH2B3,TRIB1,LIPG,PROCR,GDF15,CYBA	7	7/415	7/14132	0.403639606224444	14132	0.83321932785376	combined_BrafG469A	BrafG469A	combined	Active
Coronary Arteriosclerosis	C0010054	CURATED	175	CYBA,GDF15,VEGFA,SH2B3,TRIB1,PROCR,LIPG	7	7/415	7/14132	0.408894670150456	14132	0.83321932785376	combined_BrafG469A	BrafG469A	combined	Active
Myocardial Infarction	C0027051	CURATED	175	HSPA5,TGFB1,CLU,SH2B3,THBD,TFPI,LIPG	7	7/415	7/14132	0.408894670150456	14132	0.83321932785376	combined_BrafG469A	BrafG469A	combined	Active
Calcinosis	C0006663	CURATED	48	TGFB1,TIMP1,GALNT3	3	3/415	3/14132	0.413787863964802	14132	0.835310080527076	combined_BrafG469A	BrafG469A	combined	Active
Kidney Failure, Acute	C0022660	CURATED	114	TGFB1,THBD,CD44,CLU,VEGFA	5	5/415	5/14132	0.431600487784691	14132	0.844093707218761	combined_BrafG469A	BrafG469A	combined	Active
Acute Kidney Insufficiency	C1565662	CURATED	114	THBD,VEGFA,CLU,TGFB1,CD44	5	5/415	5/14132	0.431600487784691	14132	0.844093707218761	combined_BrafG469A	BrafG469A	combined	Active
Acute kidney injury	C2609414	CURATED	115	CLU,VEGFA,TGFB1,THBD,CD44	5	5/415	5/14132	0.438169058645605	14132	0.844093707218761	combined_BrafG469A	BrafG469A	combined	Active
Gilles de la Tourette syndrome	C0040517	CURATED	83	SPRY2,RACK1,BAIAP2,CSNK1G3	4	4/415	4/14132	0.442029401696234	14132	0.844093707218761	combined_BrafG469A	BrafG469A	combined	Active
Cleft Palate	C0008925	CURATED	51	SDC2,SPRY2,TGFB1	3	3/415	3/14132	0.444162420498203	14132	0.844093707218761	combined_BrafG469A	BrafG469A	combined	Active
Coronary heart disease	C0010068	CURATED	182	PROCR,CYBA,VEGFA,LIPG,GDF15,SH2B3,TRIB1	7	7/415	7/14132	0.445520433954461	14132	0.844093707218761	combined_BrafG469A	BrafG469A	combined	Active
ovarian neoplasm	C0919267	CURATED	182	TFRC,CD59,CRABP2,AREG,EPCAM,SLC2A1,GALNT3	7	7/415	7/14132	0.445520433954461	14132	0.844093707218761	combined_BrafG469A	BrafG469A	combined	Active
Graves Disease	C0018213	CURATED	52	TGFB1,HLA-B,VEGFA	3	3/415	3/14132	0.454092543071977	14132	0.844093707218761	combined_BrafG469A	BrafG469A	combined	Active
nervous system disorder	C0027765	CURATED	53	SKOR2,FOS,SLC2A1	3	3/415	3/14132	0.463920388480873	14132	0.844093707218761	combined_BrafG469A	BrafG469A	combined	Active
Papillary thyroid carcinoma	C0238463	CURATED	53	BRAF,HRAS,LIG4	3	3/415	3/14132	0.463920388480873	14132	0.844093707218761	combined_BrafG469A	BrafG469A	combined	Active
Hyperalgesia	C0020429	CURATED	87	MAPK8,FOS,TAC1,THBD	4	4/415	4/14132	0.472688219497703	14132	0.844093707218761	combined_BrafG469A	BrafG469A	combined	Active
Osteoporosis	C0029456	CURATED	87	ANXA2,PKM,TGFB1,CXCR4	4	4/415	4/14132	0.472688219497703	14132	0.844093707218761	combined_BrafG469A	BrafG469A	combined	Active
Rare genetic syndromic intellectual disability	C5680525	CURATED	87	KDM6B,NAA15,PIGL,PSMD12	4	4/415	4/14132	0.472688219497703	14132	0.844093707218761	combined_BrafG469A	BrafG469A	combined	Active
Mammary Neoplasms	C1458155	CURATED	524	MYH9,FLT1,GRB7,TFPI2,ETV4,HRAS,JUN,ARF1,FOS,SLC2A1,AREG,MFGE8,ADAMTS1,TFRC,CXCR4,HSP90AA1,KRT18	17	17/415	17/14132	0.472848789691991	14132	0.844093707218761	combined_BrafG469A	BrafG469A	combined	Active
