diseaseName	diseaseUMLSCUI	source	numGenesAssociatedToDisease	intersection	intersectionSize	geneRatio	bgRatio	pvalue	totalGenesSource	p_adjusted	query	bait	method	type
Malignant Squamous Cell Neoplasm	C0751688	CURATED	124	PIK3CA,RASA1,ITGA5,ANXA5,HRAS,KRAS	6	6/237	6/14132	0.0577119250617137	14132	0.149811718534015	combined_HrasG13R	HrasG13R	combined	Active
Mammary Neoplasms	C1458155	CURATED	524	MYH9,FLT1,RAF1,THBS1,PIK3CA,TFPI2,EEF1B2,EPHB4,FN1,HRAS,ARAF,YAP1,KRAS,SFRP5,KRT18	15	15/237	15/14132	0.0584578205982469	14132	0.149811718534015	combined_HrasG13R	HrasG13R	combined	Active
Osteoporosis	C0029456	CURATED	87	U2AF1,PKM,P4HB,CA2,GSN	5	5/237	5/14132	0.0584631096718109	14132	0.149811718534015	combined_HrasG13R	HrasG13R	combined	Active
melanoma	C0025202	CURATED	250	TFPI2,GAB2,NRAS,JUNB,FLT1,BRAF,GNA11,HRAS,USP6NL	9	9/237	9/14132	0.0601246469309318	14132	0.151699109179582	combined_HrasG13R	HrasG13R	combined	Active
Carcinoma of lung	C0684249	CURATED	26	KRAS,BRAF,PIK3CA	3	3/237	3/14132	0.0699521994797695	14132	0.17129715907516	combined_HrasG13R	HrasG13R	combined	Active
Stomach Neoplasms	C0038356	CURATED	349	PIK3CA,BLVRB,CA2,KRAS,PRKCB,ANXA5,ITGA5,CNPY2,HRAS,ECHS1,PLCE1	11	11/237	11/14132	0.0699811564514373	14132	0.17129715907516	combined_HrasG13R	HrasG13R	combined	Active
Reperfusion Injury	C0035126	CURATED	95	ITGA5,THBS1,ID3,EFNB2,MPO	5	5/237	5/14132	0.0755894643576089	14132	0.182304002274233	combined_HrasG13R	HrasG13R	combined	Active
Distal spinal muscular atrophy	C0393541	CURATED	31	SPTAN1,NEFL,HSPB8	3	3/237	3/14132	0.0948506475949348	14132	0.222221517222419	combined_HrasG13R	HrasG13R	combined	Active
Cerebral Astrocytoma	C0750935	CURATED	31	BRAF,KRAS,DLL3	3	3/237	3/14132	0.0948506475949348	14132	0.222221517222419	combined_HrasG13R	HrasG13R	combined	Active
Liver neoplasms	C0023903	CURATED	146	EFNB2,HRAS,RAF1,BRAF,KRT18,KRAS	6	6/237	6/14132	0.0992915374779931	14132	0.229349466850576	combined_HrasG13R	HrasG13R	combined	Active
Squamous cell carcinoma of lung	C0149782	CURATED	67	KRAS,PIK3CA,HRAS,EPHA5	4	4/237	4/14132	0.102418051085836	14132	0.233285560806627	combined_HrasG13R	HrasG13R	combined	Active
