prey	percentage	method
known	60.7142857142857	both
novel	39.2857142857143	both
known	41.7910447761194	AP-MS
novel	58.2089552238806	AP-MS
known	44.6153846153846	TbID
novel	55.3846153846154	TbID
known	35	Combined
novel	65	Combined
