KrasWT	KrasS17N	KrasG12V	KrasG12D	NrasWT	NrasS17N	NrasQ61K	NrasQ61R	HrasWT	HrasS17N	HrasG13R	HrasQ61R	ArafWT	ArafD447A	ArafS214P	BrafWT	BrafD594N	BrafG469A	BrafV600E	Raf1WT	Raf1D486A	Raf1S257L	Raf1S259F	MEK1WT	MEK1AA	MEK1DD	MEK2WT	MEK2AA	MEK2DD	ERK1WT	ERK1AA	ERK1DD	ERK2WT	ERK2AA	ERK2DD
Raf1D486A	0.045	0.033	0.044	0.02	0.357	0.55	0.346	0.094	0.279	0.166	0.318	0.385	0.302	0.446	0.343	0.456	0.458	0.268	0.225	0.429	NA	0.285	0.216	0.174	0.295	0.161	0.237	0.079	0.103	0.08	0.211	0.088	0.073	0.261	0.343
Raf1S257L	0.07	0.022	0.035	0.03	0.595	0.55	0.556	0.197	0.372	0.286	0.261	0.287	0.395	0.403	0.442	0.596	0.578	0.493	0.527	0.663	0.285	NA	0.594	0.291	0.341	0.516	0.339	0.114	0.285	0.093	0.246	0.147	0.121	0.443	0.371
Raf1S259F	0.089	0.076	0.08	0.07	0.476	0.383	0.444	0.181	0.302	0.286	0.239	0.224	0.481	0.388	0.477	0.491	0.518	0.59	0.566	0.551	0.216	0.594	NA	0.198	0.295	0.697	0.288	0.1	0.283	0.093	0.175	0.162	0.097	0.339	0.271
MEK1WT	0.012	0	0.012	0.023	0.381	0.267	0.247	0.151	0.349	0.174	0.256	0.233	0.186	0.198	0.256	0.314	0.289	0.209	0.244	0.256	0.174	0.291	0.198	NA	0.568	0.186	0.508	0.674	0.616	0.093	0.14	0.176	0.267	0.267	0.271
MEK1AA	0	0	0.023	0.045	0.167	0.318	0.273	0.159	0.163	0.182	0.364	0.386	0.159	0.318	0.273	0.409	0.409	0.273	0.273	0.295	0.295	0.341	0.295	0.568	NA	0.273	0.364	0.614	0.455	0.045	0.136	0.091	0.205	0.341	0.159
MEK1DD	0.071	0.022	0.044	0.05	0.476	0.217	0.247	0.071	0.279	0.161	0.135	0.133	0.171	0.151	0.355	0.289	0.325	0.761	0.671	0.388	0.161	0.516	0.697	0.186	0.273	NA	0.288	0.121	0.535	0.053	0.123	0.074	0.056	0.191	0.186
MEK2WT	0.051	0	0.034	0.051	0.262	0.203	0.288	0.136	0.349	0.169	0.288	0.271	0.203	0.254	0.271	0.39	0.339	0.288	0.305	0.322	0.237	0.339	0.288	0.508	0.364	0.288	NA	0.576	0.576	0.085	0.105	0.153	0.22	0.339	0.22
MEK2AA	0.014	0	0.018	0.02	0.238	0.117	0.136	0.055	0.279	0.043	0.114	0.1	0.085	0.086	0.143	0.158	0.229	0.1	0.107	0.173	0.079	0.114	0.1	0.674	0.614	0.121	0.576	NA	0.643	0.12	0.14	0.118	0.194	0.122	0.157
MEK2DD	0.025	0	0.027	0.03	0.286	0.183	0.235	0.142	0.349	0.063	0.205	0.133	0.132	0.144	0.349	0.193	0.253	0.225	0.347	0.265	0.103	0.285	0.283	0.616	0.455	0.535	0.576	0.643	NA	0.213	0.193	0.176	0.266	0.209	0.186
ERK1WT	0	0	0	0	0.071	0.1	0.053	0.093	0.14	0.08	0.107	0.093	0.08	0.067	0.133	0.093	0.053	0.067	0.067	0.093	0.08	0.093	0.093	0.093	0.045	0.053	0.085	0.12	0.213	NA	0.596	0.735	0.667	0.48	0.343
ERK1AA	0	0	0	0	0.119	0.193	0.211	0.175	0.07	0.123	0.193	0.193	0.123	0.246	0.281	0.246	0.211	0.14	0.175	0.175	0.211	0.246	0.175	0.14	0.136	0.123	0.105	0.14	0.193	0.596	NA	0.632	0.561	0.667	0.526
ERK1DD	0	0	0	0	0.143	0.217	0.162	0.147	0.163	0.191	0.132	0.132	0.118	0.118	0.162	0.162	0.147	0.088	0.132	0.147	0.088	0.147	0.162	0.176	0.091	0.074	0.153	0.118	0.176	0.735	0.632	NA	0.574	0.559	0.471
ERK2WT	0	0	0	0	0.119	0.117	0.123	0.065	0.186	0.04	0.137	0.113	0.073	0.113	0.105	0.123	0.157	0.081	0.097	0.112	0.073	0.121	0.097	0.267	0.205	0.056	0.22	0.194	0.266	0.667	0.561	0.574	NA	0.452	0.443
ERK2AA	0.035	0.022	0	0	0.357	0.583	0.469	0.209	0.279	0.348	0.287	0.209	0.191	0.261	0.191	0.36	0.313	0.235	0.27	0.265	0.261	0.443	0.339	0.267	0.341	0.191	0.339	0.122	0.209	0.48	0.667	0.559	0.452	NA	0.671
ERK2DD	0.057	0.014	0.014	0.014	0.429	0.433	0.314	0.129	0.186	0.286	0.243	0.243	0.214	0.257	0.286	0.429	0.314	0.3	0.314	0.414	0.343	0.371	0.271	0.271	0.159	0.186	0.22	0.157	0.186	0.343	0.526	0.471	0.443	0.671	NA
