ERK_prey_protein	in IntAct	this study	ERK relationship in Signor	OpenCell	BioPlex	Kolch	Gstaiger
LEMD2	0	1	0	0	0	0	0
SPRYD3	0	1	0	0	0	0	0
NLGN4Y	0	1	0	0	0	0	0
PCDH19	0	1	0	0	0	0	0
FRS2	0	1	0	0	0	0	0
NEO1	0	1	0	0	0	0	0
LHX4	0	1	0	0	0	0	0
RHBDF1	0	1	0	0	0	0	0
USP47	0	1	0	0	0	0	0
TRERF1	0	1	0	0	0	0	0
TUBGCP6	0	1	0	0	0	0	0
TUBGCP5	0	1	0	0	0	0	0
WRNIP1	0	1	0	0	0	0	0
EYA3	0	1	0	0	0	0	0
KATNAL1	0	1	0	0	0	0	0
DUSP16	0	1	1	0	0	0	0
ADGRL3	0	1	0	0	0	0	0
PARVB	0	1	0	0	0	0	0
ANO8	0	1	0	0	0	0	0
COPRS	0	1	0	0	0	0	0
SERINC1	0	1	0	0	0	0	0
FRMD4A	0	1	0	0	0	0	0
XPR1	0	1	0	0	0	0	0
PNMA2	0	1	0	0	0	0	0
KIDINS220	0	1	0	0	0	0	0
ZBTB21	0	1	0	0	0	0	0
USP24	0	1	0	0	0	0	0
SELENOK	0	1	0	0	0	0	0
SHANK3	0	1	0	0	0	0	0
SLC22A23	0	1	0	0	0	0	0
PTPDC1	0	1	0	0	0	0	0
FOXN3	0	1	0	0	0	0	0
DPYSL4	0	1	0	0	0	0	0
DCLK1	0	1	0	0	0	0	0
FRAT2	0	1	0	0	0	0	0
SOD1	0	1	0	0	0	0	0
CSRP1	0	1	0	0	0	0	0
MAPK4	0	1	0	0	0	0	0
BMP8B;BMP8A	0	1	0	0	0	0	0
LONP1	0	1	0	0	0	0	0
EIF4EBP1	0	1	1	0	0	0	0
CRMP1	0	1	0	0	0	0	0
ABHD17C	0	1	0	0	0	0	0
CSPG4	0	1	0	0	0	0	0
PRPF39	0	1	0	0	0	0	0
ARRDC4	0	1	0	0	0	0	0
ENGASE	0	1	0	0	0	0	0
NEDD1	0	1	0	0	0	0	0
FLYWCH2	0	1	0	0	0	0	0
ITPKC	0	1	0	0	0	0	0
SCARF2	0	1	0	0	0	0	0
DACH2	0	1	0	0	0	0	0
ZNF395	0	1	0	0	0	0	0
SAYSD1	0	1	0	0	0	0	0
ANKRD10	0	1	0	0	0	0	0
OGFR	0	1	0	0	0	0	0
SCML1	0	1	0	0	0	0	0
HCN4	0	1	0	0	0	0	0
IRS2	0	1	0	0	0	0	0
WASH3P	0	1	0	0	0	0	0
ATXN7	0	1	0	0	0	0	0
CCP110	0	1	0	0	0	0	0
SLC16A7	0	1	0	0	0	0	0
SUPT3H	0	1	0	0	0	0	0
TAF5L	0	1	0	0	0	0	0
SUPT7L	0	1	0	0	0	0	0
