method	pct	prey
AP-MS	18.7586974672975	known
AP-MS	81.2413025327025	novel
TurboID	9.52481520591341	known
TurboID	90.4751847940866	novel
Combined	11.5425250924459	known
Combined	88.4574749075541	novel
