set	count	type
missing	706	WT
HRAS	38	WT
NRAS	39	WT
KRAS	218	WT
shared	17	WT
common	9	WT
missing	574	Inactive
HRAS	197	Inactive
NRAS	36	Inactive
KRAS	153	Inactive
shared	62	Inactive
common	5	Inactive
missing	304	Active
HRAS	210	Active
NRAS	216	Active
KRAS	183	Active
shared	83	Active
common	31	Active
