GENE.NAMES	set_WT	set_Inactive	set_Active
TMEM147	missing	missing	common
TMEM185B	missing	missing	MEK2
TMEM200A	missing	missing	common
TMEM201	missing	missing	MEK1
TMEM250	missing	missing	MEK2
TMEM263	missing	missing	MEK2
TMEM33	missing	missing	MEK2
TMEM41B	missing	missing	MEK2
TMEM59	missing	missing	common
TMF1	missing	missing	MEK2
TMOD3	missing	MEK2	missing
TMSB10	missing	missing	MEK2
TNFAIP1	missing	missing	common
TNFRSF10B	missing	missing	MEK2
TNFRSF10D	missing	missing	MEK1
TNFSF9	missing	missing	common
TNIK	missing	missing	MEK2
TNRC6A	MEK1	common	MEK2
TNRC6B	missing	MEK2	MEK2
TNRC6C	MEK1	common	MEK2
TNS2	missing	missing	MEK1
TOB1	MEK1	MEK2	MEK2
TOB2	missing	MEK2	missing
TOMM70	missing	missing	MEK2
TOR1B	missing	missing	MEK2
TP53BP2	missing	MEK2	MEK2
TPD52L2	missing	missing	MEK2
TPRA1	MEK2	MEK2	missing
TPRN	missing	MEK2	MEK2
TRIB1	missing	missing	common
TRIB3	missing	missing	common
TRIM26	MEK1	MEK2	MEK2
TRIM5	missing	missing	MEK2
TRIM62	missing	missing	MEK2
TROAP	missing	missing	MEK2
TTC1	missing	missing	MEK2
TTC39C	missing	missing	MEK2
TTC4	missing	missing	MEK2
TTK	MEK1	MEK2	MEK2
TTLL4	MEK1	missing	MEK2
TTPAL	missing	missing	MEK2
