Majority protein IDs	Gene_name_canonical	graph_localization_annotation	umap_1	umap_2	3D_umap_1	3D_umap_2	3D_umap_3
A0A024R6H3;Q13572;G3V4M9;Q8N3Y0	ITPK1	cytosol	-13.682984	-10.440005	6.44293	8.931711	1.2779804
A0A024R0N8;Q96DU7	ITPKC	cytosol	-13.7733555	-11.10539	6.1740527	8.610364	1.0066777
Q9Y6Y0	IVNS1ABP	cytosol	-13.725804	-9.989479	6.894734	8.166506	1.4372519
Q96ST2;B4DGM5	IWS1	cytosol	-12.796454	-10.115219	6.368614	8.69547	2.0443358
A0A0S2PZM4;Q6NYC1;B2WTI3;B2WTI4	JMJD6	cytosol	-11.912813	-10.982914	7.209978	8.672919	1.740718
P0C870;B5MC20;Q9NWJ5;C9K0I3	JMJD7	cytosol	-13.0434475	-10.523407	6.4338293	8.114438	1.6561217
J3KSH8	JPT1	cytosol	-13.7322645	-10.126549	6.64363	8.764747	1.285323
Q9UK76;J3KT51	JPT1	cytosol	-13.51723	-8.398629	8.212444	8.38793	2.7125158
Q9H910;A6NGP5;H3BU16	JPT2	cytosol	-13.166149	-8.671951	7.8489585	8.716237	2.8856132
B2RDY3;A0A024RDP8;Q9BW62;B3KUK7	KATNAL1	cytosol	-12.854149	-10.0337305	6.2385793	8.963668	1.8660902
A0A087WXP9;A0A024RA38;Q8IY47	KBTBD2	cytosol	-13.721559	-10.305499	6.6869564	8.525427	1.2990953
Q9NVX7;Q53HN0;A0A075B6T4;B3KRH9	KBTBD4	cytosol	-13.597261	-10.225395	6.685789	8.777888	1.3670979
Q86V97;B4DS93	KBTBD6	cytosol	-12.494748	-9.461104	6.5850353	9.466767	2.513542
B2RDL4;Q8WVZ9;Q6FI68;B4DS80	KBTBD7	cytosol	-13.524351	-10.447968	6.2077904	8.872894	1.2436434
Q8NFY9	KBTBD8	cytosol	-13.148886	-10.906693	6.2721972	8.381399	1.0685359
Q9P0J7	KCMF1	cytosol	-13.87277	-10.29614	6.6516767	8.733862	1.1317525
Q7Z5Y7	KCTD20	cytosol	-13.752635	-10.457151	6.38992	8.843752	1.2598265
E9PRT1;E9PJJ5;Q4G0X4;E9PMS5	KCTD21	cytosol	-13.776697	-10.759952	6.3297024	8.4905615	0.8769712
Q7L273;B4DPW0	KCTD9	cytosol	-13.864321	-10.427431	6.494755	8.575091	1.0408748
P41229;A6N6J7;A0A6M4C8G8	KDM5C	cytosol	-12.604218	-9.760501	6.420887	9.182963	2.1120865
A0A0S2Z5T1;Q8N371;A0A0S2Z5P8;A0A0S2Z5P4;H3BR76	KDM8	cytosol	-13.412289	-10.815718	6.1735125	8.383701	1.3546239
A0A024R7C0;Q14145;A0A2P1M8C0	KEAP1	cytosol	-13.102773	-10.047115	5.918092	7.879001	1.8110437
C9JDL1;Q53G56;A0A140VJM6;P50053	KHK	cytosol	-12.74442	-10.218945	6.2601447	8.379117	2.137286
A5YKK5;Q92628	KIAA0232	cytosol	-13.353497	-10.983336	5.9740324	8.5122795	1.0122488
O60268;H3BMU3;H3BNA7	KIAA0513	cytosol	-13.663607	-10.321262	6.411276	8.623225	1.1678882
P52732;B2RAM6;A0A7I2V3A9;A0A7I2YQY4;A0A7I2V3V3	KIF11	cytosol	-13.369998	-7.6912155	8.737521	8.804594	3.1446507
Q9H1H9;A0A1B0GUA8	KIF13A	cytosol	-13.711982	-10.058598	6.7484217	8.198584	1.5080682
Q9NS87;D6RCT7	KIF15	cytosol	-13.085391	-10.171516	5.9975348	8.081213	1.6614119
Q9P2E2;A0A0A0MRS8	KIF17	cytosol	-13.377696	-11.032911	5.990482	8.715846	1.1902909
J3KPF9;A0A087X011;E9PES4;Q9Y496;Q2UVF2;B4DHG8	KIF3A	cytosol	-12.318221	-9.845541	6.2733417	8.792838	2.253339
O15066	KIF3B	cytosol	-12.545538	-10.27145	6.5172663	9.327831	1.8181858
Q92845;B7Z7E7	KIFAP3	cytosol	-13.616978	-10.857095	6.179337	8.364035	0.9728299
Q96EK5;A0A1B0GUA3;A0A6Q8PHL8;A0A6Q8PH45;A0A6Q8PGG2	KIFBP	cytosol	-13.207888	-8.402366	8.193571	8.971708	3.3180876
Q13118	KLF10	cytosol	-13.582964	-10.411942	6.3790984	8.17655	1.4025701
B4DYA4;F8W6A4	KLHDC3	cytosol	-13.613918	-10.335504	6.509636	8.566493	1.1146426
Q9NVR0;A0A024R1T8;B4DXF5	KLHL11	cytosol	-13.020025	-10.030214	6.3626094	9.0905695	1.6567451
A0A024R2T4;O94889;B4DHW4;Q647K1;Q6PJF0	KLHL18	cytosol	-13.300158	-11.06985	6.0046706	8.300579	1.3279247
Q9H0H3;B3KPR7;Q9H9R6	KLHL25	cytosol	-13.382072	-10.991214	5.9807544	8.647809	1.2875597
Q9P2K6;B2RNT7;F5H523	KLHL42	cytosol	-13.60294	-10.92737	6.147485	8.2283945	1.1841493
Q05C46	KNL1	cytosol	-12.635159	-10.106929	6.415432	9.229104	1.7477598
Q8NG31;E9PPJ1;H0YCZ2	KNL1	cytosol	-12.424805	-9.73412	6.688416	9.192694	2.4206877
P50748	KNTC1	cytosol	-12.87692	-9.916843	6.430052	9.066135	2.0433488
Q5BKZ2;P52294;B3KXZ2;B3KWR2;C9JYI4	KPNA1	cytosol	-13.309646	-7.55318	8.78681	8.390667	3.391949
A0A024RDV7;O00505;Q53F09	KPNA3	cytosol	-12.230846	-9.697471	6.6613336	9.314579	3.0576403
H7C4F6;O00629;A0A7I2YQ95;A0A7I2V340;A0A7I2V333	KPNA4	cytosol	-8.669579	-5.795417	7.135058	5.8453937	6.4679346
A8K563;A0A494C066;B7Z4W5;Q16773	KYAT1	cytosol	-13.395353	-10.268259	6.6339726	8.212381	1.2494478
Q96EM0;D6RC46;E9PKK7	L3HYPDH	cytosol	-13.862887	-10.47642	6.3161077	8.256909	1.2345744
Q9BRS8	LARP6	cytosol	-13.353711	-10.346526	6.5227237	8.373307	1.2561893
Q9UIC8	LCMT1	cytosol	-13.625869	-10.972984	6.0054283	8.588192	1.0723757
V9HWB9;P00338;B4DJI1	LDHA	cytosol	-13.618893	-8.674748	7.9575624	8.301897	2.4757497
Q5U077;P07195;A0A5F9ZHM4;A0A3B3IS95;A8MW50	LDHB	cytosol	-13.644275	-8.869892	7.8839207	8.251535	2.4012055
G9BCY8;D6NKH9;A0A140VKA7;P07864;F5H245;G9BCY7;G9BCZ0;F5H155;G3XAP5;F5H5G7	LDHC	cytosol	-12.975924	-10.827304	6.4128733	8.609753	1.604259
P09382;A0A384MR27	LGALS1	cytosol	-13.54341	-9.908896	6.8920875	8.049978	1.593972
Q3ZCW2;U3KQ88	LGALSL	cytosol	-13.25742	-10.575678	6.7962456	8.522543	1.1132419
Q9H008;Q5T1Z0	LHPP	cytosol	-13.442901	-10.901371	6.325695	8.37779	1.0404135
P18858;B4DUE1	LIG1	cytosol	-12.231389	-9.593723	6.4718413	9.297188	2.454288
A8K297;P53667;E9PC47	LIMK1	cytosol	-12.862663	-10.198392	6.5573735	8.221028	1.9506314
B5MC51	LIMK2	cytosol	-13.7275715	-9.6866665	7.0066957	8.520565	1.7163665
B2R8J5;Q8N448	LNX2	cytosol	-13.46028	-10.58025	6.193467	8.051581	1.3026279
Q1L5Z9;B7ZKY9	LONRF2	cytosol	-13.90408	-10.808594	6.130337	8.746498	1.1933669
Q14693;Q68CS2	LPIN1	cytosol	-13.776603	-10.768112	6.301103	8.59637	0.920175
Q92539	LPIN2	cytosol	-13.510023	-10.668757	6.22552	8.137037	1.3128915
Q9BQK8	LPIN3	cytosol	-13.723677	-10.216955	6.5394387	8.97096	1.3916419
Q93052;B7ZLW0;B7Z8W0;C9JUT4	LPP	cytosol	-13.558837	-9.932413	6.7003813	8.008361	1.6181482
Q15048;E9PP40	LRRC14	cytosol	-13.661206	-10.414352	6.421827	8.4023905	1.104994
X6RK58;A0A024QZM2;Q8TCA0;A0A0A0MS58;A0A024QZR0	LRRC20	cytosol	-13.127564	-10.357248	6.4720845	8.290296	1.548947
A0A140VJN3;Q9H9A6	LRRC40	cytosol	-13.408849	-7.725219	8.675835	8.853008	3.2028759
Q9Y546;E7EP35	LRRC42	cytosol	-12.475377	-9.784365	6.360914	9.265325	2.2264898
A0A140VK27;P09960;B4DVZ8	LTA4H	cytosol	-13.599861	-8.040952	8.601389	8.434447	2.96857
O94822	LTN1	cytosol	-12.46449	-9.546881	6.4775453	9.061153	2.5591815
A0A024R5H3;Q8WV07;F5GZY6;B4DFA5;H3BPK6;F5H6T8;F5GWS9	LTO1	cytosol	-13.954244	-10.699232	6.3254056	8.078766	1.0627441
A0A140VJC9;O95372;Q5QPQ3;Q5QPQ2;Q5QPN9;Q5QPQ1;Q5QPQ0	LYPLA2	cytosol	-13.481976	-7.506158	8.84799	8.535037	3.133014
Q8WZA0;A0A024R4I7;K7ES95	LZIC	cytosol	-13.587682	-9.991354	6.5273714	8.963194	1.4243524
Q9NQ48;H7C488;A0A7P0TAT3	LZTFL1	cytosol	-12.671241	-9.631227	6.5345902	8.953538	2.211961
Q13257	MAD2L1	cytosol	-12.945383	-8.912726	7.349664	9.079132	2.5189383
E9PSH4;Q9H063;E9PR76	MAF1	cytosol	-13.167951	-10.487248	6.81728	8.377804	1.3026438
A0A024R2A8;Q96JG8	MAGED4	cytosol	-12.772413	-9.624367	6.6641617	9.181144	2.1654902
A8K5S1;Q9UDY8;A0A3B3IS32	MALT1	cytosol	-12.971647	-9.835424	6.381361	9.148956	1.8918003
A0A140VJN9;Q9NTJ4;B4DVP6	MAN2C1	cytosol	-13.309309	-10.143464	6.659292	8.933617	1.4790303
A4QPA9;Q02750;B4DFY5	MAP2K1	cytosol	-13.564072	-7.824129	8.703303	8.940157	3.0217001
P36507;G5E9C7;Q7Z370;B3KS97	MAP2K2	cytosol	-13.656445	-7.74137	8.7839155	8.936502	3.0892544
P45985;B4DH44;B7ZA62;B7Z9Y5	MAP2K4	cytosol	-13.452574	-10.526236	6.247593	8.2106	1.3323894
B2RD76;A0A024R5Y2;Q13163;A0A024R5X5	MAP2K5	cytosol	-12.725247	-9.846065	6.757677	9.27278	1.93216
A8K3Y2;P52564;B5BU16;A0A024R8K3	MAP2K6	cytosol	-12.406822	-9.742896	6.3930054	9.047678	2.4642746
Q6ZN16	MAP3K15	cytosol	-13.759544	-10.965692	6.1710587	8.686879	1.1497908
O95382;Q32MQ5	MAP3K6	cytosol	-13.52611	-11.075183	6.2713776	8.797299	0.9676139
Q5U0D0;O43318;Q5U0C9;B4DRH8;Q9UG54	MAP3K7	cytosol	-12.721352	-8.875202	7.5485187	9.229392	3.11995
Q1HBJ4;P28482;B4DHN0;Q499G7	MAPK1	cytosol	-13.477821	-7.955072	8.520613	8.857644	3.303235
P53778;B5MDL5;Q6N076;B7Z274;B3KUV9;A8K155	MAPK12	cytosol	-13.641563	-10.450629	6.2101784	8.259188	1.4757189
A0A024RD15;Q16539;B4E0K5	MAPK14	cytosol	-13.504087	-11.12097	6.1234946	8.329879	1.0018667
L7RSM2	MAPK14	cytosol	-13.820069	-11.007644	6.211007	8.545038	0.9345568
Q8NDC0	MAPK1IP1L	cytosol	-13.620577	-10.0934925	6.607168	8.115132	1.4074352
L7RXH5;P27361;Q8NHX0;Q7Z3H5;E9PBK7;B3KR49	MAPK3	cytosol	-13.163458	-9.290909	7.410114	8.671141	2.3177567
A0A024QZ20;Q13164	MAPK7	cytosol	-12.514179	-9.809324	6.180595	8.926992	2.1573162
A1L4K2;B5BUB8;P45983	MAPK8	cytosol	-13.360621	-10.986701	5.965537	8.682591	1.4020616
D7R526;B5BUJ7;P45984;J3KNK1	MAPK9	cytosol	-12.103128	-10.704888	7.411273	9.0773	1.8297529
P49137	MAPKAPK2	cytosol	-13.532687	-10.922133	5.936138	8.496962	1.1911916
B5BUJ8;B2R8Z2;A8K4K4;A0A024R2W7;Q16644;C9J8E1	MAPKAPK3	cytosol	-13.334181	-10.384044	6.7158284	8.26367	1.1920394
Q15691;B4DM33;A2VCR0	MAPRE1	cytosol	-13.707799	-8.636463	8.010349	8.390464	2.6096783
Q96GX5	MASTL	cytosol	-13.086904	-10.34377	6.349763	8.53447	1.7546393
A0A140VJP5;P31153;B4DEX8	MAT2A	cytosol	-13.425662	-8.27572	8.285434	8.779692	2.9427774
A0A140VJP2;Q9NZL9;H7C0X7;B7Z1X8	MAT2B	cytosol	-13.5912895	-10.325701	6.566998	8.143097	1.4795269
A0A0S2Z5P5	MCMBP	cytosol	-13.424737	-7.981066	8.471679	8.918532	2.9790142
Q9ULC4	MCTS1	cytosol	-12.977189	-8.470964	8.005717	8.726506	3.3258948
V9HWF2;P40925;A0A5K1VW95;B9A041;C9JF79;B8ZZ51	MDH1	cytosol	-13.71354	-8.563559	8.107311	8.401418	2.5993664
A0A087WZ58;O15151;Q59FS6;A0A087WTR9	MDM4	cytosol	-13.858861	-10.396524	6.4140234	8.456421	1.0910223
P48163;A8K168;B4DX99	ME1	cytosol	-13.088167	-10.373676	6.280786	8.810197	1.6594954
A0A2R8Y7W8;A0A2R8Y6W5;Q16626	MEA1	cytosol	-13.545023	-10.689834	6.528889	8.425776	1.327262
Q9Y316;A8K3Y8	MEMO1	cytosol	-13.350275	-8.937916	7.605124	8.535152	2.4361253
A0A024RB62;Q9UBP6	METTL1	cytosol	-13.735197	-10.076398	6.8740897	8.401923	1.2972271
A0A024R402;H7BXH9;Q8WXB1	METTL21A	cytosol	-12.226529	-9.529315	6.39689	9.2169075	2.571947
Q8N6Q8	METTL25	cytosol	-13.40917	-10.545518	6.382553	8.174998	1.2122004
Q96S19;A0A087WYU2	METTL26	cytosol	-13.028557	-10.184236	6.576905	8.886458	1.6521237
Q6P1Q9	METTL2B	cytosol	-12.081129	-8.976975	6.699258	8.48946	2.9517334
A0A1S5UZH2;Q8TDZ2	MICAL1	cytosol	-13.069955	-10.430277	6.584678	8.288805	1.4745028
Q9NPA3	MID1IP1	cytosol	-12.521452	-9.836907	6.433713	9.274047	2.2065616
Q9BRT3;J3KTI2	MIEN1	cytosol	-13.819013	-10.10778	6.540133	8.073604	1.5294702
I4AY87;P14174	MIF	cytosol	-12.301646	-10.272509	7.586173	8.819278	2.8508186
Q9H8M7	MINDY3	cytosol	-13.257304	-10.379705	6.2001834	8.572865	1.6071134
A0A499FJN1;B5BUJ6;B5BU64;A0A499FIS5;Q9BUB5;A0A499FJS1;B3KU24;Q7Z319;E9PIA0	MKNK1	cytosol	-13.430325	-10.063134	6.375318	8.43546	1.6998423
A0A0C4DGU2;Q9Y4U1	MMACHC	cytosol	-12.685622	-9.707047	6.599534	9.013584	2.2238212
Q96T76	MMS19	cytosol	-13.476277	-7.865733	8.641379	8.85818	2.9150736
Q70IA6;A0A087WVS8;B4DTJ1;B4DKJ9	MOB2	cytosol	-12.75541	-10.430836	6.1919985	8.140033	1.9309955
Q96BX8	MOB3A	cytosol	-12.991197	-9.943746	6.4250674	9.132142	1.9135004
A0A024QZS1;O96007	MOCS2	cytosol	-13.973597	-10.650907	6.4675946	8.512629	0.92946714
O96033;E9PKT9	MOCS2	cytosol	-13.362248	-10.470239	6.3306355	8.393143	1.368466
O95396	MOCS3	cytosol	-13.201754	-10.452058	6.12174	8.625949	1.5143133
A0A2R8YE86	MORN2	cytosol	-13.433649	-10.099074	6.476453	8.425797	1.4538363
P34949;H3BPB8;F5GX71;H3BP57;B4DW50;H3BUZ9;H3BPP3;H3BMZ9;Q8NHZ6;H3BT48;B4DFC4;H3BPM5	MPI	cytosol	-13.61193	-9.605043	7.137416	8.184642	1.8287852
A4D1W6;Q8TAP9	MPLKIP	cytosol	-11.903495	-10.605666	7.4486303	9.074884	2.0151484
B2RBV5	MRFAP1L2	cytosol	-13.201486	-10.620875	6.129139	8.129512	1.89581
Q9BV20	MRI1	cytosol	-13.556901	-9.350031	7.366188	8.244564	2.0890813
Q9UJ68;B7Z694;E5RIA9;H0YAN3	MSRA	cytosol	-13.623911	-10.542677	6.3423147	8.430556	1.3361516
Q9BUK6	MSTO1	cytosol	-13.057456	-10.289333	6.482322	8.599522	1.7084584
Q8WVB5;A0A140VJP8;P80297;P13640	MT1G	cytosol	-13.599506	-11.06649	6.0643167	8.239177	0.9442433
P02795;Q8TE66	MT2A	cytosol	-13.574899	-10.305584	6.576868	8.750482	1.2656484
A0A384ME80;Q13126;A0A140CZL4;B4DUC8;Q6FHT1;Q6FHP1;A0A140CZL5;J3QSB7;A0A140CZL6	MTAP	cytosol	-13.484027	-9.578947	6.947987	8.268452	2.0155163
A0A7P0T9G7;B7ZLW8;Q99707;A0A7P0TAJ0;B4DST3;A0A7P0TAV2;A0A6Q8PGK3;Q6MZH4;B1ANE3	MTR	cytosol	-12.709671	-9.7847395	6.3571553	9.248126	2.0097206
Q9UBK8;H0Y8S9	MTRR	cytosol	-13.111401	-10.464773	6.58275	8.376936	1.6036363
Q8N3F0	MTURN	cytosol	-13.090176	-10.453871	6.290244	8.018933	1.5372709
P53602	MVD	cytosol	-13.617989	-10.227703	6.637779	8.140996	1.2753599
F5H8H2;B2RDU6;Q03426;B7Z301;Q59ET9;A0A1B0GWC2;B7Z1C2	MVK	cytosol	-13.860402	-10.064296	6.5657854	8.094453	1.598696
B4E3D6;Q99836;A0A494C0J8;A0A192GQD4;B4DU08	MYD88	cytosol	-13.227603	-10.404242	6.7761593	8.313451	1.3058133
Q9HB07	MYG1	cytosol	-13.658749	-9.811711	6.8643584	8.145231	1.6350765
M0QY43;B3KWH4	MYH14	cytosol	-12.451405	-10.094368	6.341989	8.1791725	2.367925
Q4KMR3;Q12965	MYO1E	cytosol	-13.691361	-9.709798	7.0325594	8.3245535	1.641111
M0R0P8;B0I1T6;Q13459;Q4LE74;M0R300	MYO9B	cytosol	-12.427702	-9.727061	6.4453435	9.309021	2.310966
O75113	N4BP1	cytosol	-12.566355	-9.67246	6.6320515	9.272773	2.2395537
Q9Y5N5	N6AMT1	cytosol	-13.623536	-10.47563	6.6549177	8.394001	1.1629908
Q9BXJ9;B2RBE5;B4E2T6	NAA15	cytosol	-13.455559	-9.390682	7.1909695	8.115275	2.1323807
Q6IA69;A0A0B4J216	NADSYN1	cytosol	-13.673992	-10.777489	6.1645904	8.655211	1.0810436
Q13564	NAE1	cytosol	-12.195215	-10.564288	7.5569124	8.943023	1.9493957
P43490;A0A024R718;A0A7P0T9I9;A0A7P0T895;A0A7P0T973;A0A7P0T8L3;A0A7P0T931;A0A7P0T862;A0A7P0TAS5;A0A7P0T8D2;A0A0C4DFS8	NAMPT	cytosol	-13.519416	-8.568001	8.030315	8.380196	2.5456185
Q8TBE9	NANP	cytosol	-13.56838	-10.281458	6.614017	8.783167	1.2773615
Q9NR45;V9HW39	NANS	cytosol	-13.318947	-8.8026495	7.786305	8.625547	2.6122332
A0A024RBE6;F8VV59;B7Z9C2;F8W118;H0YH88;F8VRJ2	NAP1L1	cytosol	-13.522886	-10.676924	6.2245665	8.644793	1.3580699
O43776;B4DN60	NARS1	cytosol	-13.192533	-8.76271	7.6928816	8.40496	2.7391636
K7ENF0	NARS1	cytosol	-12.959752	-10.444383	6.1492844	8.368307	1.7996212
P49321;Q53H03;B4DS57;Q6PJY7	NASP	cytosol	-13.450253	-7.993088	8.494327	8.89075	3.3109229
Q5T626;Q5T624;O95138;E9PRH9	NASP	cytosol	-13.844914	-10.733338	6.329043	8.4922905	0.98390853
Q09LL5;P18440;Q9HAQ5;F5H5R8;Q6U7I7	NAT1	cytosol	-13.455861	-10.834368	6.175425	8.432545	1.1380883
J3QLF4;J3QRL7;J3KSE9;J3QSG9;J3QRC3;J3QQP3;J3KT72;Q9BTE0	NAT9	cytosol	-13.663787	-10.246615	6.6496916	8.203661	1.1109166
Q8N6N6	NATD1	cytosol	-13.866749	-10.447839	6.6582723	8.728117	1.2215842
Q8NFP9;Q5T321;B3KXQ8;Q6N008;A0A0D9SF28	NBEA	cytosol	-12.66475	-10.301107	6.476194	9.203731	1.577289
A0A494C1V1;Q6ZNJ1;H0Y764	NBEAL2	cytosol	-13.468221	-10.154485	6.7086363	8.252023	1.3281087
C9J5H8	NCDN	cytosol	-13.790992	-10.705764	6.4144588	8.450743	0.8934645
Q9UBB6	NCDN	cytosol	-12.681467	-9.083168	7.1111445	9.405162	2.908804
Q15788;A8K1V4;B5MCN7	NCOA1	cytosol	-12.702746	-9.860109	6.559902	9.075175	1.9996849
Q15596	NCOA2	cytosol	-12.600832	-9.440474	6.6259937	9.315386	2.4058826
B2R5V0;A0A024QZI5;Q13772;Q96E88;B4DF87	NCOA4	cytosol	-13.200827	-10.046136	6.058161	7.8444414	1.7451954
Q8NI08	NCOA7	cytosol	-13.427753	-10.578276	6.3918858	8.13677	1.4786283
Q9UHB4	NDOR1	cytosol	-13.783809	-10.723359	6.456751	8.556771	0.92254156
Q9UN36;H0YJT9;G3V578;A0A0A0MS87;G3V4S9;Q8TDR6;G3V5H8;G3V5L7	NDRG2	cytosol	-13.709908	-10.546509	6.458708	8.47755	1.3661981
Q9UGV2;Q5TH30;B7Z341;F8WBF9;B7ZLZ9;B7Z323	NDRG3	cytosol	-13.416018	-7.7986846	8.588425	8.807778	2.9413295
A0A024R6V8;Q9ULP0;A0A0S2Z5R7;A0A0S2Z5L7;B3KX54;B7Z9X4;H3BQJ4;H3BPQ3	NDRG4	cytosol	-13.645506	-10.854867	6.353623	8.299505	0.99286556
A0A024R5S9	NEDD4	cytosol	-13.408042	-9.139801	7.6738405	8.567888	2.5005527
P46934;H0Y8X6	NEDD4	cytosol	-13.683383	-10.849112	6.35042	8.500529	1.0431494
E9PL57;F8VSA6;E9PS38;S4R3E9;Q15843	NEDD8	cytosol	-13.736484	-10.052033	6.9238076	8.411342	1.6934122
A0A059V7J1	NEK4	cytosol	-13.5796175	-10.228656	6.4911776	7.9893007	1.3703648
A0A024R6D1;A0A7I2V5R1;Q8TD19;A0A7I2V454	NEK9	cytosol	-13.624456	-7.691054	8.787922	8.876112	3.0177648
Q14934	NFATC4	cytosol	-12.845018	-10.346208	6.187183	8.398609	1.9483752
P19838;A0A494C1E9	NFKB1	cytosol	-12.583369	-9.700009	6.604237	9.329904	2.1929083
Q00653;A0A1P8C958;D3DR86	NFKB2	cytosol	-13.128526	-10.2597475	6.158251	8.682355	1.6607157
Q15653;I3L4X3;G5E9C2;Q59EM7;Q96LS1;I3L1A4	NFKBIB	cytosol	-13.514067	-11.082573	6.2554283	8.223004	0.958551
Q7LC14;Q96F31;A0A024RD24;O00221	NFKBIE	cytosol	-12.684319	-10.322979	6.4794874	9.229874	1.6457273
A0A2X0SG27;Q8N5V2;B4DPF7;B4DV69	NGEF	cytosol	-13.066147	-10.408457	6.3260956	8.176039	1.6046305
Q8NBF2	NHLRC2	cytosol	-13.6489525	-9.633483	7.1234627	8.439649	1.7159922
Q9NYS0;G5E9P3	NKIRAS1	cytosol	-13.698198	-10.454057	6.5676165	8.065293	1.0666289
A0A384MTW7;P15531;E7ERL0;E5RHP0	NME1	cytosol	-13.201054	-9.013958	7.29617	8.588197	2.4418867
A0A384P622;Q9HBL8;I3L3Z0;I3L1Y8	NMRAL1	cytosol	-12.181523	-9.987448	6.2420197	8.06116	2.4186256
H3BUP2;H3BUN4;Q5TZN6;O60936;H3BM67	NOL3	cytosol	-13.024235	-10.647743	6.504576	8.157723	1.4097629
Q8N5I9;A0A087WT30	NOPCHAP1	cytosol	-12.493921	-10.206418	6.6357613	9.242829	2.0196607
H3BRK3;B4DLR8;Q3B792;H3BNV2;P15559;Q53G81	NQO1	cytosol	-13.513884	-10.724762	6.512433	8.450532	1.0108268
A0A024QZT9;B3KPX6;P16083;Q5TD07	NQO2	cytosol	-14.013633	-10.421075	6.698013	8.605786	0.9672271
Q86WQ0;U3KQ53	NR2C2AP	cytosol	-12.867544	-10.455882	6.151746	8.217174	1.8640519
F1D8N4;P04150;A0A494C0P1;B6ZGU6;E5KQF6	NR3C1	cytosol	-12.595536	-9.0376215	7.0113964	9.460884	2.9017146
Q96F24	NRBF2	cytosol	-13.093914	-10.564477	6.078794	8.100096	1.6376419
Q9UHY1;B4DW31;F8W6G1	NRBP1	cytosol	-12.56897	-9.624632	6.6058683	9.274309	2.250581
O43847;B4DRI0;G3V1R5;Q6UUU9;Q96L67;F5H7V1	NRDC	cytosol	-12.507856	-10.604827	7.0878863	8.7700615	1.5869483
A0A024R3M7;Q92686	NRGN	cytosol	-13.187706	-10.711805	5.9773035	8.398179	1.2082996
Q53FE8;Q53FF5;F2Z2K0	NSFL1C	cytosol	-13.530392	-9.66904	7.031929	8.135114	1.7835538
Q9UNZ2	NSFL1C	cytosol	-13.198748	-8.292002	7.968733	8.694443	2.805914
A8K9G4;Q92636;B2RA06	NSMAF	cytosol	-10.965941	-10.065847	5.1741467	8.2905445	2.5790737
P49902;A0A6Q8PHP0;A0A384MED8;A8K6K2;A0A6Q8PHB5;B3KXN5;Q5JUV4	NT5C2	cytosol	-13.819124	-10.64893	6.269959	8.107527	1.2850846
Q969T7	NT5C3B	cytosol	-13.201767	-10.395196	6.136006	8.1129055	1.6003121
Q5TFE4;A8K2Z3	NT5DC1	cytosol	-13.820811	-9.906819	6.798848	8.305819	1.6821842
Q96AB6;H3BNJ5	NTAN1	cytosol	-13.648585	-10.566944	6.7498636	8.498496	1.1589339
A0A024R8E4;Q9BV86	NTMT1	cytosol	-13.379393	-10.032122	6.937917	8.690522	1.3846072
P53384;I3L531	NUBP1	cytosol	-12.872623	-9.859959	6.3591833	9.131596	1.9087116
B2RDN3;Q9Y5Y2;Q2YS46;H3BNF0;H3BQR2;H3BNS4	NUBP2	cytosol	-13.434608	-7.888204	8.55021	8.906647	2.9121058
Q9H1E3;Q6IA16;B4DTY3	NUCKS1	cytosol	-13.478055	-8.690013	7.9387865	8.381599	2.6094337
Q9Y266;Q9H2R7;A0A0A0MSU9;A0A0A0MSS4	NUDC	cytosol	-13.39596	-7.983795	8.481692	8.863617	3.2067878
Q96RS6;A0A7I2V457	NUDCD1	cytosol	-12.761933	-10.783664	5.913068	8.814636	1.8513292
Q8WVJ2;E5RFP0	NUDCD2	cytosol	-13.565826	-9.687891	6.8859296	8.449887	1.8319142
B0FTY2;Q8IVD9;A4D2J8	NUDCD3	cytosol	-12.562458	-8.999493	7.082699	9.454209	2.9140716
A0A024R819;A0A024R858;P36639	NUDT1	cytosol	-13.782279	-10.413834	6.719236	8.623751	1.0019821
Q8NFP7	NUDT10	cytosol	-13.974066	-10.519048	6.2296424	8.456829	1.1916939
Q9NV35	NUDT15	cytosol	-13.200628	-10.421394	6.38691	8.422358	1.5900251
Q96DE0;A0A140VJQ3;B4DIZ6	NUDT16	cytosol	-13.220877	-9.862292	6.638839	8.330884	1.8788407
P50583	NUDT2	cytosol	-13.848613	-10.43668	6.771541	8.401495	1.4061778
O95989	NUDT3	cytosol	-13.508975	-11.030255	5.9807653	8.6610565	1.0229435
A0A024RBD0;Q9NZJ9	NUDT4	cytosol	-13.758516	-10.311362	6.440016	8.866767	1.2340859
A6NFX8;Q9UKK9;A6NJU6;A6NCQ0	NUDT5	cytosol	-13.592609	-8.150154	8.383433	8.492259	2.8132207
A0A024R6Y2;P61970;H3BRV9	NUTF2	cytosol	-13.864248	-11.178717	5.7828918	8.589749	1.0340395
Q6DKJ4	NXN	cytosol	-13.420258	-9.51642	7.1264935	8.282327	1.9512523
O60502	OGA	cytosol	-13.040064	-9.919358	6.2991214	9.003376	1.786556
Q8N543;A0A0A0MTR2;H3BR79;H3BUA6	OGFOD1	cytosol	-13.272306	-10.164233	6.6966624	8.6125345	1.3902595
Q9NZT2;B3KMQ6;V9H0E3	OGFR	cytosol	-13.252415	-10.91749	6.149542	8.499893	1.4099149
