node	identifier
PSMB5	9606.ENSP00000355325
PSMB6	9606.ENSP00000270586
PSMB7	9606.ENSP00000259457
PSMB8	9606.ENSP00000364016
PSMB9	9606.ENSP00000363993
PSMC1	9606.ENSP00000261303
PSMC2	9606.ENSP00000391211
PSMC3	9606.ENSP00000481029
PSMC4	9606.ENSP00000157812
PSMC5	9606.ENSP00000310572
PSMC6	9606.ENSP00000484998
PSMD1	9606.ENSP00000309474
PSMD10	9606.ENSP00000217958
PSMD11	9606.ENSP00000261712
PSMD12	9606.ENSP00000348442
PSMD13	9606.ENSP00000396937
PSMD14	9606.ENSP00000386541
PSMD2	9606.ENSP00000310129
PSMD3	9606.ENSP00000264639
PSMD4	9606.ENSP00000357876
PSMD5	9606.ENSP00000210313
PSMD6	9606.ENSP00000418695
PSMD7	9606.ENSP00000219313
PSMD8	9606.ENSP00000215071
PSMD9	9606.ENSP00000440485
PSME1	9606.ENSP00000372155
PSME2	9606.ENSP00000216802
PSME3	9606.ENSP00000293362
PSME4	9606.ENSP00000384211
PSMF1	9606.ENSP00000338039
PYGO1	9606.ENSP00000302327
PYGO2	9606.ENSP00000357442
RAC1	9606.ENSP00000348461
RAC2	9606.ENSP00000249071
RAC3	9606.ENSP00000304283
RBBP5	9606.ENSP00000264515
RBX1	9606.ENSP00000216225
RHOA	9606.ENSP00000400175
RNF146	9606.ENSP00000357297
RNF43	9606.ENSP00000463069
ROR1	9606.ENSP00000360120
ROR2	9606.ENSP00000364860
RPS27A	9606.ENSP00000272317
RSPO1	9606.ENSP00000348944
RSPO2	9606.ENSP00000276659
RSPO3	9606.ENSP00000349131
RSPO4	9606.ENSP00000217260
RUNX3	9606.ENSP00000382800
RUVBL1	9606.ENSP00000318297
RYK	9606.ENSP00000478721
SCRIB	9606.ENSP00000349486
SFRP1	9606.ENSP00000220772
SFRP2	9606.ENSP00000274063
SKP1	9606.ENSP00000231487
SMARCA4	9606.ENSP00000343896
SMURF1	9606.ENSP00000354621
SMURF2	9606.ENSP00000262435
SNX3	9606.ENSP00000230085
SOST	9606.ENSP00000301691
SOX13	9606.ENSP00000356172
SOX17	9606.ENSP00000297316
SOX2	9606.ENSP00000323588
SOX3	9606.ENSP00000359567
SOX4	9606.ENSP00000244745
SOX6	9606.ENSP00000379644
SOX7	9606.ENSP00000301921
SOX9	9606.ENSP00000245479
SRY	9606.ENSP00000372547
TCF7	9606.ENSP00000340347
TCF7L1	9606.ENSP00000282111
TCF7L2	9606.ENSP00000486891
TERT	9606.ENSP00000309572
TLE1	9606.ENSP00000365682
TLE2	9606.ENSP00000466542
TLE3	9606.ENSP00000452871
TLE4	9606.ENSP00000365720
TLE5	9606.ENSP00000221561
TMED5	9606.ENSP00000359305
TNKS	9606.ENSP00000311579
TNKS2	9606.ENSP00000360689
TNRC6A	9606.ENSP00000379144
TNRC6B	9606.ENSP00000401946
TNRC6C	9606.ENSP00000336783
TRRAP	9606.ENSP00000352925
UBA52	9606.ENSP00000388107
UBB	9606.ENSP00000478771
UBC	9606.ENSP00000441543
