bait	prey	significant	HCDP	subcell_localization	logFC_APMS	padj_APMS	logFC_TbID	padj_TbID	method
Raf1S259F	PHLDA2	core	no	NA	1.91845520922454	1.41131530431525e-07	1.17833381303922	0.000273893430315509	Both
MEK2DD	PHLDA2	core	no	NA	3.05623409594293	4.5650797697181e-10	1.51853423126131	3.42227273360581e-05	Both
MEK1DD	PHLDA2	core	no	NA	2.3849528411424	1.4060556631037e-08	1.51018939519761	4.18193257215578e-05	Both
BrafV600E	PHLDA2	core	no	NA	2.10220998122461	3.02006954901998e-08	1.47208387640171	3.1132981272845e-05	Both
Raf1S257L	PHLDA2	core	no	NA	2.12595051284396	5.68013741115945e-09	1.328379174212	0.000127589846405238	Both
HrasS17N	PHLDB1	AP-MS	yes	plasma_membrane	1.00444714851446	3.97083400644166e-05	-0.343347590035588	1.63914199119393e-05	AP-MS
HrasG13R	PHPT1	TbID	no	cytosol	NA	NA	1.44706448557237	1.41205222255937e-06	TbID
Raf1D486A	PHPT1	TbID	no	cytosol	NA	NA	1.16366581610721	1.09882397706232e-05	TbID
Raf1WT	PHTF2	TbID	no	NA	NA	NA	0.844799771434733	0.00373634971332261	TbID
Raf1S257L	PHTF2	TbID	no	NA	NA	NA	0.871761113783666	0.00184223742520136	TbID
NrasS17N	PHYH	AP-MS	yes	ER	1.23714877712001	0.00195176947715556	NA	NA	AP-MS
HrasS17N	PHYH	AP-MS	yes	ER	1.58075945393042	0.000100931142143933	NA	NA	AP-MS
ERK1DD	PHYH	AP-MS	yes	ER	1.00047767184259	0.00869489556928278	NA	NA	AP-MS
NrasQ61R	PHYH	AP-MS	yes	ER	1.02309088481189	0.00563607729655372	NA	NA	AP-MS
NrasWT	PHYH	AP-MS	yes	ER	1.03955496093509	0.00696199254373783	NA	NA	AP-MS
Raf1D486A	PHYH	AP-MS	yes	ER	1.18564802732114	0.00206521553054695	NA	NA	AP-MS
MEK2DD	PI4KB	TbID	yes	14-3-3_scaffold	-0.0142143945409982	0.914957694537464	0.895419550556448	5.82152842527443e-09	TbID
BrafG469A	PIGB	TbID	yes	NA	0.557835151366177	0.206384811704355	1.08228055349177	1.20030503347108e-09	TbID
Raf1D486A	PIGB	TbID	yes	NA	0.196769834792836	0.677322147390108	0.88967200501848	1.48605198776153e-08	TbID
KrasWT	PIGB	TbID	yes	NA	0.151867303794877	0.0810151727942741	0.784295511452738	1.19588822246995e-06	TbID
BrafG469A	PIGL	TbID	yes	NA	-1.24087692147684	0.00205271968413907	0.874624055027781	1.93394885745872e-07	Both
MEK2DD	PIGL	AP-MS	yes	NA	1.19453624422351	0.00346792263895312	0.0595689000252159	0.514032415147402	Both
Raf1D486A	PIGQ	TbID	yes	NA	0.174959454522788	0.297887745144955	0.865307476494142	4.62084737185767e-08	TbID
KrasWT	PIGS	TbID	yes	ER	-0.597051315420172	9.19271042481777e-05	0.83112825593934	3.54882993331428e-06	TbID
ERK2DD	PIGW	TbID	yes	ER	-0.326996545357934	0.309737348084494	1.02255920221366	5.05632240020443e-07	TbID
BrafG469A	PIGW	TbID	yes	ER	-0.369903217121022	0.210477917013551	1.02273539153325	9.66535328217003e-08	TbID
MEK1WT	PIH1D2	TbID	no	NA	NA	NA	1.07847505394876	0.0146576134039753	TbID
HrasWT	PIH1D2	TbID	no	NA	NA	NA	1.14608034989039	0.023987518379283	TbID
MEK2WT	PIH1D2	TbID	no	NA	NA	NA	1.01928187873896	0.0208367063371623	TbID
MEK2AA	PIH1D2	TbID	no	NA	NA	NA	1.15917333961294	0.00870541411784327	TbID
MEK2DD	PIH1D2	TbID	no	NA	NA	NA	1.30472007431142	0.00386402227209809	TbID
